iter,score,best_so_far
1,94.3785430457726,94.3785430457726
2,38.59542353174123,38.59542353174123
3,41.11407460833243,38.59542353174123
4,34.64220063919967,34.64220063919967
5,55.37337006397658,34.64220063919967
6,40.693721976994084,34.64220063919967
7,49.866837348272185,34.64220063919967
8,91.48639096242512,34.64220063919967
9,54.69889740037726,34.64220063919967
10,36.76806481584643,34.64220063919967
11,48.59480307012323,34.64220063919967
12,32.32012780185398,32.32012780185398
13,46.51333776484517,32.32012780185398
14,36.64129540431269,32.32012780185398
15,40.651721853985556,32.32012780185398
16,40.92321728588289,32.32012780185398
17,39.230123192941534,32.32012780185398
18,55.85891603648212,32.32012780185398
19,43.641933476140004,32.32012780185398
20,32.514561639205155,32.32012780185398
21,36.718630469062006,32.32012780185398
22,40.450192340020884,32.32012780185398
23,51.75516498745844,32.32012780185398
24,37.58819440339626,32.32012780185398
25,36.95309121507916,32.32012780185398
26,40.874436137760455,32.32012780185398
27,32.59265901798319,32.32012780185398
28,38.3942177767784,32.32012780185398
29,40.29742880351111,32.32012780185398
30,32.866913348932506,32.32012780185398
31,31.887450659840102,31.887450659840102
32,32.9998589781606,31.887450659840102
33,36.929033903038615,31.887450659840102
34,43.37693563169465,31.887450659840102
35,41.10805043800403,31.887450659840102
36,45.498215294503645,31.887450659840102
37,39.110437291682985,31.887450659840102
38,36.54285251183187,31.887450659840102
39,38.453081951289406,31.887450659840102
40,37.594122419595244,31.887450659840102
41,30.90078178502572,30.90078178502572
42,34.38184211590221,30.90078178502572
43,32.986185231339974,30.90078178502572
44,28.760218729787294,28.760218729787294
45,32.92299745639941,28.760218729787294
46,32.44916196375566,28.760218729787294
47,33.60918009928938,28.760218729787294
48,31.800240590904252,28.760218729787294
49,37.55418427742359,28.760218729787294
50,34.842422735975894,28.760218729787294
51,33.389847192424874,28.760218729787294
52,43.271120261240604,28.760218729787294
53,30.5440113288575,28.760218729787294
54,40.26618762612285,28.760218729787294
55,34.94157107733437,28.760218729787294
56,29.624401229659306,28.760218729787294
57,40.47417961050443,28.760218729787294
58,32.30432080343169,28.760218729787294
59,33.630418635709866,28.760218729787294
60,35.83273989785795,28.760218729787294
61,40.07002804249047,28.760218729787294
62,47.44470410977186,28.760218729787294
63,38.35109616615897,28.760218729787294
64,30.208555880625617,28.760218729787294
65,39.30799129633147,28.760218729787294
66,46.203915581277975,28.760218729787294
67,28.637591639239677,28.637591639239677
68,31.891958999169823,28.637591639239677
69,42.70335203554904,28.637591639239677
70,82.25178194511967,28.637591639239677
71,38.61841943218733,28.637591639239677
72,27.16277066703204,27.16277066703204
73,29.108719543710002,27.16277066703204
74,32.12005116762177,27.16277066703204
75,36.27257938216353,27.16277066703204
76,28.45447429960008,27.16277066703204
77,38.99751326846756,27.16277066703204
78,31.105879795600085,27.16277066703204
79,39.407307137039055,27.16277066703204
80,32.07469885064567,27.16277066703204
81,46.61627836778279,27.16277066703204
82,33.51686648947956,27.16277066703204
83,33.48509121611532,27.16277066703204
84,52.52942956764897,27.16277066703204
85,33.0413700673151,27.16277066703204
86,37.29769259886243,27.16277066703204
87,38.227379889257584,27.16277066703204
88,29.478415121365575,27.16277066703204
89,33.328672027557666,27.16277066703204
90,28.163251598458523,27.16277066703204
91,30.5974847270124,27.16277066703204
92,38.734168158553636,27.16277066703204
93,26.411712729317287,26.411712729317287
94,31.294602851063832,26.411712729317287
95,31.473054289233673,26.411712729317287
96,25.780439694424004,25.780439694424004
97,45.051460749453916,25.780439694424004
98,33.523377681738594,25.780439694424004
99,46.03266882820989,25.780439694424004
100,31.123075259782354,25.780439694424004
101,31.347033576423737,25.780439694424004
102,32.382031731252134,25.780439694424004
103,29.863046057631507,25.780439694424004
104,33.79295789628352,25.780439694424004
105,28.208346078531868,25.780439694424004
