combo_idx,group,role,a,ratio,worbit,u_peak,u_rms,v_peak,T_total,t_settle,variant,sensor_grade,tau_slip,sigma_slip,slip_fit_r2,sigma_pos_rms,sigma_vel_rms,sigma_psi_rms,sigma_bg_rms,sigma_pos_rms_full,sigma_vel_rms_full,sigma_psi_rms_full,sigma_bg_rms_full,achieved_pos_rms,achieved_pos_rms_full,ratio_achieved_to_bound
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B0,default,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.00447188267538312,0.0319212617199258,0.002434707868242181,0.009436019970017412,0.024733083891042316,0.03316740242650365,0.002970671694643045,0.011003532436344892,0.01585389527181066,0.01594759981133088,3.5452395383902617
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B1,default,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.0005713408287510974,0.00035139107404144935,0.002434129251492251,0.009433285718124537,0.024331473034893195,0.0011123910198019308,0.0029702230945101876,0.011001325299963779,0.01585389527181066,0.01594759981133088,27.748577511020752
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B2,default,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.0008051218680879765,0.004838246407611909,0.0024341357033844735,0.00943349140159768,0.024337755598513918,0.00495304635870183,0.0029702280923315566,0.011001491260368222,0.01585389527181066,0.01594759981133088,19.691298796120005
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B3,default,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.001991112454102791,0.008387007449060785,0.002434216960467797,0.009434325861663059,0.02440391953420572,0.008453069626160149,0.0029702913480322804,0.011002164547440732,0.01585389527181066,0.01594759981133088,7.962330424453366
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B0,realistic,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.004471828982023671,0.0319209025040368,0.0022707310799850214,0.008839533060641254,0.024733074743165585,0.03316707570311555,0.0028384740093393337,0.01046094555023231,0.01585389527181066,0.01594759981133088,3.545282106167704
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B1,realistic,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.0007354857457640744,0.004122947248210423,0.002270020432622785,0.008836921772713821,0.024335656424985114,0.004256460000012791,0.0028379364682540663,0.01045886880535303,0.01585389527181066,0.01594759981133088,21.55567985255855
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B2,realistic,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.0008802696804372016,0.005528894836575919,0.0022700263992165848,0.008837073076480656,0.02434023917810467,0.005630374299072961,0.002837940985774713,0.010458989094243197,0.01585389527181066,0.01594759981133088,18.010270743321
1,unloaded,keep,0.8,0.4,0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B3,realistic,0.05672638656367534,0.006245993272878437,0.8939279421769251,0.001996790536352878,0.009127102080121768,0.0022701355025201895,0.008838041588047093,0.02440437732923677,0.009189084604412832,0.0028380238362320743,0.010459759130063884,0.01585389527181066,0.01594759981133088,7.93968870704269
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B0,default,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.004471882669998642,0.03192126162318428,0.002434707868787624,0.009436019983858363,0.024733083890470974,0.033167402456265704,0.0029706716952360773,0.011003532448899726,0.015851216395043725,0.015932730913302152,3.544640493675685
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B1,default,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.0005713379683300341,0.0003513910740413177,0.0024341292688620383,0.009433285811514303,0.024331472967451497,0.0011123910198018864,0.0029702231135685857,0.011001325376946827,0.015851216395043725,0.015932730913302152,27.744027657351925
