traj,role,mu,kind,vel_rmse,rate_rmse,pos_rmse,heading_rmse,inslip_vel_rmse,smoothness,score,slip_x_rmse,slip_y_rmse,final_gamma,frac_gamma_gt_10
octagon_c288_mu0.5,grip,0.5,baseline,0.002932010934694874,0.03649401195538127,0.006677922492383467,0.008579533324188055,0.00395404059894083,0.46649051093779653,12.084522836377872,0.004520513264322752,0.0037971024257376527,NaN,NaN
octagon_c288_mu0.5,grip,0.5,iae,0.0029209946460597917,0.036481207753575995,0.006678001734887495,0.008579559442777988,0.003940778569951417,0.4675664409236142,12.05902843118154,0.003985953161289258,0.002258007080708031,1.2760950016296748,0.8400539986500337
octagon_c213_mu0.3,slip,0.3,baseline,0.0014790054214487353,0.043734647845716124,0.006680342758642431,0.008587158280190643,0.0017597319754164807,0.24720422179578613,9.151312496409926,0.0030095736278426136,0.0040302882095699785,NaN,NaN
octagon_c213_mu0.3,slip,0.3,iae,0.0014748981636144398,0.043703340550746345,0.0066803667647130725,0.008587179993688483,0.0017546946384740618,0.2482500583313955,9.139094035919861,0.0019627369212171504,0.0015807881955097283,4.792836042070869,0.8097547561310967
coupled_vomega_c32_mu0.8,grip,0.8,baseline,0.42857147981015964,0.22450218547397166,0.015654207652810517,0.008698941164452682,0.5120934600832949,0.2785719709003848,965.564401921123,0.47123197710838444,0.3856551955162343,NaN,NaN
coupled_vomega_c32_mu0.8,grip,0.8,iae,0.5520764266760554,0.24827109212523116,0.5635941936205435,0.12339618607572335,0.741275305008324,0.285266310468176,1386.8921421820526,0.7090032995037183,0.3952368291636737,0.037015218905071985,0.6851052224898868
coupled_vomega_c72_mu0.5,mid,0.5,baseline,0.002103809926146073,0.1318636343863098,0.006839897077130334,0.008586742969055256,0.002533639529889018,0.09710847939525118,19.37133232325439,0.004741770424289942,0.004165643492309736,NaN,NaN
coupled_vomega_c72_mu0.5,mid,0.5,iae,0.0020974591201925667,0.13196724848645305,0.006839910200030917,0.008586802459302535,0.0025257422705931495,0.09735378993638617,19.367465194861182,0.003391613725721584,0.0010471487867366944,44.03476538650169,0.7923276214717513
spin_creep_c26_mu0.3,slip,0.3,baseline,0.000820602733475002,0.4312216146820126,0.006900292279747745,0.00912664830476952,0.0007006132118398151,251.73829947232767,58.83298644558418,0.014153016536599056,0.014553345943825473,NaN,NaN
spin_creep_c26_mu0.3,slip,0.3,iae,0.0007702229924843083,0.1658488000528721,0.006902808780442508,0.008709025404575622,0.0006858281798120943,220.9904214883165,30.65163567050125,0.0009786051196312491,0.0010743207002250211,10000.0,0.9905718775296415
