label,pkg,status,rc,wall_min,run_dir,run_tag,regime,test_chi,ssm_d_model,ssm_d_state,batch_size,fwd_grnd,fwd_phys,inv_grnd,inv_cons,inv_phys,mu_mae_inv,mu_mae_fwd,mu_inv_fwd_div
a1_S1_train_w8,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,2594.12,checkpoints_mamba_v1/a1_S1_train_w8,a1_S1_train_w8,observer_v1_py\regimes\S1_train.toml,,32,16,1024,0.04410413939098565,5.15700027433521e-05,0.002872655287897243,0.041628616326757156,1.4896284231166502e-05,0.4117333604587955,0.02601365284620465,0.38940063183061163
a1_S2_train_w8,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,2570.46,checkpoints_mamba_v1/a1_S2_train_w8,a1_S2_train_w8,observer_v1_py\regimes\S2_train.toml,,32,16,1024,0.04245533093075638,5.144229462336144e-05,0.003410987422208739,0.04089217455829448,1.613804715814437e-05,0.38731719887458127,0.028125387721053663,0.36363791930691103
a1_S1_train_w16,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,1720.14,checkpoints_mamba_v1/a1_S1_train_w16,a1_S1_train_w16,observer_v1_py\regimes\S1_train.toml,,32,16,1024,0.04301668098955432,4.924315716573305e-05,0.004350700186619462,0.041929336624892066,1.4624452189307687e-05,0.2672353510851792,0.034141198923965645,0.23675340586965135
a1_S2_train_w16,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,1822.13,checkpoints_mamba_v1/a1_S2_train_w16,a1_S2_train_w16,observer_v1_py\regimes\S2_train.toml,,32,16,1024,0.04043053370759182,4.804033388434374e-05,0.0037462405378556,0.0382003964655252,1.580213616915001e-05,0.2464014382369059,0.034529926115383185,0.21684419934257132
a1_S1_train_w32,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,1516.87,checkpoints_mamba_v1/a1_S1_train_w32,a1_S1_train_w32,observer_v1_py\regimes\S1_train.toml,,32,16,1024,0.043725209452158596,5.967093402319157e-05,0.003270400434652551,0.04201714867211146,1.4376903487561935e-05,0.29653937813265097,0.011289593398224591,0.2881563778131774
a1_S2_train_w32,Mecanum_PINN_Mamba_ForceRecon_v1,ok,0,1454.54,checkpoints_mamba_v1/a1_S2_train_w32,a1_S2_train_w32,observer_v1_py\regimes\S2_train.toml,,32,16,1024,0.04137589555103284,5.8956790480779665e-05,0.0037857694255342216,0.03846437787996446,1.56713165588013e-05,0.2777203054926882,0.010574164965144763,0.2702392674225226
