controller,trajectory,mode,noise_seed,ok,tracking,ce,chatter,score,est_vel,est_rate,est_pos,est_heading,ctrl_pos,ctrl_heading,ctrl_pos_final,ctrl_head_final
ASMC ct(s2),octagon_easy,pose,105,true,0.005407313971488353,25.431378540431933,0.5753556131537438,0.3172993785165729,0.002701032632748939,0.0017332943550814731,0.003198128244340094,0.0012604599887466473,0.003426826674106038,0.0013415790734383393,0.001842010799340605,7.339601673407257e-5
ASMC ct(s2),octagon_mid,pose,105,true,0.005431409803535415,38.04732200409354,0.5740323203525175,0.34301120813736313,0.003545560208670674,0.0018198511554307043,0.00321059067848948,0.0012528249002453761,0.008227322774574386,0.001426968500182089,0.0013037664304086506,0.0001604575920502369
ASMC ct(s2),octagon_stress,pose,105,true,0.00831328757549306,47.98745959213031,0.5231640059522142,0.3437109644042609,0.0038816020191563476,0.0019199386161539204,0.0032148805283037135,0.001249577753610538,0.01949547719850024,0.0015549935930562698,0.001974516139962143,0.00034964550518960585
ASMC ct(s2),octagon_stress_hdg30,pose,105,true,0.008400155118975036,48.000081121224866,0.5210096045838296,0.34285464618425016,0.0037296769064531967,0.0019922035291439835,0.0032142283232588407,0.0012487967064166766,0.01860343583779586,0.0016188150242843838,0.00288035744733108,0.0003235193448969717
ASMC ct(s2),octagon_stress_lat08,pose,105,true,0.00623642032974476,38.83947399166986,0.559009699983773,0.3387063561384215,0.00334250676252096,0.0017715568589190907,0.003209540053565402,0.0012517437515877506,0.008826720499131784,0.0013589687273253444,0.002417303807328152,0.000354201670443227
ASMC ct(s2),octagon_stress_lat08_hdg30,pose,105,true,0.006773158545200773,38.792293360600944,0.5532018979908375,0.33653129047566294,0.0031502936709289953,0.0018049146518110783,0.0031981076669808234,0.0012475863979686558,0.008688149876660875,0.001345254296077653,0.0028734931481818704,0.00047668079983086825
ASMC ct(s2),spin_creep_easy,pose,105,true,0.16259716880754707,28.700386314456978,0.5895965221294389,0.4877080752542466,0.001863527600643773,0.003591701868001377,0.003210627380300426,0.0012972274821430013,0.00333664326990846,0.0013396441943082078,0.005509526582329371,0.0011854860948412593
ASMC ct(s2),spin_creep_stress_yaw,pose,105,true,0.025579167510458103,45.35060622685944,0.5990145335296395,0.3896161372380864,0.001756107714265827,0.004668565321390022,0.0031605374958768493,0.0012969073361058878,0.0021140370483784033,0.0012360787458159694,0.0008015101503029033,0.0012424274900423807
ASMC ct(s2),coupled_vomega_easy,pose,105,true,0.005916917356285992,30.211445325558202,0.5760191669649636,0.3280660535854325,0.0027298562433604465,0.0019215767428961673,0.003217107052127349,0.0013248174555664282,0.0019802658101835398,0.0013160436150335838,0.0035345995319743684,0.003147402194801696
ASMC ct(s2),coupled_vomega_stress,pose,105,true,0.15313053442896946,43.17035186330453,0.48386134206587067,0.46080637140716235,0.003294473895287681,0.0021771158937383007,0.00324988592416779,0.001334630686918913,0.2526788484628537,0.004490249923598584,0.00559796585393504,0.002640670964036751
ASMC ct(s2),spiral_orbit_stress,pose,105,true,0.07010191498041465,53.20304009460575,0.48758578224722043,0.4003551838554258,0.0037731181068361088,0.0026274947132756306,0.0032373293118525366,0.04182892316603256,0.13623050205414552,0.004148656317991183,0.0038319776422976364,0.0010436736235313049
ASMC ct(s2),ellipse_stress_tangent,pose,105,true,0.019117219774837123,48.47609588994969,0.588219210149809,0.38480773077964636,0.002740302497408039,0.0029826326712710915,0.003238617041263961,0.038561096134671485,0.0025061253309708316,0.001316239011633985,0.003393571954650028,0.0035451303532738625
ASMC ct(s2),ellipse_stress_crab,pose,105,true,0.008985417551892477,25.470826609914855,0.5574697071283,0.31291100786361675,0.0026869129052233985,0.0017182667116456972,0.0031490336042036752,0.042657745433693585,0.0027903154197471847,0.0011615226048987063,0.0014639338981550887,0.0007994437785439068
ASMC ct(s2),multisine75_broadband,pose,105,true,0.054422731322696025,13.27054599530702,0.5490541500207566,0.3291440696555928,0.002037776335016295,0.0017573770574836256,0.003142603880354576,0.001238829805572473,0.002369803092404771,0.0012022057518859671,0.0030188000486360417,0.0013756787068329585
ASMC nt(s4),octagon_easy,pose,105,true,0.010638136304394622,25.37720791161752,0.5588072928928504,0.3149706012553804,0.003008744305605033,0.0016673367404426785,0.0032023865350569707,0.0012596048410881279,0.0024988110760054793,0.0020177725016504995,0.002944279113010332,0.0037148500128789098
ASMC nt(s4),octagon_mid,pose,105,true,0.008774086696293506,38.12783464046432,0.562970738031846,0.3415439076449248,0.0037491674991130845,0.0017622291194915782,0.0032168692069413406,0.0012542781300130406,0.004946115803785052,0.0027475659309229364,0.0034406794851071488,0.0034972312766627
ASMC nt(s4),octagon_stress,pose,105,true,0.007845720867808591,48.03133834747688,0.5105946861368998,0.33767861785332365,0.004017745524060567,0.0018720289240938266,0.0032163133487739678,0.0012500117814906403,0.012517594055957945,0.0034332580740643387,0.002516228315758659,0.0010705414665724985
ASMC nt(s4),octagon_stress_hdg30,pose,105,true,0.007411987826566201,48.019077235021236,0.5075276491515869,0.33583917418440784,0.0038359218497837386,0.0019008730699299143,0.003214761569931946,0.0012479669042339157,0.011294254344411229,0.0036216254855038752,0.002460754362734458,0.0009244123915645397
ASMC nt(s4),octagon_stress_lat08,pose,105,true,0.006786884593888818,38.82811090854858,0.5444279422731805,0.33267135634296285,0.0035776299744107085,0.001741707345250756,0.0032114734405395105,0.001251229902726156,0.005282739720705311,0.0023487171759162128,0.0024584761033996047,0.0019340605913713102
ASMC nt(s4),octagon_stress_lat08_hdg30,pose,105,true,0.0067774140542091995,38.76663424695355,0.5365613836686334,0.3289938580529141,0.00335445140460393,0.0017399808933780219,0.0032021116245067554,0.0012466713823565503,0.004996143780238729,0.0024675654901860048,0.002333574687349006,0.0018400206422752208
ASMC nt(s4),spin_creep_easy,pose,105,true,0.18547548624956786,28.501976042955864,0.5719649806019896,0.5022388442766212,0.002224494003836844,0.002999318771695101,0.003213025035297724,0.0012965339218906245,0.0029447612969190568,0.0024970359694160126,0.004266170314247734,0.0028745565965353492
ASMC nt(s4),spin_creep_stress_yaw,pose,105,true,0.028989780401849716,45.33280565061658,0.5834626739763804,0.3859913287966721,0.002297779828640827,0.00438816740983982,0.0031731591154574345,0.0012967049173363227,0.0019952091247829296,0.0021041336004733752,0.0009296274652829238,0.001064877773720784
ASMC nt(s4),coupled_vomega_easy,pose,105,true,0.009270072439885617,30.161755170242163,0.5606473643231056,0.3243983763232876,0.003171078116904912,0.0017963178090385438,0.0032229977002949414,0.0013255159650861605,0.0017811992607356675,0.0020184332519160345,0.0032460764198470795,0.007920716466228939
ASMC nt(s4),coupled_vomega_stress,pose,105,true,0.14181431717494297,43.83637721915105,0.4709740507317508,0.44507842587746216,0.003161589573507835,0.0020699409107032872,0.0032475350487950402,0.001331145306813707,0.22622661089419557,0.012872671124765308,0.0011081112597319269,0.005783041494485274
ASMC nt(s4),spiral_orbit_stress,pose,105,true,0.06732445203141962,53.26620343256227,0.4703644222687139,0.38995969920351226,0.0038035716979949907,0.0026495474850505036,0.0032371844057032012,0.04182889978179145,0.12146562376902231,0.01306234225996938,0.0006713098681826935,0.002688027656309267
ASMC nt(s4),ellipse_stress_tangent,pose,105,true,0.02013259107749815,48.444039186100625,0.579132852000634,0.3816674561154931,0.0028098731744579325,0.002776565046208376,0.0032347368350363,0.03856110318278971,0.0022877855158626426,0.0016768255336118043,0.0029035321487874484,0.004464658519973241
ASMC nt(s4),ellipse_stress_crab,pose,105,true,0.008027918622648476,25.42828042757151,0.5412834059286228,0.30458103551463606,0.0032671109201206543,0.0016348875387978171,0.003145930580181364,0.04265780337219751,0.0019847996109477865,0.00127335030618205,0.0009851663695090572,0.0010368722533113939
ASMC nt(s4),multisine75_broadband,pose,105,true,0.06599401862277741,13.179287217298095,0.5301796292358558,0.33203170014828354,0.002643840380227812,0.0016568529002526978,0.0031492675121214215,0.0012354312354490899,0.001984364048661241,0.0014619800961733283,0.0028636640995618585,0.003050077827667461
PID-CT ct(s5),octagon_easy,pose,105,true,0.004827454762228483,25.329270811149296,0.556382785158136,0.30796902227328404,0.0032367257222268,0.001675151112136415,0.003201583927880648,0.0012624971468340547,0.0023881489242856485,0.0011479391666739255,0.0010869931276251672,0.0008989757473203493
PID-CT ct(s5),octagon_mid,pose,105,true,0.004863464153168639,37.97184684605695,0.557150689451688,0.33468928866904685,0.003777123388179505,0.00177366960762867,0.0032131738138840202,0.0012550295067055085,0.00497240413588167,0.0012417590413506536,0.0014923247151622208,0.0008391747383445432
PID-CT ct(s5),octagon_stress,pose,105,true,0.006390443399380462,48.25358727817612,0.4948407673088078,0.3295970955178775,0.004171563178659956,0.0018610901190976605,0.0032208793441132403,0.001249536536385195,0.01183045348086256,0.0025225407232399542,0.0015017768960358495,0.00011127919713289428
PID-CT ct(s5),octagon_stress_hdg30,pose,105,true,0.006310090298857261,48.51247385152764,0.4809435648425557,0.32380234833535654,0.004160914324648022,0.0019446060647476835,0.0032262904017674107,0.001250257849328594,0.011403886146400742,0.002854719989211343,0.0011107781802126649,6.668206313715934e-5
PID-CT ct(s5),octagon_stress_lat08,pose,105,true,0.0041916432612306665,38.8614174905724,0.53430066203881,0.32558822761738765,0.0035567711195880294,0.0017686358965369425,0.0032117198218567958,0.0012521605492343897,0.00564439805764027,0.0011605544299725455,0.0006590826532422537,0.00031126818757322476
PID-CT ct(s5),octagon_stress_lat08_hdg30,pose,105,true,0.0034036368206416014,38.82202489828092,0.5203135958673396,0.3184239734990296,0.0034385715540002112,0.001730670927986866,0.0032057982557401263,0.0012471068007826997,0.004549656001849388,0.0012214087412501559,0.0004367701929885905,0.00035457188527634635
PID-CT ct(s5),spin_creep_easy,pose,105,true,0.08870216953104104,28.584057637594782,0.5697958639139903,0.4046604283706591,0.0025916964929391883,0.0027575174520643635,0.0032187831078404018,0.0012967767428171016,0.0023585095516232197,0.0012374608423996929,0.0024441656275594435,0.0002137135827102732
PID-CT ct(s5),spin_creep_stress_yaw,pose,105,true,0.025268703690947015,45.348151601926105,0.5778639903713636,0.37978281519540663,0.002712326312397127,0.004491764941482795,0.003178562479557667,0.001296613449739237,0.002043293105216893,0.0011325369117154353,0.0012875280177489182,0.0008449727210866523
PID-CT ct(s5),coupled_vomega_easy,pose,105,true,0.004205906780208444,30.190250329387773,0.5579032829581976,0.3181587389642885,0.0032503942194763162,0.0017918130308040385,0.003225807552735335,0.0013263225542279335,0.002279626986268656,0.0012139998103460027,0.0021737465302360533,0.0017484741723277075
PID-CT ct(s5),coupled_vomega_stress,pose,105,true,0.07656067999684414,42.18059538564911,0.439889075515657,0.36238700436565874,0.002820352969952044,0.0019985465133081598,0.003243786222436181,0.0013218417148240607,0.09941660337610422,0.02914735135153918,0.0011579199255945416,0.0020801457933954377
PID-CT ct(s5),spiral_orbit_stress,pose,105,true,0.05447080124382402,51.63795442689962,0.4625457436116968,0.3701954575917951,0.0037744475036742744,0.002705586358375555,0.003231427885168647,0.04182894636622681,0.06517436313322493,0.03636369533037432,0.0011235183814316415,0.00014184304986741836
PID-CT ct(s5),ellipse_stress_tangent,pose,105,true,0.009198681170779027,48.40217842618751,0.5767502420988321,0.36957416183647746,0.0028802692927759424,0.002871721943821081,0.003234156361775178,0.03856110501995608,0.0022384014407852,0.0011238921319291222,0.0008139945928321421,0.0013579502592264703
