controller,trajectory,score_mean,tracking_mean
ASMC ct(s2),octagon_easy,0.323100313965509,0.007478795468244329
ASMC ct(s2),octagon_mid,0.3478752908905288,0.007162329394554362
ASMC ct(s2),octagon_stress,0.3453847517165203,0.009312386389513603
ASMC ct(s2),octagon_stress_hdg30,0.3437778554949008,0.009174122212569592
ASMC ct(s2),octagon_stress_lat08,0.3408183470880705,0.00682850903084814
ASMC ct(s2),octagon_stress_lat08_hdg30,0.33870723139549974,0.007254990864523509
ASMC ct(s2),spin_creep_easy,0.4576960141933057,0.12833927820350546
ASMC ct(s2),spin_creep_stress_yaw,0.39969090268620033,0.03549264097488499
ASMC ct(s2),coupled_vomega_easy,0.3270705573248129,0.004448993939588818
ASMC ct(s2),coupled_vomega_stress,0.45981364069655184,0.15235581619358657
ASMC ct(s2),spiral_orbit_stress,0.3973559720835936,0.0721648666700085
ASMC ct(s2),ellipse_stress_tangent,0.3805194695305695,0.014804010382709329
ASMC ct(s2),ellipse_stress_crab,0.31413487780768573,0.00927164078294988
ASMC ct(s2),multisine75_broadband,0.3233155062386898,0.04809181137317078
ASMC nt(s4),octagon_easy,0.32137078273948133,0.011381419236752401
ASMC nt(s4),octagon_mid,0.34648272978129546,0.008755643636553716
ASMC nt(s4),octagon_stress,0.3406689668832318,0.008636073924015938
ASMC nt(s4),octagon_stress_hdg30,0.33828647446073484,0.008155557753722505
ASMC nt(s4),octagon_stress_lat08,0.3359926172233073,0.007313393475696842
ASMC nt(s4),octagon_stress_lat08_hdg30,0.3321876233163304,0.007086763340247998
ASMC nt(s4),spin_creep_easy,0.49564590348587617,0.1727743525647911
ASMC nt(s4),spin_creep_stress_yaw,0.39471022240840614,0.037132596490126527
ASMC nt(s4),coupled_vomega_easy,0.3216355886705803,0.006189705374675873
ASMC nt(s4),coupled_vomega_stress,0.44803807376493915,0.14485668069651064
ASMC nt(s4),spiral_orbit_stress,0.391442666425056,0.07269638139723109
ASMC nt(s4),ellipse_stress_tangent,0.3805114760477838,0.019187780042592608
ASMC nt(s4),ellipse_stress_crab,0.3077594852106359,0.010493959970660108
ASMC nt(s4),multisine75_broadband,0.33006209503691625,0.06332317878405584
PID-CT ct(s5),octagon_easy,0.31352052427924165,0.005280503108497715
PID-CT ct(s5),octagon_mid,0.34033247229308183,0.0049537294020596655
PID-CT ct(s5),octagon_stress,0.3316809022696066,0.0066999236488835354
