batch,state,cross_subset,same_subset,gap
b1024_ep64,gamma,0.04997411851828788,0.048624844591216396,0.001349273927071487
b1024_ep64,omega_z_derived,0.0495004476625034,0.048282329931376086,0.0012181177311273161
b1024_ep64,zx,0.05625012202937329,0.04828028416199829,0.007969837867374999
b1024_ep64,zy,0.09269461955112726,0.08732704702973361,0.0053675725213936515
b2048_ep100,gamma,0.05187016798632733,0.052416021879424735,-0.0005458538930974074
b2048_ep100,omega_z_derived,0.05141224604057062,0.05232727911116306,-0.0009150330705924442
b2048_ep100,zx,0.06286643621175424,0.04838655113801586,0.014479885073738374
b2048_ep100,zy,0.11562213780320515,0.09070715998580424,0.024914977817400916
b4096_ep100,gamma,0.05585053949555378,0.05809881534830858,-0.0022482758527547983
b4096_ep100,omega_z_derived,0.055173812715333545,0.05771908029360294,-0.0025452675782693945
b4096_ep100,zx,0.058078122663482216,0.05164654611140637,0.006431576552075845
b4096_ep100,zy,0.10234344084702687,0.0997822487428663,0.002561192104160573
b4096_ep180,gamma,0.05149939009756068,0.053343633848471406,-0.0018442437509107248
b4096_ep180,omega_z_derived,0.05086329585268381,0.05310998408018013,-0.002246688227496324
b4096_ep180,zx,0.05602277999032776,0.04905288195647436,0.006969898033853401
b4096_ep180,zy,0.0923814702324714,0.09143685236840678,0.0009446178640646202
