model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys,batch,fold
ssm,32,S1_train,same_subset,2,gamma,slip,0.65,247,0.05676962419085397,4.700893207839387,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,slip,0.005,47030,0.0535202643258152,1.6391823986228786e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,slip,0.02,31169,0.07461655905329478,2.2853054222796774e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,slip,0.065,48338,0.06039628069246448,1.8497763698122126e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,slip,0.2,6975,0.06589661001988084,2.0182367297352727e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,slip,0.65,247,0.16715683641725262,5.119566337996937e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,slip,0.005,47030,0.08537754013102834,1.778341231715372e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,slip,0.02,31169,0.11053297684350197,2.3023074913056965e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,slip,0.065,48338,0.09919692880499606,2.0661872928062568e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,slip,0.2,6975,0.0994928829131913,2.072351763138008e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,slip,0.65,247,0.09404635644825941,1.958905270297223e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,slip,0.005,47030,0.04814152522261935,0.4335968050761249,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,slip,0.02,31169,0.053796306277143,0.4845277838373436,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,slip,0.065,48338,0.07030807018324058,0.6332444695415836,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,slip,0.2,6975,0.09386201504493817,0.8453880439660276,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,slip,0.65,247,0.06304248740799863,0.5678054651936114,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,0.005,43357,0.0449683462181739,3.723670824737424,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,0.02,29286,0.04099076974350284,3.3943016802449675,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,0.065,45237,0.054850518666154924,4.5419788226901225,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,0.2,9914,0.12784923487228336,10.5867461441666,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,0.65,4268,0.10138247040733545,8.395126347197209,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,slip,1.5,1697,0.055629748315164575,4.606504088592959,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,slip,0.005,43357,0.04325442310281745,1.324767167847199e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,slip,0.02,29286,0.06684343675553782,2.0472354983533487e-05,b4096_ep100,S1
