iteration,score,best_so_far
1,295.09979757605277,295.09979757605277
2,421.55378420521583,295.09979757605277
3,342.92319779735857,295.09979757605277
4,340.9425582115024,295.09979757605277
5,318.7257750241721,295.09979757605277
6,324.8042740447146,295.09979757605277
7,482.7487547795494,295.09979757605277
8,380.7639862824668,295.09979757605277
9,706.0046064760824,295.09979757605277
10,590.3276269063049,295.09979757605277
11,511.5136915000068,295.09979757605277
12,440.6429056292899,295.09979757605277
13,504.1024330456413,295.09979757605277
14,405.03380085925426,295.09979757605277
15,445.12067398463466,295.09979757605277
16,345.00512076003474,295.09979757605277
17,339.38170756828,295.09979757605277
18,458.1208767612436,295.09979757605277
19,1.0e6,295.09979757605277
20,413.9239794104371,295.09979757605277
21,332.7614637931106,295.09979757605277
22,339.50459491228764,295.09979757605277
23,368.2696865175619,295.09979757605277
24,309.1226456320789,295.09979757605277
25,349.91408975421234,295.09979757605277
26,323.1358645245336,295.09979757605277
27,346.3400752901742,295.09979757605277
28,319.5254572920622,295.09979757605277
29,588.5513289363705,295.09979757605277
30,346.64979835616293,295.09979757605277
31,412.03952132086226,295.09979757605277
32,512.0629512810108,295.09979757605277
33,349.531206366314,295.09979757605277
34,419.0643939855157,295.09979757605277
35,300.29548737396897,295.09979757605277
36,327.44019800911343,295.09979757605277
37,308.4571017322375,295.09979757605277
38,301.5499342658592,295.09979757605277
39,354.5387427641134,295.09979757605277
40,320.52923940478445,295.09979757605277
41,377.5997362979593,295.09979757605277
42,433.29973450124135,295.09979757605277
43,401.0754359091241,295.09979757605277
44,332.9856350997135,295.09979757605277
45,470.46496261071627,295.09979757605277
46,311.52071104426227,295.09979757605277
47,321.3948897480251,295.09979757605277
48,335.14192172650314,295.09979757605277
49,338.01106852588987,295.09979757605277
50,1.0e6,295.09979757605277
51,349.04555623915167,295.09979757605277
52,391.93025915241924,295.09979757605277
53,355.9155000885439,295.09979757605277
54,385.1729397428596,295.09979757605277
55,323.9606805327368,295.09979757605277
56,324.0855175199649,295.09979757605277
57,310.062464615399,295.09979757605277
58,342.1143385364161,295.09979757605277
59,352.24424365343714,295.09979757605277
60,349.3654544580174,295.09979757605277
61,335.74218150161505,295.09979757605277
62,309.50901493202434,295.09979757605277
63,340.5977034831534,295.09979757605277
64,328.8456482075861,295.09979757605277
65,287.8456941521898,287.8456941521898
66,308.9679758903974,287.8456941521898
67,1.0e6,287.8456941521898
68,283.7799695362306,283.7799695362306
69,279.236350915701,279.236350915701
70,326.03828490375224,279.236350915701
71,343.45791285052076,279.236350915701
72,329.70977747155825,279.236350915701
73,357.98160120481793,279.236350915701
74,325.605941442222,279.236350915701
75,286.76727204746095,279.236350915701
76,343.01016474358914,279.236350915701
77,336.5517227459475,279.236350915701
78,316.26124179314075,279.236350915701
79,321.45907028365025,279.236350915701
80,326.36960304705957,279.236350915701
81,331.7886141745216,279.236350915701
82,317.148562092991,279.236350915701
83,298.27622001821874,279.236350915701
84,343.3388620223651,279.236350915701
85,297.8571889895037,279.236350915701
86,335.6889961178105,279.236350915701
87,316.90950598903675,279.236350915701
88,315.9635089599518,279.236350915701
89,323.5058492506721,279.236350915701
90,302.7519360537949,279.236350915701
91,314.068416614222,279.236350915701
92,337.53166086357726,279.236350915701
93,310.5962092080653,279.236350915701
94,302.3214956482451,279.236350915701
95,313.4379620526515,279.236350915701
96,343.4675941355001,279.236350915701
97,313.5716009324189,279.236350915701
98,328.80583434123173,279.236350915701
99,320.9634640881545,279.236350915701
100,336.2053885583291,279.236350915701
101,291.8117980438319,279.236350915701
102,347.1960683580923,279.236350915701
103,340.0573202108775,279.236350915701
104,340.694786573853,279.236350915701
105,322.71124237109905,279.236350915701
106,278.09190472591666,278.09190472591666
107,329.5426124237699,278.09190472591666
108,295.83966989622127,278.09190472591666
109,1.0e6,278.09190472591666
110,302.96833384568606,278.09190472591666
111,328.2610038858869,278.09190472591666
112,321.01078979388444,278.09190472591666
113,320.00285988148596,278.09190472591666
114,339.50082473917575,278.09190472591666
115,315.24767091326237,278.09190472591666
116,330.17391021408133,278.09190472591666
117,330.01073481525833,278.09190472591666
118,342.9726740971763,278.09190472591666
119,309.70716595274484,278.09190472591666
120,322.5573812187192,278.09190472591666
121,296.3723474071443,278.09190472591666
122,326.91490349746755,278.09190472591666
123,479.7980211659575,278.09190472591666
124,318.59919080724194,278.09190472591666
125,332.34606090828606,278.09190472591666
126,286.10404446294456,278.09190472591666
127,331.6896319229909,278.09190472591666
128,310.51723905320387,278.09190472591666
129,330.7596048814544,278.09190472591666
130,311.6602138923312,278.09190472591666
131,329.2122894658529,278.09190472591666
132,299.75443881873707,278.09190472591666
133,309.73111894042916,278.09190472591666
134,357.1787779569635,278.09190472591666
135,294.6391895936134,278.09190472591666
136,290.9577133905362,278.09190472591666
137,289.1784116965548,278.09190472591666
138,296.5682166778913,278.09190472591666
139,309.58553781713806,278.09190472591666
140,339.5802493090793,278.09190472591666
141,308.50707126240997,278.09190472591666
