label,pkg,status,rc,wall_min,run_dir,val_loss,epochs,epochs_planned,model,window,stride,regime,gamma_parametrization,dgamma_scale,dv_scale,vy_label_start,vy_label_end,gamma_base_detach,w_dv,w_slip,gamma_high_slip_upweight,physics_loss,norm_method,lr_trace,params,cfg
S1_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02,observer_v1_py,ok,0,249.44,observer_v1_py/runs/S1_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02,0.0061798849201295525,70,150,ssm_v2hy3_gammakin,32,16,S1_train_hy3,residual_noslip_model1,8.281,"[1.296694143116474, 1.296694143116474]",1.0,0.0,True,1.0,0.02,1.0,True,max,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002]",8357,"{'data_dir': '..\\data\\Simulation_Data_MecanumSlipSpin_LugreAdamov', 'whitelist_csv': 'diagnostics_combined.csv', 'out_dir': 'observer_v1_py\\runs', 'model': 'ssm', 'window': 32, 'd_model': 32, 'state_dim': 6, 'ssm_dt_min': 0.0005, 'ssm_dt_max': 0.008, 'ssm_tau_min': 0.0004, 'ssm_tau_max': 0.04, 'emb_dim': 4, 'freeze_wheel_emb': True, 'head_hidden': 32, 'epochs': 0, 'batch_size': 4096, 'lr': 0.002, 'weight_decay': 0.0001, 'grad_clip': 1.0, 'precision': 'auto', 'require_gpu': False, 'jobs': 4, 'shuffle_buffer': 20000, 'window_stride': 1, 'stride_frac': 0.5, 'limit_files': 0, 'cache_dir': 'C:/Users/vishv/mecanum_cache_decim', 'val_frac': 0.1, 'test_frac': 0.15, 'seed': 1234, 'run_tag_override': 'S1_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02', 'norm_method': 'max', 'scaler_csv': '../data/Simulation_Data_MecanumSlipSpin_LugreAdamov/variable_scaler_percentiles.csv', 'regime_name': 'S1_train_hy3', 'mu_values': [0.3, 0.5, 0.8], 'chi_values': [0.005], 'include_profiles': [], 'exclude_profiles': ['multisine_50percent_cap', 'multisine_75percent_cap'], 'per_profile_cap': 0, 'subsample_fraction': 1.0, 'chi_stratify': False, 'matched_chi_quads_only': False, 'min_chi_per_combo': 3, 'train_fold': 'S1', 'backbone_profiles': ['octagon', 'spin_creep', 'coupled_vomega'], 'redundant_S1': ['long_circle', 'spiral_orbit'], 'redundant_S2': ['ellipse'], 'profiles_toml_dir': 'trajectory_files_run_0p5_main/profiles', 'redundant_sample_frac': 0.25, 'redundant_sample_profiles': ['long_circle', 'spiral_orbit'], 'chi_fold_test': -1.0, 'phases': 'a1_5phase', 'physics_loss': True, 'physics_variant': 'hy3_regime_split', 'warm_from': '', 'w_roller': 1.0, 'roller_slip_weighting': True, 'gamma_high_slip_upweight': 1.0, 'sched_factor': 0.5, 'sched_patience': 10, 'sched_min_lr': 1e-06, 'sched_rel_threshold': 0.0001, 'vram_preset': 0, 'w_dv': 1.0, 'dv_scale': [1.296694143116474, 1.296694143116474], 'w_slip': 0.02, 'vpm_scale': 0.17538320049643497, 'gate_center': 0.01, 'gate_width': 0.01, 'mindlin_iters': 2, 'vel_filter_crossover_hz': 1.0, 'vel_filter_integrator': 'rot_ab2', 'noise_stage': 'none', 'use_gradnorm': False, 'gradnorm_alpha': 1.5, 'gradnorm_lr': 0.025, 'cosine_diag': False, 'cosine_diag_every': 10, 'cosine_diag_batches': 20, 'grounding_early_stop': True, 'grounding_min_epochs': 20, 'grounding_patience': 15, 'grounding_rel_tol': 0.001, 'lr_reset_at_physics': True, 'gamma_residual': True, 'dgamma_scale': 8.281, 'vy_label_start': 1.0, 'vy_label_end': 0.0, 'gamma_base_detach': True}"
S2_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02,observer_v1_py,ok,0,249.84,observer_v1_py/runs/S2_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02,0.008709000443507519,70,150,ssm_v2hy3_gammakin,32,16,S2_train_hy3,residual_noslip_model1,8.281,"[1.296694143116474, 1.296694143116474]",1.0,0.0,True,1.0,0.02,1.0,True,max,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002]",8357,"{'data_dir': '..\\data\\Simulation_Data_MecanumSlipSpin_LugreAdamov', 'whitelist_csv': 'diagnostics_combined.csv', 'out_dir': 'observer_v1_py\\runs', 'model': 'ssm', 'window': 32, 'd_model': 32, 'state_dim': 6, 'ssm_dt_min': 0.0005, 'ssm_dt_max': 0.008, 'ssm_tau_min': 0.0004, 'ssm_tau_max': 0.04, 'emb_dim': 4, 'freeze_wheel_emb': True, 'head_hidden': 32, 'epochs': 0, 'batch_size': 4096, 'lr': 0.002, 'weight_decay': 0.0001, 'grad_clip': 1.0, 'precision': 'auto', 'require_gpu': False, 'jobs': 4, 'shuffle_buffer': 20000, 'window_stride': 1, 'stride_frac': 0.5, 'limit_files': 0, 'cache_dir': 'C:/Users/vishv/mecanum_cache_decim', 'val_frac': 0.1, 'test_frac': 0.15, 'seed': 1234, 'run_tag_override': 'S2_train_hy3_w32_gamma_dv_v2hy3_gammakin_grnd150_slip02', 'norm_method': 'max', 'scaler_csv': '../data/Simulation_Data_MecanumSlipSpin_LugreAdamov/variable_scaler_percentiles.csv', 'regime_name': 'S2_train_hy3', 'mu_values': [0.3, 0.5, 0.8], 'chi_values': [0.005], 'include_profiles': [], 'exclude_profiles': ['multisine_50percent_cap', 'multisine_75percent_cap'], 'per_profile_cap': 0, 'subsample_fraction': 1.0, 'chi_stratify': False, 'matched_chi_quads_only': False, 'min_chi_per_combo': 3, 'train_fold': 'S2', 'backbone_profiles': ['octagon', 'spin_creep', 'coupled_vomega'], 'redundant_S1': ['long_circle', 'spiral_orbit'], 'redundant_S2': ['ellipse'], 'profiles_toml_dir': 'trajectory_files_run_0p5_main/profiles', 'redundant_sample_frac': 0.25, 'redundant_sample_profiles': ['long_circle', 'spiral_orbit'], 'chi_fold_test': -1.0, 'phases': 'a1_5phase', 'physics_loss': True, 'physics_variant': 'hy3_regime_split', 'warm_from': '', 'w_roller': 1.0, 'roller_slip_weighting': True, 'gamma_high_slip_upweight': 1.0, 'sched_factor': 0.5, 'sched_patience': 10, 'sched_min_lr': 1e-06, 'sched_rel_threshold': 0.0001, 'vram_preset': 0, 'w_dv': 1.0, 'dv_scale': [1.296694143116474, 1.296694143116474], 'w_slip': 0.02, 'vpm_scale': 0.17538320049643497, 'gate_center': 0.01, 'gate_width': 0.01, 'mindlin_iters': 2, 'vel_filter_crossover_hz': 1.0, 'vel_filter_integrator': 'rot_ab2', 'noise_stage': 'none', 'use_gradnorm': False, 'gradnorm_alpha': 1.5, 'gradnorm_lr': 0.025, 'cosine_diag': False, 'cosine_diag_every': 10, 'cosine_diag_batches': 20, 'grounding_early_stop': True, 'grounding_min_epochs': 20, 'grounding_patience': 15, 'grounding_rel_tol': 0.001, 'lr_reset_at_physics': True, 'gamma_residual': True, 'dgamma_scale': 8.281, 'vy_label_start': 1.0, 'vy_label_end': 0.0, 'gamma_base_detach': True}"
