time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,-8.835236117878421e-5,6.755837081307104e-5,-0.005139472807096134,0.0,0.0,0.0,-0.01246640116207815,-0.0035933238713477807,-0.009651044716991197,-1.5256846475915503e-8,1.683649693575785e-7,0.0,0.0
0.001,7.745266846237308e-11,-1.0154759305639377e-14,1.5011129064070215e-11,-3.107179472533516e-5,-1.5961662636075525e-5,-0.004480069723051701,3.1417446784971486e-14,-3.413067595762295e-18,6.034983018565317e-15,-0.012466490706315536,-0.003593269542934907,-0.009656179408388935,-2.699567108313605e-8,-1.2588819519042652e-7,0.0,1.147249159010158e-8
0.002,8.05252919232777e-10,-5.381991714121047e-13,1.7904815439200702e-10,-6.71299139229467e-5,0.00033270599054094504,0.008167234992595876,4.4449033111070534e-13,-2.3646926580008123e-16,9.578037554431364e-14,-0.012466509814708454,-0.0035930830356806502,-0.009660551497303898,1.1124789479684497e-8,2.59530520105712e-6,0.0,7.750049872842394e-8
0.003,3.564484347542147e-9,-4.186943367129872e-12,8.641657409230368e-10,-6.382207759643889e-5,-0.00014864535615419634,0.0030286986738674157,2.4617680969928354e-12,-2.2964231751213688e-15,5.730242641143795e-13,-0.012466550823352383,-0.0035930435198999536,-0.00965242830508819,7.898192768286503e-8,-7.821846022226898e-7,0.0,2.4792700616367346e-7
0.004,1.114400857451373e-8,-1.8558495763478205e-11,2.873578825017757e-9,-6.431401385021559e-5,-0.0001580215441445447,0.012033714601751035,9.389937508874875e-12,-1.2677159200472598e-14,2.324127470720394e-12,-0.01246662118245378,-0.003593266015644744,-0.009649322902156253,6.99822402334629e-8,-1.587761490144584e-6,0.0,5.786522552201517e-7
0.005,2.8131601307675085e-8,-5.903815132510613e-11,7.552435602575548e-9,-3.602730171145538e-5,7.938149360174291e-5,0.00011712006100261102,2.820853630102373e-11,-4.914719822778665e-14,7.304661030392245e-12,-0.012466707296602285,-0.0035932997853045648,-0.009637390929011341,3.371702740222757e-8,-2.883503744251697e-7,0.0,1.1215418573144774e-6
0.006,6.117178599280426e-8,-1.510150498042514e-10,1.6809850494455352e-8,-3.1070156999546975e-5,-2.154274728591163e-5,-0.0006424399209787273,7.143415506367575e-11,-1.495875300159786e-13,1.907793596379027e-11,0.004700521310264671,-0.012127968908780965,0.0067822226276130935,1.0074899393740406e-7,1.417585711703046e-5,0.0,1.9198534307514536e-6
0.007,1.1925908145924297e-7,-3.3241027697371775e-10,3.311535669469397e-8,-4.26862624406966e-5,4.308194156962036e-6,-0.004310600143676473,1.593686915469526e-10,-3.832576293360726e-13,4.339352370786513e-11,0.00470048894227681,-0.012127985421352776,0.006781548956564595,9.389621575695876e-8,1.4268351181930557e-5,0.0,3.006864245603014e-6
0.008,2.1393565037416645e-7,-6.560441325849843e-10,5.944471203416282e-8,-6.68402647878485e-5,-5.6911634665359734e-5,0.004113735020938324,3.2247060046013835e-10,-8.637880916761401e-13,8.87135884551333e-11,0.004700452380541353,-0.012128051250110048,0.0067773103624824615,1.0899772393236639e-7,1.3393309958711154e-5,0.0,4.403523181727558e-6
0.009,3.593012233554526e-7,-1.1913954182347125e-9,9.911774404533954e-8,-5.077873021218194e-5,-0.00011646053372450972,0.00010338218459225723,6.040984192913052e-10,-1.7661016384187178e-12,1.666921376892047e-10,0.004700469162954712,-0.012128150267304343,0.006781389674577639,2.657880515256549e-7,1.2922323683097194e-5,0.0,6.116445197996012e-6
