iter,tier,score,best_so_far
1,screen,7.550922022090299,7.550922022090299
2,screen,8.904206581463406,7.550922022090299
3,screen,8.65787866271257,7.550922022090299
4,screen,7.154245885127722,7.154245885127722
5,screen,31.477092208147837,7.154245885127722
6,screen,6.791875874734574,6.791875874734574
7,screen,6.35909657149491,6.35909657149491
8,screen,6.721523055810834,6.35909657149491
9,screen,15.426141390993122,6.35909657149491
10,screen,8.737675685656162,6.35909657149491
11,screen,6.802861997460276,6.35909657149491
12,screen,6.449101688114034,6.35909657149491
13,screen,6.373056097704092,6.35909657149491
14,screen,24.133561110272534,6.35909657149491
15,screen,10.026955573499166,6.35909657149491
16,screen,6.681571174645059,6.35909657149491
17,screen,9.250096673122066,6.35909657149491
18,screen,7.179930596120716,6.35909657149491
19,screen,15.957701154717673,6.35909657149491
20,screen,6.628969066914699,6.35909657149491
21,screen,6.843828533927339,6.35909657149491
22,screen,17.502132288409904,6.35909657149491
23,screen,6.094010252394511,6.094010252394511
24,screen,7.1833119826079175,6.094010252394511
25,screen,8.64743603060023,6.094010252394511
26,screen,6.393710030029128,6.094010252394511
27,screen,6.185733813545417,6.094010252394511
28,screen,8.843429135390132,6.094010252394511
29,screen,6.196922516853048,6.094010252394511
30,screen,6.250952117406189,6.094010252394511
31,screen,6.7745506731278065,6.094010252394511
32,screen,27.588073591687138,6.094010252394511
33,screen,6.353442428044966,6.094010252394511
34,screen,6.829704191120727,6.094010252394511
35,screen,6.174835517084123,6.094010252394511
36,screen,7.272597720959701,6.094010252394511
37,screen,5.886773816478004,5.886773816478004
38,screen,6.4941391366705625,5.886773816478004
39,screen,6.023009232512298,5.886773816478004
40,screen,45.67608708036813,5.886773816478004
41,screen,6.744558519618143,5.886773816478004
42,screen,6.100642448932617,5.886773816478004
43,screen,6.4360967768854085,5.886773816478004
44,screen,6.373282949615451,5.886773816478004
45,screen,6.471062845299744,5.886773816478004
46,screen,6.007832864630376,5.886773816478004
47,screen,5.836085382050932,5.836085382050932
48,screen,5.993953990826409,5.836085382050932
49,screen,5.86276787791896,5.836085382050932
50,screen,5.556673452247186,5.556673452247186
51,screen,5.4959586467107995,5.4959586467107995
52,screen,5.439699867458846,5.439699867458846
53,screen,6.808424818326646,5.439699867458846
54,screen,6.132576032879534,5.439699867458846
55,screen,6.551016361371473,5.439699867458846
56,screen,5.871754066535356,5.439699867458846
57,screen,5.726227596059724,5.439699867458846
58,screen,5.726795946656195,5.439699867458846
59,screen,35.00940154511705,5.439699867458846
60,screen,5.523953006127255,5.439699867458846
61,screen,5.20143519598135,5.20143519598135
62,screen,5.873302295789333,5.20143519598135
63,screen,5.046311003761005,5.046311003761005
64,screen,5.572947358782085,5.046311003761005
65,screen,6.097561997809966,5.046311003761005
66,screen,11.890627398398163,5.046311003761005
67,screen,4.922646112280028,4.922646112280028
68,screen,5.4116893937574275,4.922646112280028
69,screen,5.0198626944972675,4.922646112280028
70,screen,5.560392413029477,4.922646112280028
71,screen,5.362981538413939,4.922646112280028
72,screen,5.086758094647824,4.922646112280028
73,screen,6.250432867478392,4.922646112280028
74,screen,4.291264461943911,4.291264461943911
75,screen,4.796494909666308,4.291264461943911
76,screen,5.401624507752437,4.291264461943911
77,screen,5.097287383828642,4.291264461943911
78,screen,5.399878214349944,4.291264461943911
79,screen,5.103856276257698,4.291264461943911
80,screen,4.993666435355237,4.291264461943911
81,screen,5.030935754144971,4.291264461943911
82,screen,5.089450961112373,4.291264461943911
83,screen,5.382428518815203,4.291264461943911
84,screen,5.012599990517839,4.291264461943911
85,screen,4.940633127120759,4.291264461943911
86,screen,4.97848323458336,4.291264461943911
87,screen,4.883139015279261,4.291264461943911
88,screen,5.243179451922687,4.291264461943911
89,screen,7.8633418160268045,4.291264461943911
90,screen,5.184216308790292,4.291264461943911
91,screen,12.464087630952204,4.291264461943911
92,screen,12.160457695418991,4.291264461943911
93,screen,4.640969683944115,4.291264461943911
94,screen,5.242083252657086,4.291264461943911
95,screen,10.958395696217456,4.291264461943911
96,screen,4.891966062221733,4.291264461943911
97,screen,5.221543099346132,4.291264461943911
1,full,4.291264461943911,4.291264461943911
1,full,4.291264461943911,4.291264461943911
2,full,4.056733353179734,4.056733353179734
3,full,5.53385525305601,4.056733353179734
4,full,4.420595209973515,4.056733353179734
5,full,4.776332030877081,4.056733353179734
6,full,4.72397718067837,4.056733353179734
7,full,5.204625306027002,4.056733353179734
8,full,4.7816618569119935,4.056733353179734
9,full,12.409306624929675,4.056733353179734
10,full,4.1289588096049625,4.056733353179734
11,full,4.394076012749522,4.056733353179734
12,full,4.1331947606153285,4.056733353179734
13,full,4.104310471191442,4.056733353179734
14,full,4.019876986417501,4.019876986417501
15,full,4.011669318000884,4.011669318000884
16,full,4.248412132597605,4.011669318000884
17,full,4.102645796010539,4.011669318000884
18,full,4.353152802558165,4.011669318000884
19,full,4.129615204657657,4.011669318000884
20,full,4.2371705757379505,4.011669318000884
21,full,4.16888205285282,4.011669318000884
22,full,4.25226159281769,4.011669318000884
23,full,4.272969065599203,4.011669318000884
24,full,4.065711285436679,4.011669318000884
25,full,4.111175582106777,4.011669318000884
26,full,4.178910551149474,4.011669318000884
27,full,4.229871364034683,4.011669318000884
28,full,4.223256639311166,4.011669318000884
29,full,4.253498462412833,4.011669318000884
30,full,4.230642494440506,4.011669318000884
31,full,4.209673428803506,4.011669318000884
32,full,4.104273940415431,4.011669318000884
33,full,4.241324350560458,4.011669318000884
34,full,4.254459521197663,4.011669318000884
35,full,4.276314673836747,4.011669318000884
