model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,2,zy,slip,0.65,496,0.10635206366601224,2.2152226407819868e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.005,94360,0.04609484514452557,0.4151629490906303
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.02,62317,0.06219205542998252,0.5601458701372203
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.065,96724,0.08368685863464645,0.7537433507360123
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.2,13894,0.10426347746937041,0.9390710100643687
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.65,496,0.06315496536040344,0.5688185216054865
ssm,16,S1_train,same_subset,3,gamma,slip,0.005,87092,0.04889120611612101,4.048509070494405
ssm,16,S1_train,same_subset,3,gamma,slip,0.02,58450,0.042349684141294294,3.5068286104194315
ssm,16,S1_train,same_subset,3,gamma,slip,0.065,90498,0.06174998605008696,5.113299482091834
ssm,16,S1_train,same_subset,3,gamma,slip,0.2,19832,0.14690271470031074,12.164497869057298
ssm,16,S1_train,same_subset,3,gamma,slip,0.65,8514,0.09902723038651745,8.200097161422674
ssm,16,S1_train,same_subset,3,gamma,slip,1.5,3405,0.03658338535601079,3.0293416597159983
ssm,16,S1_train,same_subset,3,zx,slip,0.005,87092,0.044327252596221146,1.3576250631877482e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.02,58450,0.07219551767227923,2.2111554067603273e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.065,90498,0.06491823616389047,1.9882717588824408e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.2,19832,0.07700027600889241,2.3583122905817723e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.65,8514,0.07198188429034248,2.2046123887805175e-05
ssm,16,S1_train,same_subset,3,zx,slip,1.5,3405,0.081951852814915,2.5099658302645446e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.005,87092,0.09336185780284097,1.944647748846833e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.02,58450,0.10878327628651766,2.2658627211833197e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.065,90498,0.10509374202241047,2.189012876248503e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.2,19832,0.1582367266391433,3.2959358474942724e-05
