controller,finalized,trajectory,mode,seed,ok,tracking,ce,chatter,est_nrmse_vx,est_nrmse_vy,est_nrmse_psidot,est_nrmse_psi,est_nrmse_X,est_nrmse_Y,abs_rms_vx,abs_rms_vy,abs_rms_w,abs_max_vx,abs_max_vy,abs_max_w
asmc,true,octagon,velocity,1,true,23.736526390347546,46.01837462171783,0.22056956749355133,0.035682214954336405,0.07500186725415264,1.0259917426866596,4.668263025715338,1.0000331573267787,1.1196845424005453,0.0126371534361069,0.024191296948423938,0.03438112878651179,0.07226229199880584,0.08167871206277966,0.09539329438988288
asmc,true,octagon,velocity,2,true,27.937172618798655,46.14206458693096,0.2058970079270583,0.03390182072338903,0.0765386836716855,1.0098423213822791,2.0530274110886304,1.000006885144918,1.0527881566853814,0.012010510090871066,0.024571196404774478,0.047229811360750426,0.07025954722858416,0.07916674010805913,0.09601111385735292
asmc,true,octagon,velocity,3,true,23.145037880950156,46.256727364957776,0.2111669435954842,0.03577267064197637,0.07924530272675837,1.0052213166548387,4.174189457429768,0.9998606196655514,1.1277509896926525,0.012623539794027217,0.024857299078333932,0.031954274770489316,0.07448908971957137,0.08096965129842781,0.08824858395194447
asmc,true,octagon,velocity,4,true,25.73545857445122,46.24460203195699,0.21215140642460925,0.036173449707387256,0.07940437955554334,1.026040738360025,4.016251556435424,1.0001014524351624,1.1242139691214519,0.01281403890148894,0.024804245676222463,0.039588091145642254,0.07598470926715656,0.08076085286218448,0.11415045596803262
asmc,true,octagon,velocity,5,true,21.05501201668187,46.016771029615406,0.22034473465006052,0.0345151320176897,0.07454496467467872,1.011749449147078,17.186792543822175,0.9996793231640448,1.0952091239218413,0.012149993483864516,0.024022638835555814,0.026992403730625284,0.06839236350157868,0.07992183707413403,0.09525415305613005
asmc,true,octagon,velocity,6,true,31.323359692352795,46.06488847098414,0.20886785314298562,0.033483519475873476,0.07456223031298238,1.0156661960266564,1.7207927161062015,1.0001940843478103,1.066731907528438,0.011860234151167007,0.024443290853962865,0.057666554071928514,0.06753013639338691,0.07933885297748311,0.1340100387006941
asmc,true,octagon,velocity,7,true,41.58448596132177,46.41178587943968,0.2055787795762852,0.034213526110079745,0.07648311360778089,1.0231393331317966,1.3513919114719735,1.0009707004551645,1.051488136848504,0.012007181305739334,0.024630598793119414,0.08811567778510655,0.07002151394041765,0.07762172479323604,0.2140170973724482
asmc,true,octagon,velocity,8,true,19.163877547134483,46.00826351515746,0.216781286168679,0.03533292381924884,0.07614149011526852,1.0194830448904815,14.978595499470925,0.9996573498929908,1.1102285055352221,0.012437300556638707,0.024366838011403463,0.02068749407336128,0.06926294363971078,0.08045372213255664,0.06866245297734494
asmc,true,octagon,velocity,9,true,20.26935452964486,46.0498181129445,0.20835316405835147,0.035764672437549355,0.07488205738577663,0.987769620631363,10.868079426627688,0.9995031899443236,1.117183511956362,0.012546888198147275,0.024224741456944962,0.02403643393384235,0.06982548544521405,0.08080342767950888,0.07002321587565699
asmc,true,octagon,velocity,10,true,23.95133456455157,46.09224615503871,0.21327471678688065,0.03545448614330835,0.07573624708362035,1.0271615340127271,8.36392628429993,1.0000094306804006,1.0937786821407502,0.012535311844531443,0.024183155827995937,0.035135536021127324,0.0729047937820394,0.07891323911652925,0.1210030203957949
asmc,true,spin_creep,velocity,1,true,13.447344122451346,46.01477778987013,0.22639668605540197,0.33033825790148036,0.0847535379517417,0.0131109197859657,0.1701526179208832,3.592167477692118,3.666114242104075,0.019461339289510077,0.002367900109227338,0.01851279296861662,0.029482143537016725,0.005605418757997059,0.0621876420117895
asmc,true,spin_creep,velocity,2,true,22.28837303876003,45.254739032925436,0.22628990065298912,0.3407547567193908,0.08993456944734382,0.0322355103389913,0.173406296672005,3.7787474058715085,1.2952142732056442,0.02030214941281919,0.0026532404198090108,0.0439097292836519,0.033896979394430815,0.006330452949861932,0.10441320884746474
asmc,true,spin_creep,velocity,3,true,23.1140182665271,46.85504349198563,0.2206841021254483,0.40273772113067524,0.1064312460976597,0.02825139323598639,0.16898870598199142,3.653877571059146,1.933332874761041,0.025675301425101573,0.0036868108689433366,0.0399799425055364,0.042057871304807384,0.010910998066271932,0.0895659664732249
asmc,true,spin_creep,velocity,4,true,16.668730013949226,46.326901538499165,0.22874210044045806,0.3242472199530235,0.08250176236089635,0.020306032491778682,0.16941773317776945,3.6226123868086533,3.0123223216372215,0.018896992586264955,0.0023715264316727905,0.028737671023909925,0.03196775731946254,0.006025336004390215,0.09180966474155339
asmc,true,spin_creep,velocity,5,true,12.934258850322236,45.8560091667792,0.22697124810340827,0.37775899591797935,0.08980898134838496,0.008544840722503015,0.1698939964479245,3.622004683913979,2.4935369016543074,0.023540378231028843,0.0025338377544908966,0.012728560565446963,0.039263195452922436,0.009563879834150088,0.03882751436264403
