iteration,score,best_so_far
1,327.9547743072517,327.9547743072517
2,300.8265614451233,300.8265614451233
3,428.13267097579603,300.8265614451233
4,283.78758353349554,283.78758353349554
5,397.9664832136715,283.78758353349554
6,278.71131124633,278.71131124633
7,281.69300405508983,278.71131124633
8,365.60370278986284,278.71131124633
9,516.4149414558318,278.71131124633
10,398.94659835565477,278.71131124633
11,364.8331544843646,278.71131124633
12,288.7969540754103,278.71131124633
13,476.9793079236389,278.71131124633
14,373.6492060669084,278.71131124633
15,271.13862257256653,271.13862257256653
16,1.0e6,271.13862257256653
17,261.26610984918204,261.26610984918204
18,404.765640548397,261.26610984918204
19,231.63695293863066,231.63695293863066
20,284.72837306279496,231.63695293863066
21,290.17223593722576,231.63695293863066
22,326.45804322187496,231.63695293863066
23,251.60876223554305,231.63695293863066
24,317.481033128426,231.63695293863066
25,269.45042060955757,231.63695293863066
26,1.0e6,231.63695293863066
27,403.0722461932966,231.63695293863066
28,302.0647340405317,231.63695293863066
29,242.09134620473273,231.63695293863066
30,313.09735076731505,231.63695293863066
31,372.541354863102,231.63695293863066
32,266.707065990155,231.63695293863066
33,360.76302299692935,231.63695293863066
34,278.8347936199409,231.63695293863066
35,357.94737635472154,231.63695293863066
36,334.95400719753326,231.63695293863066
37,415.20469256884354,231.63695293863066
38,241.42156342363404,231.63695293863066
39,332.3058734934696,231.63695293863066
40,270.13436196808584,231.63695293863066
41,435.7166690196507,231.63695293863066
42,371.1699020301474,231.63695293863066
43,1.0e6,231.63695293863066
44,1.0e6,231.63695293863066
45,381.399459865574,231.63695293863066
46,402.6902759278353,231.63695293863066
47,390.18836834431795,231.63695293863066
48,1.0e6,231.63695293863066
49,290.90223175201425,231.63695293863066
50,509.3119759352388,231.63695293863066
51,349.9872449522817,231.63695293863066
52,1.0e6,231.63695293863066
53,315.0009190528003,231.63695293863066
54,343.511558077176,231.63695293863066
55,291.30054648370697,231.63695293863066
56,312.47434088109026,231.63695293863066
57,218.26318518361938,218.26318518361938
58,1.0e6,218.26318518361938
59,280.5549981426565,218.26318518361938
60,393.3170615193974,218.26318518361938
61,402.8285184032097,218.26318518361938
62,386.9896694862455,218.26318518361938
63,426.7602788181343,218.26318518361938
64,377.6636064855787,218.26318518361938
65,207.44688173391938,207.44688173391938
66,243.26066691721158,207.44688173391938
67,373.80509002651814,207.44688173391938
68,1.0e6,207.44688173391938
69,613.5493713545977,207.44688173391938
70,304.385809811399,207.44688173391938
71,295.532231950017,207.44688173391938
72,291.1790720333256,207.44688173391938
73,352.1124194502761,207.44688173391938
74,257.85167696467045,207.44688173391938
75,313.8111114156761,207.44688173391938
76,311.3420183208942,207.44688173391938
77,411.2607456519238,207.44688173391938
78,348.74729888311515,207.44688173391938
79,369.0767226205176,207.44688173391938
80,310.9391387111624,207.44688173391938
81,326.49719817432475,207.44688173391938
82,293.19358030037074,207.44688173391938
83,1.0e6,207.44688173391938
84,436.1936238653642,207.44688173391938
85,337.53854366923315,207.44688173391938
86,1.0e6,207.44688173391938
87,1.0e6,207.44688173391938
88,185.89732321027893,185.89732321027893
89,312.62659891031154,185.89732321027893
90,204.8239344902855,185.89732321027893
91,350.9695438956315,185.89732321027893
92,222.40255326739856,185.89732321027893
93,1.0e6,185.89732321027893
94,301.10662053390513,185.89732321027893
95,295.00579336360715,185.89732321027893
96,232.43296647286104,185.89732321027893
97,1.0e6,185.89732321027893
98,354.44314987236686,185.89732321027893
99,443.72080358140954,185.89732321027893
100,402.11141486027554,185.89732321027893
101,254.87617411273698,185.89732321027893
102,409.87718115040025,185.89732321027893
103,411.7391619407989,185.89732321027893
104,383.2183361064614,185.89732321027893
105,258.6352026918947,185.89732321027893
106,305.65333996032246,185.89732321027893
107,311.10984220358955,185.89732321027893
108,268.1812861531656,185.89732321027893
109,628.7476734409075,185.89732321027893
110,275.46396302314787,185.89732321027893
111,325.08056153465134,185.89732321027893
112,295.383860672326,185.89732321027893
113,864.0096700709503,185.89732321027893
114,1.0e6,185.89732321027893
115,321.1649725439166,185.89732321027893
116,369.4962899114247,185.89732321027893
117,1.0e6,185.89732321027893
118,318.6766535941267,185.89732321027893
119,365.7448794784371,185.89732321027893
120,385.8998887817668,185.89732321027893
121,401.8364528036326,185.89732321027893
122,520.0368702922009,185.89732321027893
123,336.26963994549106,185.89732321027893
124,1.0e6,185.89732321027893
125,1.0e6,185.89732321027893
126,433.56877031029126,185.89732321027893
127,430.17885985147075,185.89732321027893
128,1.0e6,185.89732321027893
129,327.001905112907,185.89732321027893
130,210.91724765683924,185.89732321027893
131,334.62135374720776,185.89732321027893
132,379.26026630273606,185.89732321027893
133,1.0e6,185.89732321027893
134,306.89694279135534,185.89732321027893
135,328.37726971175107,185.89732321027893
136,357.2161036353066,185.89732321027893
137,344.75728443597706,185.89732321027893
138,272.07961195957455,185.89732321027893
139,313.9580997897967,185.89732321027893
140,355.80361595673037,185.89732321027893
141,474.62123246220125,185.89732321027893
142,373.78134870859503,185.89732321027893
143,376.810352640598,185.89732321027893
144,427.2208598135217,185.89732321027893
145,364.4375242150343,185.89732321027893
146,334.9658931179878,185.89732321027893
147,340.85285701063054,185.89732321027893
148,319.2437918722594,185.89732321027893
149,1.0e6,185.89732321027893
150,439.8014501238116,185.89732321027893
151,317.2132951407213,185.89732321027893
152,293.65805004986476,185.89732321027893
153,283.3181643903205,185.89732321027893
154,323.0052068174788,185.89732321027893
155,322.9459430750125,185.89732321027893
156,408.56489574871136,185.89732321027893
157,358.7598035664381,185.89732321027893
158,343.99712041750024,185.89732321027893
159,1.0e6,185.89732321027893
160,345.43579804204984,185.89732321027893
161,330.1550046189213,185.89732321027893
162,1.0e6,185.89732321027893
163,446.6319542245057,185.89732321027893
164,317.7099444849712,185.89732321027893
165,399.8937488658421,185.89732321027893
166,1.0e6,185.89732321027893
167,481.4714094080871,185.89732321027893
168,295.2532480551893,185.89732321027893
169,517.6086041537707,185.89732321027893
170,434.9643293515086,185.89732321027893
171,498.7524906579142,185.89732321027893
172,313.98153094918115,185.89732321027893
173,1.0e6,185.89732321027893
174,383.00194545760803,185.89732321027893
175,252.11992062361168,185.89732321027893
176,350.8088059141195,185.89732321027893
177,1.0e6,185.89732321027893
178,353.4646950071777,185.89732321027893
179,392.8039222273342,185.89732321027893
180,476.3825021475385,185.89732321027893
181,1.0e6,185.89732321027893
182,472.95557411466024,185.89732321027893
183,289.844283773461,185.89732321027893
184,420.7147451575987,185.89732321027893
185,531.6919722102328,185.89732321027893
186,517.933438116638,185.89732321027893
187,1.0e6,185.89732321027893
188,437.2406511079045,185.89732321027893
189,353.4043544842772,185.89732321027893
190,1.0e6,185.89732321027893
191,461.51250539464945,185.89732321027893
192,1.0e6,185.89732321027893
193,348.85783742742086,185.89732321027893
194,295.1137836447583,185.89732321027893
195,1.0e6,185.89732321027893
196,465.526486976188,185.89732321027893
197,270.62680318490084,185.89732321027893
198,322.87304261333276,185.89732321027893
199,530.6304722965873,185.89732321027893
200,497.5311854585144,185.89732321027893
201,1.0e6,185.89732321027893
202,412.360351275997,185.89732321027893
203,289.84257708065337,185.89732321027893
204,337.05190392223244,185.89732321027893
205,264.59657309892884,185.89732321027893
206,473.47328741454544,185.89732321027893
207,372.6127985619105,185.89732321027893
208,1.0e6,185.89732321027893
209,409.21293626608195,185.89732321027893
210,316.4484112923024,185.89732321027893
211,347.47139640119804,185.89732321027893
212,427.0683522431144,185.89732321027893
213,273.3020112279279,185.89732321027893
214,373.4867746200892,185.89732321027893
215,359.35853898483504,185.89732321027893
216,390.0007376689485,185.89732321027893
217,241.9980402998259,185.89732321027893
218,1.0e6,185.89732321027893
