seed,mode,name,combo_idx,mu,role,t_start,t_end,score,vel_rmse,rate_rmse,pos_rmse,heading_rmse,inslip_vel_rmse,smoothness
1,segment,octagon,288,0.5,grip,5.938177726788125,15.938177726788126,16.313383844107804,0.0041249579324664715,0.05411596082549275,0.0026197815183222144,0.008836253856418022,0.005603448125519074,0.5555633219792661
1,segment,octagon,288,0.5,grip,29.601065470055037,39.60106547005503,8.495398745624183,0.0021416589665976256,0.02344939831618269,0.0027032537930164434,0.008835262469016836,0.002828857602144681,0.5218143812055881
1,segment,octagon,213,0.3,slip,7.866447665752987,17.866447665752986,11.668022658181561,0.001728570896426185,0.06673836240578686,0.00263522732577524,0.008830178437506787,0.002102195452667689,0.33758984361600824
1,segment,octagon,213,0.3,slip,25.12054634183187,35.12054634183187,12.758196202532378,0.001978413880945576,0.07610941568189473,0.002568351959411556,0.008829318818093327,0.0020181155839581267,0.2191618337742796
1,segment,coupled_vomega,32,0.8,grip,5.12675594393071,10.62675594393071,106.23299241784066,0.03825055024960812,0.2554272970648072,0.007356564135792237,0.009033653016996502,0.040416162759573465,7.690559737989672
1,segment,coupled_vomega,32,0.8,grip,16.26966466111901,21.76966466111901,53.740589208779454,0.019251917509400147,0.08806637812902403,0.004300008093114202,0.009001625272261018,0.02396891258567166,7.65915928535429
1,segment,coupled_vomega,72,0.5,mid,4.219985703668529,9.719985703668529,14.612456272256223,0.003126769352816417,0.0650434295983196,0.002556436982639581,0.00896110203196726,0.003814133862667391,0.309123909595469
1,segment,coupled_vomega,72,0.5,mid,16.011851339185814,21.511851339185814,9.357513957884725,0.0008899587709400908,0.06584841869689546,0.002426175530497572,0.008991575367089525,0.000730894041691188,0.20088371610381053
1,segment,spin_creep,26,0.3,slip,4.070275971489471,9.32027597148947,25.607175597990473,0.0006572491729767908,0.2303935775996314,0.002427501237698567,0.009059869414081708,0.0007071083548540664,1.0944649003690454
1,segment,spin_creep,26,0.3,slip,14.427657323943922,19.677657323943922,40.39423560779916,0.0007250674050610412,0.37552152585959514,0.0027057925894045792,0.009233836798511563,0.0006978301885347787,4.504449789044283
1,segment,spin_creep,46,0.3,slip,2.841438968078741,8.59143896807874,39.5712668883924,0.0007039564777837405,0.3655972170732882,0.0028493817592713236,0.009274609788428203,0.0006581282726098258,8.741225518001286
1,segment,spin_creep,46,0.3,slip,15.289221792715324,21.039221792715324,46.48833485002697,0.0007059189256280336,0.43926702991658567,0.0024847328158535183,0.009270365331093863,0.0006491220782272268,0.6216207963681258
1,segment,long_circle,115,0.3,slip,1.2476505040879287,7.274198749831598,40.216266105931616,0.017850626852591835,0.04046775564655513,0.004197153705339705,0.00888190737215625,0.01699059739657218,0.407203687249834
1,segment,long_circle,115,0.3,slip,16.73846689798763,22.7650151437313,208.2420987812275,0.023835961399851207,0.0016332382575234502,1.2546426304404472,0.1771552317534782,0.02998557776476632,221.54899142930228
1,segment,spiral_orbit,16,0.8,grip,0.5653200877170288,6.1420383223910555,63.168294899449904,0.027208792367209498,0.05133438572649744,0.005245640464793598,0.00892154043135205,0.02937552385384881,0.6764403225456956
1,segment,spiral_orbit,16,0.8,grip,16.15546050439847,21.732178739072495,4.81881646045156,0.0013439637680746999,0.009760345382161653,0.0025511545843299867,0.008934679329389416,0.001344903888939265,0.1066174769897936
1,segment,multisine_75percent_cap,55,0.8,broadband,7.710976258790425,22.710976258790424,11.571399810231515,0.0013845564472526539,0.0753024338438206,0.002552016008804195,0.008937383752863036,0.0013711393881587375,2.7304122854268074
1,segment,multisine_75percent_cap,55,0.8,broadband,43.042347940002024,58.042347940002024,11.723415944072906,0.0012730134484312066,0.07936747877300059,0.0025347746024314073,0.008924687096118036,0.0012343204759433664,2.6677594508666136
1,segment,ellipse,1,0.5,unloaded,2.217793667841848,10.672527680873431,20.54680925095703,0.0013886425526644845,0.1663126185377691,0.002606344058543331,0.00883536352448971,0.0013396486231387434,0.8617092614717804
1,segment,ellipse,1,0.5,unloaded,17.37902827380266,25.833762286834244,21.58839439586237,0.0013746125068006742,0.17645798910703553,0.0025941588571695147,0.008853338491443081,0.0013799847733073694,0.8649694037903058
1,segment,ellipse,5,0.5,loaded,2.2077193589634225,6.77605977626898,46.164186226557995,0.003644153681275762,0.36660724978149917,0.003020965163822377,0.009030582345354332,0.003388499387151899,25.31306858125507
1,segment,ellipse,5,0.5,loaded,11.729364279111262,16.29770469641682,70.02384088513185,0.0029696654921023665,0.6090135697159216,0.0028429403343883186,0.009344442483374469,0.002773624352519723,43.20911574282649
1,full,octagon,288,0.5,grip,0.0,0.0,11.514162625597171,0.0028577088654443343,0.036588395279992234,0.0023707804027797252,0.008947441071627933,0.0038423862059901275,0.4681175744544027
1,full,octagon,213,0.3,slip,0.0,0.0,8.766334541956326,0.0014792483438733617,0.04388454416712771,0.0023308546779775554,0.008953100156847645,0.0017576859372775099,0.2510072122032719
1,full,coupled_vomega,32,0.8,grip,0.0,0.0,1741.6211680464685,0.7048115021492153,0.26797674109130915,0.16119516001890297,0.03603805941372431,0.9902718533393831,0.33633010952931536
1,full,coupled_vomega,72,0.5,mid,0.0,0.0,19.71318554181511,0.002166616488220609,0.13818408023951625,0.0024077622798516023,0.008865490074874605,0.00259586478889387,0.09942010552767672
1,full,spin_creep,26,0.3,slip,0.0,0.0,90.24184787617386,0.0007448436520967482,0.49230206378414326,0.002727211768807031,0.009353932252049776,0.0006506212929822264,768.1612430118976
1,full,spin_creep,46,0.3,slip,0.0,0.0,50.85540724919126,0.0007257309847476859,0.37863689146950424,0.002568380096348728,0.0090914658554941,0.0006261127723323657,209.4777949995301
1,full,long_circle,115,0.3,slip,0.0,0.0,42.69452335862236,0.020446572849052977,0.02407431818407886,0.004545191843756845,0.008998447689675886,0.0184807054979309,0.10898479774633546
1,full,spiral_orbit,16,0.8,grip,0.0,0.0,49.637323607130504,0.02554057595855883,0.038212664913064236,0.004676374810751067,0.00901788286328799,0.01889619899773333,0.1971278425602084
1,full,multisine_75percent_cap,55,0.8,broadband,0.0,0.0,11.475398637136133,0.0013343056940120905,0.07601663713561974,0.002284107427550655,0.008820452527388497,0.0012942023967522105,2.695416746318899
1,full,ellipse,1,0.5,unloaded,0.0,0.0,24.89607589777749,0.0013834956186838856,0.20938529551553275,0.002301473786712191,0.009052353446861281,0.001380597481003313,1.1614104635932883
1,full,ellipse,5,0.5,loaded,0.0,0.0,76.21673813256822,0.0033609219441249182,0.6780159139953891,0.0027226837530262863,0.009676559064218151,0.003232589108102428,11.634227981550811
2,segment,octagon,288,0.5,grip,8.276401077590767,18.27640107759077,241.33844180242696,0.002379525342406802,0.0360984728110554,1.729266042131769,0.5946210761098775,0.0029319845443772597,0.5674562074548759
2,segment,octagon,288,0.5,grip,21.71822044477358,31.71822044477358,335.5139438433405,0.0035902801983445694,0.04823435231265451,2.5392405589848437,0.6841028724193948,0.004740479123694342,0.5081229922448869
2,segment,octagon,213,0.3,slip,5.063239420516126,15.063239420516126,30.859967121421324,0.0018959782589514835,0.06647523054933266,0.1932878245098732,0.010486832305781573,0.0019279586353836591,0.2208298117488257
2,segment,octagon,213,0.3,slip,24.759441241830586,34.75944124183059,123.15868153837818,0.0018115820263075373,0.05549994725699845,1.1288365916933514,0.01024358955238315,0.001878255278874582,0.21662765845519671
2,segment,coupled_vomega,32,0.8,grip,2.579962456906097,8.079962456906097,550.5466775304112,0.1879501405309042,0.308562323955181,0.6710272561741008,0.011301454343986569,0.2633673369935652,2.8019311722999634
2,segment,coupled_vomega,32,0.8,grip,12.04497889282213,17.54497889282213,776.3836515639478,0.20690818988084242,0.24978989417176395,4.808913541004687,0.10233625869099519,0.05056845944717603,56.06065698369431
2,segment,coupled_vomega,72,0.5,mid,2.655214074121812,8.155214074121812,33.493806709936734,0.006604605246605049,0.14321928335904055,0.02201050462953493,0.011497999081325854,0.00920237797918667,0.28089554309760556
2,segment,coupled_vomega,72,0.5,mid,16.118571660672934,21.618571660672934,14.553584553490271,0.0008772604257477224,0.05990433054150286,0.03671488663837509,0.03276383478047486,0.000734925125127923,0.06187613158692427
2,segment,spin_creep,26,0.3,slip,4.015309188432452,9.265309188432452,29.15196971842349,0.0006535255819994997,0.20186734942276083,0.022383105799088955,0.05350373812938387,0.0007198625889169723,0.06324424767317022
2,segment,spin_creep,26,0.3,slip,15.475647788450726,20.725647788450726,43.93731437850094,0.0007707866199026603,0.3784619816152428,0.02245304761713538,0.020404877375501975,0.0007750435614147168,5.189870727911007
2,segment,spin_creep,46,0.3,slip,3.7837986248046365,9.533798624804636,33.50029100275603,0.0006523512806652346,0.28719323371857736,0.022452151408346097,0.01169228397098162,0.0006944067430766311,0.39532138447314125
2,segment,spin_creep,46,0.3,slip,13.16901408130218,18.91901408130218,89.6407059525199,0.0006845879677337728,0.5564655865673492,0.023177999306333987,0.30354111209001383,0.0006123127359817019,0.5067090486939816
2,segment,long_circle,115,0.3,slip,3.7664171017089756,9.792965347452645,367.5925217843272,0.08091834463051023,0.0007309598440210756,1.68129072736483,0.21217487579233876,0.08340378756161361,277.0146658416861
2,segment,long_circle,115,0.3,slip,15.928104451758816,21.954652697502485,1179.5022259904683,0.09350787856977116,0.0006994549982673858,8.551226567766033,1.2623558151692538,0.09067748367938325,277.773598959169
2,segment,spiral_orbit,16,0.8,grip,5.28854675152399,10.865264986198017,750.6426349633587,0.05677749615783011,0.0014589483950640065,5.203133826185071,0.9876001087583849,0.059029261256100016,312.33178431153243
2,segment,spiral_orbit,16,0.8,grip,16.611178079834332,22.187896314508357,349.0752863261551,0.0012614597877457763,0.0017765794571987558,3.1435058876876707,0.3196379603952055,0.001320785336179262,0.019968964451193186
2,segment,multisine_75percent_cap,55,0.8,broadband,3.673473845056291,18.673473845056293,13.986366832276477,0.0013628186450729298,0.07427893264047458,0.022130088791146873,0.015187180529620682,0.0013240399600126383,2.7977606213339024
2,segment,multisine_75percent_cap,55,0.8,broadband,38.2309467115044,53.2309467115044,13.82757952293339,0.0013254005833512454,0.07667201712903943,0.020672949396284262,0.013523761946414402,0.0012824506318050185,2.6571092120664113
2,segment,ellipse,1,0.5,unloaded,2.4262093703453576,10.880943383376941,66.41928296143215,0.0015252134748517654,0.1360877125949724,0.04705598172584864,0.45020281983059157,0.0015205181044093798,0.7779993405947144
2,segment,ellipse,1,0.5,unloaded,25.26247012671474,33.71720413974632,58.674083591724376,0.0018618264892307855,0.1676355845560467,0.24941678586772595,0.132417805522221,0.0018390344564650015,0.524101028584576
2,segment,ellipse,5,0.5,loaded,2.0100976074232397,6.578438024728797,66.73542755978531,0.003845952940206214,0.30039987077809754,0.056652474116734304,0.23267162667675867,0.0038502059420622283,1.337430407156114
2,segment,ellipse,5,0.5,loaded,10.86716688916114,15.435507306466697,67.3494310355624,0.0036309898498746327,0.3234197660285509,0.06817225868156866,0.2091418805939249,0.0035698676311708265,1.5036604822501776
2,full,octagon,288,0.5,grip,0.0,0.0,20.98584953655393,0.002742356973039623,0.0362444468805062,0.019733687328730442,0.08896716086105298,0.003725543271552518,0.46839569865653885
2,full,octagon,213,0.3,slip,0.0,0.0,10.802573272101121,0.0015298271107788961,0.04190415016666185,0.01981340941599861,0.01196848006435321,0.0018915361532085445,0.25212086824628444
2,full,coupled_vomega,32,0.8,grip,0.0,0.0,1583.4783466500267,0.6506848093651634,0.2629953633392464,0.019576636138588017,0.012387517234554094,0.9032844849543911,0.26201318467149504
2,full,coupled_vomega,72,0.5,mid,0.0,0.0,26.290161216887586,0.0043278631109474955,0.12999817547187845,0.018900760434313203,0.012299693801802115,0.00583759709955816,0.09676071165107737
2,full,spin_creep,26,0.3,slip,0.0,0.0,63.380823842166265,0.0007143491853977342,0.47381663830667753,0.01909092451638739,0.01267747592460108,0.0006052013371081544,230.05538889787525
2,full,spin_creep,46,0.3,slip,0.0,0.0,61.368000302334856,0.0007058367441267397,0.5188952431049588,0.018716454916039103,0.012542145357740616,0.0005853649165572738,101.22828607553984
2,full,long_circle,115,0.3,slip,0.0,0.0,1955.8497445868309,0.9362510678126683,0.08931894720441036,0.020445406010021264,0.012101426778174365,1.0074058149766765,0.1256759645108459
2,full,spiral_orbit,16,0.8,grip,0.0,0.0,1625.3040993663399,0.8127702670950695,0.11316922989010983,0.0198984145840732,0.012237602891310739,0.7979910956805549,0.24423708332005026
2,full,multisine_75percent_cap,55,0.8,broadband,0.0,0.0,13.350680624587184,0.001331455776818294,0.07494627596297923,0.01903262301726878,0.011797919594773153,0.0013064226269360057,2.7024072666154204
2,full,ellipse,1,0.5,unloaded,0.0,0.0,43.12250102377672,0.001451886468602122,0.1640559233255337,0.019192361801928282,0.2185603578919792,0.0014428405205882504,0.9381946528446204
2,full,ellipse,5,0.5,loaded,0.0,0.0,103.33335055991861,0.003365012132006617,0.6469830022321932,0.019119831389402327,0.29715532472970846,0.003280179881692431,7.246854221783391
3,segment,octagon,288,0.5,grip,2.1689501546406054,12.168950154640605,15.35401497747475,0.003925989937317614,0.04971674619711822,0.0025459896308837764,0.008562859515036063,0.005320294557252116,0.5034189720243086
