iteration,score,best_so_far
1,112.26481890328938,112.26481890328938
2,1.0e6,112.26481890328938
3,574.7898898884316,112.26481890328938
4,118.84131660276134,112.26481890328938
5,150.7812282947262,112.26481890328938
6,164.81730466801713,112.26481890328938
7,214.50984058277697,112.26481890328938
8,168.75036218719856,112.26481890328938
9,154.6599794430761,112.26481890328938
10,134.94708719002597,112.26481890328938
11,699.9510304724396,112.26481890328938
12,151.3506289467198,112.26481890328938
13,157.23761961946605,112.26481890328938
14,238.3856980840775,112.26481890328938
15,447.23647426393296,112.26481890328938
16,181.63519414648195,112.26481890328938
17,110.43624267108986,110.43624267108986
18,171.57165009080626,110.43624267108986
19,139.62845834736603,110.43624267108986
20,133.49607918798137,110.43624267108986
21,118.91526114259517,110.43624267108986
22,270.97734781743355,110.43624267108986
23,122.27726942426024,110.43624267108986
24,120.37116302679057,110.43624267108986
25,134.9634639729287,110.43624267108986
26,130.451258307496,110.43624267108986
27,119.14198457054724,110.43624267108986
28,758.4325261474717,110.43624267108986
29,144.0131346279049,110.43624267108986
30,114.32344687127642,110.43624267108986
31,107.0744296428349,107.0744296428349
32,125.7088409788858,107.0744296428349
33,115.91835235475281,107.0744296428349
34,107.77857171815054,107.0744296428349
35,112.78966502130716,107.0744296428349
36,108.89502016074749,107.0744296428349
37,150.27720214419026,107.0744296428349
38,109.24660575260407,107.0744296428349
39,111.85724543996264,107.0744296428349
40,148.54590073559194,107.0744296428349
41,113.8616295369514,107.0744296428349
42,115.73927473916065,107.0744296428349
43,128.04814543713707,107.0744296428349
44,112.08918660945844,107.0744296428349
45,112.28210227893516,107.0744296428349
46,110.00259829343383,107.0744296428349
47,106.83811260991192,106.83811260991192
48,113.5637674840471,106.83811260991192
49,109.87807399119754,106.83811260991192
50,106.91339582600904,106.83811260991192
51,107.13516083969319,106.83811260991192
52,109.24777743157864,106.83811260991192
53,107.08687271234365,106.83811260991192
54,115.32426013248738,106.83811260991192
55,107.3688487982398,106.83811260991192
56,107.02132514506386,106.83811260991192
57,110.3645559189105,106.83811260991192
58,106.93292771771002,106.83811260991192
59,107.19620352125595,106.83811260991192
60,107.04298391478993,106.83811260991192
61,106.85482929384315,106.83811260991192
62,106.95172532613205,106.83811260991192
63,107.08258008672681,106.83811260991192
64,107.40738521801146,106.83811260991192
65,292.7734557845309,106.83811260991192
66,107.66142906709433,106.83811260991192
67,106.90621506964611,106.83811260991192
68,107.08511231434716,106.83811260991192
69,579.5723836239971,106.83811260991192
70,107.87014337788466,106.83811260991192
71,107.48047066797514,106.83811260991192
72,110.70163979488385,106.83811260991192
73,107.24014140269156,106.83811260991192
74,106.9808817472356,106.83811260991192
75,106.91657804169483,106.83811260991192
76,106.97216676454823,106.83811260991192
77,106.93148644069765,106.83811260991192
78,108.27679744805931,106.83811260991192
79,107.22124339661602,106.83811260991192
80,107.1914745477169,106.83811260991192
81,106.81520795147786,106.81520795147786
82,107.0995013932589,106.81520795147786
83,107.08620155980105,106.81520795147786
84,107.23248308690134,106.81520795147786
85,106.75725870813366,106.75725870813366
86,109.16505058690288,106.75725870813366
87,107.02378574072091,106.75725870813366
88,107.046597390827,106.75725870813366
89,107.61664963686748,106.75725870813366
90,106.45819900340172,106.45819900340172
91,107.36485367811783,106.45819900340172
92,106.57566686925622,106.45819900340172
93,108.37784679610374,106.45819900340172
94,107.37191028246116,106.45819900340172
95,107.01898267943574,106.45819900340172
96,106.95993876796118,106.45819900340172
97,235.0564117245197,106.45819900340172
98,107.46812534534118,106.45819900340172
99,107.02166253004162,106.45819900340172
100,106.7826108329659,106.45819900340172
101,106.92300163425867,106.45819900340172
102,107.00694419996663,106.45819900340172
103,106.88817815046374,106.45819900340172
104,106.80660667707347,106.45819900340172
105,107.10062224243194,106.45819900340172
106,107.55446611833557,106.45819900340172
107,106.36619422741764,106.36619422741764
108,106.92849000290725,106.36619422741764
109,106.80936351276918,106.36619422741764
110,106.90280103289538,106.36619422741764
111,106.87446880998422,106.36619422741764
112,106.87218286703974,106.36619422741764
113,107.00933035589713,106.36619422741764
114,106.8678697176897,106.36619422741764
115,106.80185143123782,106.36619422741764
116,107.00116434358983,106.36619422741764
117,106.7417000823163,106.36619422741764
118,106.60717294376258,106.36619422741764
119,106.40354209273318,106.36619422741764
120,106.66605606942423,106.36619422741764
121,106.64772876089677,106.36619422741764
122,106.80155973340977,106.36619422741764
123,106.46434782384443,106.36619422741764
124,106.66511122499656,106.36619422741764
