traj,variant,vel_rmse,inslip_vel_rmse,slip_rmse_x,slip_rmse_y,pos_rmse,heading_rmse,score
octagon_c288_mu0.5,baseline,0.002932010934694874,0.00395404059894083,0.0045205132643227515,0.0037971024257376527,0.006677922492383467,0.008579533324188055,12.084522836377872
octagon_c288_mu0.5,smo,0.003518413852493718,0.004444647163388717,0.004800945730050475,0.004347595349414426,0.006679385987612768,0.008579632743421207,13.173736648541231
octagon_c288_mu0.5,eso,0.0031696995851598687,0.0042967460584107135,0.005048205237462194,0.003988546119375553,0.00667839988162989,0.008579529197351726,12.668086326288313
octagon_c213_mu0.3,baseline,0.0014790054214487353,0.0017597319754164807,0.0030095736278426136,0.0040302882095699785,0.006680342758642431,0.008587158280190643,9.151312496409926
octagon_c213_mu0.3,smo,0.0016676193308901269,0.001941196061275538,0.0031474312028008096,0.0042054799366700564,0.006680356961107131,0.008587145604122836,9.520466822062295
octagon_c213_mu0.3,eso,0.0015408797817983413,0.001848534689916921,0.0031269678519237187,0.004129866701019328,0.0066804713990520955,0.008587172116908612,9.305436560167369
coupled_vomega_c32_mu0.8,baseline,0.42857147981015964,0.5120934600832949,0.47123197710838444,0.3856551955162343,0.015654207652810517,0.008698941164452682,965.564401921123
coupled_vomega_c32_mu0.8,smo,1.3270545602616872,1.6819078814207036,1.4397548946855465,1.2144429164476342,4.2293018873770745,0.5321302140460933,3518.1378821295402
coupled_vomega_c32_mu0.8,eso,1.3260000410959096,1.6815506336718324,1.4395087777633728,1.2125790872023874,4.224995126768259,0.5320576412762342,3516.2846406162394
coupled_vomega_c72_mu0.5,baseline,0.002103809926146073,0.002533639529889018,0.004741770424289942,0.004165643492309736,0.006839897077130334,0.008586742969055256,19.37133232325439
coupled_vomega_c72_mu0.5,smo,0.002213192326067769,0.002689687081286855,0.004876063346678525,0.004161317780750218,0.006839609886315103,0.00858691129954223,19.661096767510188
coupled_vomega_c72_mu0.5,eso,0.002231886282600846,0.00271185955568388,0.004938643490004541,0.0042216079792924965,0.006839618646352117,0.008586868549659581,19.698898786827943
spin_creep_c26_mu0.3,baseline,0.000820602733475002,0.0007006132118398151,0.014153016536599056,0.014553345943825473,0.006900292279747745,0.00912664830476952,58.83298644558418
spin_creep_c26_mu0.3,smo,0.0009039244467127876,0.0008530589358085429,0.014144262997307642,0.014496954103227142,0.006900107857973045,0.009183463213819907,61.77138747079826
spin_creep_c26_mu0.3,eso,0.0008460350253372538,0.0007110150619671408,0.014267892437206069,0.014679825016292837,0.006900072579525382,0.009207808852564963,62.73595319518813
spin_creep_c46_mu0.3,baseline,0.0007783338139472475,0.0006550412009633712,0.014243619169704267,0.014452827574771732,0.0069429953879767805,0.009002738221931228,54.85608120449105
spin_creep_c46_mu0.3,smo,0.0008180428225125948,0.0007050880005669475,0.01419240909836915,0.014392251061555872,0.006943219159136706,0.0090544552882782,57.7821367193488
spin_creep_c46_mu0.3,eso,0.0008056835485708096,0.000669054150965918,0.014360015447190674,0.014574806184519092,0.0069430104147758034,0.009080920545887612,59.16966446578369
long_circle_c115_mu0.3,baseline,0.08601484836993013,0.08876322158913322,0.06863227071001798,0.10332051882189239,0.007301984841594234,0.008536657993077082,179.7298999299505
long_circle_c115_mu0.3,smo,1.7294440233196173,1.8600974550513425,2.3460347274998674,1.112803838748532,3.0564312891521914,0.13287435314769566,3920.8093885797107
long_circle_c115_mu0.3,eso,1.7540447079052996,1.8865645007589928,2.379708254960936,1.12833097394343,3.2447863219670943,0.1333576837153025,3990.8751008071654
spiral_orbit_c16_mu0.8,baseline,0.09433345274314603,0.06812030212515367,0.07183796082273813,0.11668703770299886,0.007449509640147791,0.008549331521447871,169.16639473020308
spiral_orbit_c16_mu0.8,smo,2.173388530638684,2.4073845664560065,2.3141932906711062,2.0325321267376384,6.756509532855136,0.3789185521473884,5314.276497328726
spiral_orbit_c16_mu0.8,eso,2.226100715692283,2.469957107073031,2.374211784600137,2.0779362328570956,7.215195433372196,0.4016203117558668,5478.001269017665
multisine_75percent_cap_c55_mu0.8,baseline,0.0013780896317723234,0.0013378839380738467,0.01631226797767519,0.01606657865072474,0.0067141455272791695,0.008435057332137874,11.875824127281547
multisine_75percent_cap_c55_mu0.8,smo,0.0015663986100524375,0.0015163168905758255,0.016239041470953914,0.016000756153874,0.006714493787322726,0.00843502116428648,12.254152167003648
multisine_75percent_cap_c55_mu0.8,eso,0.0014631599132238129,0.0014185622888869902,0.016445106200857557,0.016198141610994563,0.0067141840197776125,0.00843504276428685,12.041910575837203
ellipse_c1_mu0.5,baseline,0.0013482804650334973,0.001357901934420766,0.013801513546138372,0.014718767591941205,0.0067093160999878295,0.008714097940766817,24.446102784720097
