estimator,traj_name,mode,pose_rmse_mean,pose_rmse_std,velocity_nrmse_mean,velocity_nrmse_std,inslip_nrmse_mean,inslip_nrmse_std,ce_mean,ce_std,pose_drift_rate_mean,n
kalman,coupled_vomega,velocity,NaN,NaN,0.14967137180928025,0.021941089446104137,0.14826794278557523,0.024411782784080065,4.888126897659664,1.2128183254663822,NaN,2
kalman,ellipse,pose,2.758428943097809,1.0163057117139238,NaN,NaN,NaN,NaN,73.9002712178472,26.292724471341522,0.29535993841174013,2
kalman,multisine_75percent_cap,velocity,NaN,NaN,0.2726055734210605,0.1256555418724423,0.28699192316580335,0.15957273927907986,7.67365527115378,1.1948371438463894,NaN,2
kalman,octagon,velocity,NaN,NaN,2.2537722331558534,2.018355507629476,2.520199017192396,2.4226040870978705,6.696722216359774,1.058403566391987,NaN,2
kalman,spiral_orbit,velocity,NaN,NaN,0.2876248877247017,0.08280312531834606,0.24211877670974924,0.16853016743562815,75.96429693402712,28.334763007579053,NaN,2
kalman,long_circle,velocity,NaN,NaN,0.46188829489496636,0.18812642251765418,0.45866772095622665,0.2637247520635542,64.65142715263774,21.423317171336578,NaN,2
kalman,docking,pose,1.3823993236522656,0.022269421544089077,NaN,NaN,NaN,NaN,3.18095120720208,0.07255697642792393,1.309807356689642,2
smo,coupled_vomega,velocity,NaN,NaN,1.6301226493136438,0.6362384666963936,1.842012791878331,0.29777169475261445,96.0,0.0,NaN,2
smo,ellipse,pose,4.2923450887332315,6.070292637236355,NaN,NaN,NaN,NaN,NaN,NaN,0.2984029822932624,2
smo,multisine_75percent_cap,velocity,NaN,NaN,6.227998132579653,1.0127520079261199,5.760768446432283,0.8036243654407099,93.61453126386715,3.3735622392560827,NaN,2
smo,octagon,velocity,NaN,NaN,12.167727549783313,11.780733723902078,11.84437051772389,11.34261645944772,91.32242974763125,6.615083289852831,NaN,2
smo,spiral_orbit,velocity,NaN,NaN,1.0983359095347103,0.0832338674330854,1.3877415930015318,0.05442140609671077,96.0,0.0,NaN,2
smo,long_circle,velocity,NaN,NaN,2.766690421377563,2.1351749057293143,3.5319949041982213,2.657236913495804,96.0,0.0,NaN,2
smo,docking,pose,0.6954183352246757,0.009271032783736621,NaN,NaN,NaN,NaN,17.45909223469815,13.702616293442993,0.17951401970775693,2
