iteration,score,best_so_far
1,367.1278401827184,367.1278401827184
2,1337.0921302347017,367.1278401827184
3,894.8896095126901,367.1278401827184
4,488.2539521811329,367.1278401827184
5,812.2714508151087,367.1278401827184
6,328.31738743423534,328.31738743423534
7,445.6098196403719,328.31738743423534
8,1414.7772487896486,328.31738743423534
9,355.12205168268866,328.31738743423534
10,325.91630876733143,325.91630876733143
11,614.4577025409006,325.91630876733143
12,433.03847867605793,325.91630876733143
13,887.5871291707324,325.91630876733143
14,561.9837722011517,325.91630876733143
15,301.53247993934036,301.53247993934036
16,299.95301332513185,299.95301332513185
17,263.64724945567593,263.64724945567593
18,283.56731500579923,263.64724945567593
19,290.1503236761996,263.64724945567593
20,304.79447404206877,263.64724945567593
21,602.4986922072849,263.64724945567593
22,192.5675312757892,192.5675312757892
23,389.12749497364854,192.5675312757892
24,270.6987092533245,192.5675312757892
25,351.4019227058239,192.5675312757892
26,285.8743880617243,192.5675312757892
27,387.91664347130484,192.5675312757892
28,443.44966383379307,192.5675312757892
29,352.5990248461869,192.5675312757892
30,669.087529991677,192.5675312757892
31,219.46738604645995,192.5675312757892
32,203.02672576224285,192.5675312757892
33,328.24109069478675,192.5675312757892
34,368.8882260244585,192.5675312757892
35,451.3170699006142,192.5675312757892
36,401.8541587234401,192.5675312757892
37,240.88667329864637,192.5675312757892
38,319.7609006355358,192.5675312757892
39,470.53494793610224,192.5675312757892
40,205.6841345837973,192.5675312757892
41,404.2645308989551,192.5675312757892
42,355.1937608347327,192.5675312757892
43,203.4080876070189,192.5675312757892
44,656.3090479731374,192.5675312757892
45,227.17434016376183,192.5675312757892
46,581.7107747655735,192.5675312757892
47,223.0389830315258,192.5675312757892
48,268.8913042863456,192.5675312757892
49,326.33599737975936,192.5675312757892
50,215.91530899873908,192.5675312757892
51,445.6204997905888,192.5675312757892
52,277.9882395272402,192.5675312757892
53,297.64337809220217,192.5675312757892
54,261.26645963843055,192.5675312757892
55,303.5578265367148,192.5675312757892
56,283.3382687156801,192.5675312757892
57,232.117190651184,192.5675312757892
