controller,regime,pose_rmse_mean,pose_rmse_std,velocity_nrmse_mean,velocity_nrmse_std,inslip_nrmse_mean,inslip_nrmse_std,dropout_drift_mean,dropout_drift_std,ce_mean,ce_std,n
asmc,transit,NaN,NaN,1.2616676692889028,2.0626792516353682,1.500587585043032,2.5366561951301865,NaN,NaN,26.37969101651704,33.71322458033144,4
pid,transit,NaN,NaN,0.7429588835598981,0.15107151856652812,0.7433117412794583,0.15144620692455119,NaN,NaN,1.3102864959625893,0.4781915757305759,4
mpc,transit,NaN,NaN,0.7429588835598981,0.15107151856652812,0.7433117412794583,0.15144620692455119,NaN,NaN,1.3102864959625893,0.4781915757305759,4
pid,docking,0.49494435223171196,NaN,NaN,NaN,NaN,NaN,1.118033988749895,NaN,1.40002358712078,NaN,1
asmc,dropout,1.2413877722281845,NaN,NaN,NaN,NaN,NaN,0.8964118074836247,NaN,3.936717388601906,NaN,1
asmc,docking,1.3754663092615687,NaN,NaN,NaN,NaN,NaN,1.7400514264035993,NaN,3.2941821177058896,NaN,1
pid,dropout,0.49494435223171196,NaN,NaN,NaN,NaN,NaN,0.3549079269131533,NaN,1.40002358712078,NaN,1
mpc,docking,0.49494435223171196,NaN,NaN,NaN,NaN,NaN,1.118033988749895,NaN,1.40002358712078,NaN,1
mpc,dropout,0.49494435223171196,NaN,NaN,NaN,NaN,NaN,0.3549079269131533,NaN,1.40002358712078,NaN,1
