run,traj_name,mode,vel_rmse_mps_mean,vel_tol_ratio_mean,inslip_vel_rmse_mps_mean,rate_rmse_radps_mean,rate_tol_ratio_mean,pos_rmse_m_mean,pos_tol_ratio_mean,heading_rmse_rad_mean,heading_tol_ratio_mean,vel_max_mps_mean,vel_max_tol_ratio_mean,rate_max_radps_mean,rate_max_tol_ratio_mean,pos_max_m_mean,pos_max_tol_ratio_mean,heading_max_rad_mean,heading_max_tol_ratio_mean,ce_mean,n
full_v2,coupled_vomega,velocity,0.07243474334353608,72.43474334353607,0.10242231434183821,0.029145083802073198,2.9145083802073195,NaN,NaN,NaN,NaN,0.23521904400180615,235.21904400180617,0.07784272747113,7.784272747113,NaN,NaN,NaN,NaN,5.044065179645467,2
full_v2,ellipse,pose,0.029712850826880903,29.712850826880903,0.039407945436166075,0.032383997566134345,3.2383997566134344,3.572896639955365,357.28966399553656,1.8449966943750173,184.49966943750172,0.1379976721900221,137.9976721900221,0.26891201330869136,26.891201330869134,6.161772531270714,616.1772531270715,3.1413907861955153,314.13907861955147,69.38684858577025,2
full_v2,multisine_75percent_cap,velocity,0.0013228134201763143,1.3228134201763142,0.0016666200630847034,0.07487952099073081,7.487952099073082,NaN,NaN,NaN,NaN,0.015890071673365883,15.890071673365885,0.21081888449782882,21.08188844978288,NaN,NaN,NaN,NaN,6.497611188433808,2
full_v2,octagon,velocity,0.00800727734718908,8.00727734718908,0.011164388125218968,0.04443990483194537,4.443990483194537,NaN,NaN,NaN,NaN,0.0501928844751052,50.1928844751052,0.1222308139178367,12.22308139178367,NaN,NaN,NaN,NaN,6.851503422739771,2
full_v2,spin_creep,velocity,0.008331351062170112,8.33135106217011,0.00836114819093807,0.03193495876842102,3.1934958768421025,NaN,NaN,NaN,NaN,0.04994173446941903,49.94173446941903,0.2615684549133869,26.156845491338693,NaN,NaN,NaN,NaN,13.817564275440104,2
full_v2,spiral_orbit,velocity,0.0009557640803548266,0.9557640803548266,0.0010736247310866847,0.03476815445593694,3.4768154455936933,NaN,NaN,NaN,NaN,0.004865794270513873,4.865794270513874,0.07903202213301132,7.903202213301132,NaN,NaN,NaN,NaN,83.6144132595204,2
noellipse_v2,coupled_vomega,velocity,0.06382363845407922,63.823638454079216,0.08361235637264389,0.029779972938578883,2.9779972938578885,NaN,NaN,NaN,NaN,0.20763757015504697,207.63757015504697,0.07505867078119538,7.505867078119538,NaN,NaN,NaN,NaN,10.165866544973296,2
noellipse_v2,multisine_75percent_cap,velocity,0.002285655609696247,2.285655609696247,0.0023955767127994106,0.0824520722619754,8.24520722619754,NaN,NaN,NaN,NaN,0.01017642167094513,10.176421670945132,0.21942770588050756,21.942770588050756,NaN,NaN,NaN,NaN,8.231330989683453,2
noellipse_v2,octagon,velocity,0.007759739142619897,7.759739142619897,0.010488437110695113,0.04878524004114663,4.878524004114663,NaN,NaN,NaN,NaN,0.04058445341693147,40.58445341693147,0.12943074959904605,12.943074959904603,NaN,NaN,NaN,NaN,6.764176183730212,2
noellipse_v2,spin_creep,velocity,0.00631043493841668,6.310434938416679,0.006590358750020618,0.025029740962076125,2.5029740962076126,NaN,NaN,NaN,NaN,0.07750574433443366,77.50574433443367,0.06724752293952424,6.724752293952424,NaN,NaN,NaN,NaN,7.6945207307464205,2
noellipse_v2,spiral_orbit,velocity,0.0017764576764615575,1.7764576764615576,0.0018183626941328274,0.03610328841224763,3.6103288412247627,NaN,NaN,NaN,NaN,0.005403346780959831,5.403346780959831,0.07714649331117773,7.714649331117773,NaN,NaN,NaN,NaN,83.80412311814311,2
