run,traj_name,mode,seed,vel_rmse_mps,vel_tol_ratio,inslip_vel_rmse_mps,rate_rmse_radps,rate_tol_ratio,pos_rmse_m,pos_tol_ratio,heading_rmse_rad,heading_tol_ratio,vel_max_mps,vel_max_tol_ratio,rate_max_radps,rate_max_tol_ratio,pos_max_m,pos_max_tol_ratio,heading_max_rad,heading_max_tol_ratio,emax,ce,pose_drift_rate
full_v2,coupled_vomega,velocity,42,0.07375679192443442,73.75679192443442,0.1042901342146555,0.03432124642185466,3.432124642185466,NaN,NaN,NaN,NaN,0.23792418353247755,237.92418353247754,0.08476399998965953,8.476399998965952,NaN,NaN,NaN,NaN,0.5641794518086743,5.891276650264224,NaN
full_v2,coupled_vomega,velocity,43,0.07111269476263773,71.11269476263773,0.10055449446902093,0.023968921182291734,2.3968921182291734,NaN,NaN,NaN,NaN,0.2325139044711348,232.5139044711348,0.07092145495260048,7.092145495260048,NaN,NaN,NaN,NaN,0.5714540602987842,4.19685370902671,NaN
full_v2,ellipse,pose,42,0.02976257267050788,29.76257267050788,0.03948528010596419,0.03188791379781472,3.188791379781472,3.5735522425624144,357.35522425624146,1.845145550747948,184.5145550747948,0.1339577849939729,133.9577849939729,0.2349815476322923,23.498154763229227,6.157741293013641,615.774129301364,3.141350822393798,314.1350822393798,0.84416359702082,71.29155735074424,0.055332178648532265
full_v2,ellipse,pose,43,0.029663128983253923,29.663128983253923,0.039330610766367964,0.03288008133445396,3.288008133445396,3.5722410373483164,357.22410373483166,1.8448478380020867,184.48478380020867,0.1420375593860713,142.03755938607128,0.3028424789850904,30.28424789850904,6.165803769527788,616.5803769527788,3.141430749997232,314.1430749997232,0.8543778837266652,67.48213982079625,0.05372594697906633
full_v2,multisine_75percent_cap,velocity,42,0.0013236598140492226,1.3236598140492226,0.0016673582405915106,0.08026643661571028,8.026643661571029,NaN,NaN,NaN,NaN,0.015619543065826996,15.619543065826996,0.2635551356378019,26.355513563780192,NaN,NaN,NaN,NaN,0.3427203802668202,10.745053972432792,NaN
full_v2,multisine_75percent_cap,velocity,43,0.0013219670263034061,1.321967026303406,0.0016658818855778963,0.06949260536575134,6.949260536575134,NaN,NaN,NaN,NaN,0.016160600280904772,16.160600280904774,0.15808263335785572,15.808263335785572,NaN,NaN,NaN,NaN,0.2123532904667827,2.250168404434824,NaN
full_v2,octagon,velocity,42,0.008093309568037993,8.093309568037993,0.011205957656002536,0.02562074001171219,2.562074001171219,NaN,NaN,NaN,NaN,0.04733581121207099,47.33581121207099,0.10573077008529852,10.573077008529852,NaN,NaN,NaN,NaN,0.29193181507159116,6.91557503789059,NaN
full_v2,octagon,velocity,43,0.007921245126340166,7.921245126340166,0.011122818594435402,0.06325906965217855,6.325906965217855,NaN,NaN,NaN,NaN,0.053049957738139406,53.049957738139405,0.1387308577503749,13.873085775037488,NaN,NaN,NaN,NaN,0.16736501191352465,6.787431807588952,NaN
full_v2,spin_creep,velocity,42,0.00843368950502,8.433689505019998,0.008611784332458811,0.03137907095518331,3.137907095518331,NaN,NaN,NaN,NaN,0.044591342140973,44.591342140973005,0.22767778836500538,22.767778836500536,NaN,NaN,NaN,NaN,0.8290527731416159,10.206226993034566,NaN
full_v2,spin_creep,velocity,43,0.008229012619320224,8.229012619320224,0.00811051204941733,0.03249084658165874,3.2490846581658737,NaN,NaN,NaN,NaN,0.05529212679786506,55.29212679786506,0.2954591214617685,29.54591214617685,NaN,NaN,NaN,NaN,0.8271330655346403,17.42890155784564,NaN
full_v2,spiral_orbit,velocity,42,0.0010795586742321133,1.0795586742321133,0.001221373833915247,0.018682341456426377,1.8682341456426377,NaN,NaN,NaN,NaN,0.005915388931945778,5.9153889319457775,0.054374665890924795,5.437466589092479,NaN,NaN,NaN,NaN,0.1673440867795289,81.57292585008138,NaN
full_v2,spiral_orbit,velocity,43,0.00083196948647754,0.83196948647754,0.0009258756282581224,0.05085396745544749,5.085396745544749,NaN,NaN,NaN,NaN,0.003816199609081969,3.816199609081969,0.10368937837509784,10.368937837509783,NaN,NaN,NaN,NaN,0.21660837580309075,85.65590066895942,NaN
noellipse_v2,coupled_vomega,velocity,42,0.06454050773152746,64.54050773152746,0.08452208188875836,0.018170880796716218,1.8170880796716218,NaN,NaN,NaN,NaN,0.20535722929988987,205.35722929988987,0.048740448856732385,4.874044885673238,NaN,NaN,NaN,NaN,0.5655058149305432,10.979067114014477,NaN
noellipse_v2,coupled_vomega,velocity,43,0.06310676917663098,63.106769176630976,0.08270263085652943,0.041389065080441545,4.138906508044155,NaN,NaN,NaN,NaN,0.20991791101020407,209.91791101020408,0.10137689270565836,10.137689270565836,NaN,NaN,NaN,NaN,0.5758697161584565,9.352665975932116,NaN
noellipse_v2,multisine_75percent_cap,velocity,42,0.0023667794765852117,2.3667794765852115,0.0024802325976462747,0.08602975966938113,8.602975966938113,NaN,NaN,NaN,NaN,0.01111254823476279,11.11254823476279,0.27631440241951355,27.631440241951353,NaN,NaN,NaN,NaN,0.2690723714245153,12.027595669759144,NaN
noellipse_v2,multisine_75percent_cap,velocity,43,0.0022045317428072827,2.2045317428072826,0.002310920827952547,0.07887438485456968,7.887438485456968,NaN,NaN,NaN,NaN,0.009240295107127473,9.240295107127473,0.16254100934150156,16.254100934150156,NaN,NaN,NaN,NaN,0.1561200403832185,4.435066309607761,NaN
noellipse_v2,octagon,velocity,42,0.007683545566955707,7.683545566955707,0.010581491600270037,0.024755195456894283,2.475519545689428,NaN,NaN,NaN,NaN,0.039781515181269614,39.78151518126961,0.09789376616224663,9.789376616224663,NaN,NaN,NaN,NaN,0.08852919447312008,6.138745068805038,NaN
noellipse_v2,octagon,velocity,43,0.007835932718284087,7.835932718284087,0.01039538262112019,0.07281528462539898,7.281528462539898,NaN,NaN,NaN,NaN,0.041387391652593315,41.387391652593315,0.16096773303584544,16.096773303584545,NaN,NaN,NaN,NaN,0.293981156512374,7.3896072986553865,NaN
noellipse_v2,spin_creep,velocity,42,0.0064644135432939615,6.464413543293961,0.006684619653084671,0.016783814047897215,1.6783814047897214,NaN,NaN,NaN,NaN,0.08541609935853574,85.41609935853573,0.04798544693106388,4.798544693106388,NaN,NaN,NaN,NaN,0.8364098295348436,10.42847147857139,NaN
noellipse_v2,spin_creep,velocity,43,0.006156456333539398,6.156456333539397,0.006496097846956565,0.033275667876255036,3.3275667876255035,NaN,NaN,NaN,NaN,0.0695953893103316,69.5953893103316,0.0865095989479846,8.65095989479846,NaN,NaN,NaN,NaN,0.8366108413723814,4.9605699829214505,NaN
noellipse_v2,spiral_orbit,velocity,42,0.0019208141067377773,1.9208141067377773,0.001972186137173238,0.018401211650720693,1.8401211650720692,NaN,NaN,NaN,NaN,0.005515746089597164,5.515746089597164,0.04976077245838467,4.976077245838467,NaN,NaN,NaN,NaN,0.16734877173378926,81.42951080730057,NaN
noellipse_v2,spiral_orbit,velocity,43,0.0016321012461853377,1.6321012461853377,0.0016645392510924169,0.053805365173774565,5.380536517377457,NaN,NaN,NaN,NaN,0.005290947472322499,5.2909474723224985,0.1045322141639708,10.45322141639708,NaN,NaN,NaN,NaN,0.21999270296309043,86.17873542898565,NaN
