model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,2,zy,slip,0.65,496,0.2604020446904687,2.5862560832635084e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.005,94360,0.49731048151758417,0.37867823066811
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.02,62317,0.17295798911733382,0.4416293760820232
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.065,96724,0.13763091035735,0.525678330758246
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.2,13894,0.15236525785070976,0.6665692596646805
ssm,16,S1_train,same_subset,2,omega_z_derived,slip,0.65,496,0.08161589878597351,0.40592173584895364
ssm,16,S1_train,same_subset,3,gamma,slip,0.005,87092,0.10161559985874333,3.520406058281648
ssm,16,S1_train,same_subset,3,gamma,slip,0.02,58450,0.09167857659895685,3.1761443749176035
ssm,16,S1_train,same_subset,3,gamma,slip,0.065,90498,0.11922030760263215,4.130309644255471
ssm,16,S1_train,same_subset,3,gamma,slip,0.2,19832,0.2607552221683667,9.033694278546596
ssm,16,S1_train,same_subset,3,gamma,slip,0.65,8514,0.21214210282031848,7.349524524349753
ssm,16,S1_train,same_subset,3,gamma,slip,1.5,3405,0.13049062740060088,4.520762510720327
ssm,16,S1_train,same_subset,3,zx,slip,0.005,87092,0.0956649417137134,1.4741568624179477e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.02,58450,0.15404774051812223,2.3738114481910848e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.065,90498,0.12976299777452227,1.9995936886119833e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.2,19832,0.140492180619322,2.164925922385342e-05
ssm,16,S1_train,same_subset,3,zx,slip,0.65,8514,0.13348518144387583,2.0569509872447532e-05
ssm,16,S1_train,same_subset,3,zx,slip,1.5,3405,0.14206430865326267,2.189151760179714e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.005,87092,0.19279184211360573,1.9147663633582334e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.02,58450,0.2254103403408094,2.2387261423944766e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.065,90498,0.20216699362707402,2.0078783133805078e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.2,19832,0.26575569881101707,2.6394274095878422e-05
ssm,16,S1_train,same_subset,3,zy,slip,0.65,8514,0.19301605771122685,1.9169932235630375e-05
ssm,16,S1_train,same_subset,3,zy,slip,1.5,3405,0.15439104331022885,1.5333780359835135e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.005,87092,0.364657886151698,0.3666434632040182
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.02,58450,0.16221407060329285,0.3301976574964032
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.065,90498,0.11935704065540387,0.38722322115087593
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.2,19832,0.23707442584755564,1.0574538063898218
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.65,8514,0.2108784470759026,0.8442401470857581
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,1.5,3405,0.09865987737949977,0.5124739012578695
ssm,16,S1_train,same_subset,4,gamma,slip,0.005,76997,0.09541757064896766,3.305679379397197
ssm,16,S1_train,same_subset,4,gamma,slip,0.02,64981,0.11278980152435228,3.9075289668483655
ssm,16,S1_train,same_subset,4,gamma,slip,0.065,105498,0.1159650952065715,4.017534941097962
ssm,16,S1_train,same_subset,4,gamma,slip,0.2,16355,0.14615127281565296,5.063315333730565
ssm,16,S1_train,same_subset,4,gamma,slip,0.65,3822,0.17016197457238033,5.89515040921952
ssm,16,S1_train,same_subset,4,zx,slip,0.005,76997,0.05736247085250023,8.839317572705005e-06
ssm,16,S1_train,same_subset,4,zx,slip,0.02,64981,0.08513702971823443,1.311926128394723e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.065,105498,0.09072471393445973,1.3980300124610599e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.2,16355,0.10714385290107911,1.6510420968406682e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.65,3822,0.11648253921309255,1.7949473588269428e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.005,76997,0.1579686490260329,1.5689100312612344e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.02,64981,0.17197521098780022,1.708020140420908e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.065,105498,0.18185868241672498,1.806180614756651e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.2,16355,0.18220927751023466,1.809662646727801e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.65,3822,0.26053096578007795,2.587536497894202e-05
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.005,76997,0.4240276694760883,0.3330447948160141
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.02,64981,0.21306943266279804,0.3959050290336756
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.065,105498,0.1149503345055208,0.4442910146550608
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.2,16355,0.15221083451809825,0.646474069855053
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.65,3822,0.15922127381259088,0.6400220181824339
ssm,16,S1_train,same_subset,1,gamma,wz,0.5,155226,0.07659275832879724,2.65350606139775
ssm,16,S1_train,same_subset,1,gamma,wz,1.5,33140,0.13381423926276897,4.635906880985935
ssm,16,S1_train,same_subset,1,gamma,wz,3.0,33330,0.15336765705956204,5.31332225301305
ssm,16,S1_train,same_subset,1,gamma,wz,6.0,30209,0.20205978161723231,7.000229084725291
ssm,16,S1_train,same_subset,1,gamma,wz,12.0,14502,0.23081960002206284,7.996594202663772
ssm,16,S1_train,same_subset,1,gamma,wz,24.0,1384,0.1607483672791692,5.569022144166014
ssm,16,S1_train,same_subset,1,zx,wz,0.5,155226,0.06518898376593277,1.0045350579984422e-05
ssm,16,S1_train,same_subset,1,zx,wz,1.5,33140,0.09200616712131765,1.4177766719611591e-05
ssm,16,S1_train,same_subset,1,zx,wz,3.0,33330,0.10516095011136968,1.6204863924690507e-05
ssm,16,S1_train,same_subset,1,zx,wz,6.0,30209,0.11816853321864469,1.8209278244088697e-05
ssm,16,S1_train,same_subset,1,zx,wz,12.0,14502,0.13162806817021014,2.0283336458339893e-05
ssm,16,S1_train,same_subset,1,zx,wz,24.0,1384,0.14245320890426633,2.19514455014938e-05
ssm,16,S1_train,same_subset,1,zy,wz,0.5,155226,0.16235666536912488,1.6124908497032673e-05
ssm,16,S1_train,same_subset,1,zy,wz,1.5,33140,0.18859719102003,1.8731060051676414e-05
ssm,16,S1_train,same_subset,1,zy,wz,3.0,33330,0.1954075161009262,1.940744662145109e-05
ssm,16,S1_train,same_subset,1,zy,wz,6.0,30209,0.2182452188734521,2.1675637272224145e-05
ssm,16,S1_train,same_subset,1,zy,wz,12.0,14502,0.28578637220746994,2.838367670716436e-05
ssm,16,S1_train,same_subset,1,zy,wz,24.0,1384,0.3323502593769568,3.300829979741527e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,0.5,155226,0.3830242079576904,0.2065480891273352
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,1.5,33140,0.2578127150328461,0.39253188443629783
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,3.0,33330,0.15836372966823822,0.500599767155702
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,6.0,30209,0.2164269696319924,0.8342413969249612
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,12.0,14502,0.24152372003746758,1.1613084168254602
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,24.0,1384,0.14421284626558398,0.9436975580284557
ssm,16,S1_train,same_subset,2,gamma,wz,0.5,153601,0.08389262429350493,2.9064051440479304
ssm,16,S1_train,same_subset,2,gamma,wz,1.5,32557,0.13109670133126958,4.541759552738154
ssm,16,S1_train,same_subset,2,gamma,wz,3.0,32775,0.15845717012373517,5.489645117824891
ssm,16,S1_train,same_subset,2,gamma,wz,6.0,31408,0.17488184051680228,6.058667081056749
ssm,16,S1_train,same_subset,2,gamma,wz,12.0,15781,0.21053085837404154,7.293704026090514
ssm,16,S1_train,same_subset,2,gamma,wz,24.0,1669,0.21003722842688316,7.2766025608064
ssm,16,S1_train,same_subset,2,zx,wz,0.5,153601,0.07290904245325484,1.123497943140769e-05
ssm,16,S1_train,same_subset,2,zx,wz,1.5,32557,0.11694072396464456,1.802007795224624e-05
ssm,16,S1_train,same_subset,2,zx,wz,3.0,32775,0.14466792283500107,2.229272368535204e-05
ssm,16,S1_train,same_subset,2,zx,wz,6.0,31408,0.16908736957412968,2.6055658610146354e-05
ssm,16,S1_train,same_subset,2,zx,wz,12.0,15781,0.16931017334250192,2.6089991738445432e-05
ssm,16,S1_train,same_subset,2,zx,wz,24.0,1669,0.17066908637886108,2.6299394574563517e-05
ssm,16,S1_train,same_subset,2,zy,wz,0.5,153601,0.17842029568736717,1.7720313092277486e-05
ssm,16,S1_train,same_subset,2,zy,wz,1.5,32557,0.18471851910552245,1.834583885249668e-05
ssm,16,S1_train,same_subset,2,zy,wz,3.0,32775,0.1858031049787587,1.8453557545052703e-05
ssm,16,S1_train,same_subset,2,zy,wz,6.0,31408,0.20318193889801564,2.017958528905698e-05
ssm,16,S1_train,same_subset,2,zy,wz,12.0,15781,0.25601659384577,2.5427007512587268e-05
ssm,16,S1_train,same_subset,2,zy,wz,24.0,1669,0.2457418320345871,2.4406540713263016e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,0.5,153601,0.38302711082435775,0.23093642433552403
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,1.5,32557,0.2587781397255037,0.44252714984622443
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,3.0,32775,0.17418879344348326,0.5317746774135016
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,6.0,31408,0.1716253251029128,0.6921808179098619
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,12.0,15781,0.20530066327185514,1.0449804108129195
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,24.0,1669,0.1886525525956243,1.236613470027923
ssm,16,S1_train,same_subset,3,gamma,wz,0.5,154960,0.08397883401746907,2.9093918276180477
ssm,16,S1_train,same_subset,3,gamma,wz,1.5,32802,0.1424836699541365,4.936253632145605
ssm,16,S1_train,same_subset,3,gamma,wz,3.0,33880,0.1645040112865493,5.699133970435552
ssm,16,S1_train,same_subset,3,gamma,wz,6.0,30242,0.1897339253584008,6.573207853400216
ssm,16,S1_train,same_subset,3,gamma,wz,12.0,14639,0.21331883682709107,7.390291705990613
ssm,16,S1_train,same_subset,3,gamma,wz,24.0,1268,0.16846415063638326,5.836330511893811
ssm,16,S1_train,same_subset,3,zx,wz,0.5,154960,0.0879814678594042,1.3557577345359216e-05
ssm,16,S1_train,same_subset,3,zx,wz,1.5,32802,0.13590587705280802,2.0942528962191794e-05
ssm,16,S1_train,same_subset,3,zx,wz,3.0,33880,0.1581964912605128,2.4377419669451297e-05
ssm,16,S1_train,same_subset,3,zx,wz,6.0,30242,0.18260067185089304,2.813800214197806e-05
ssm,16,S1_train,same_subset,3,zx,wz,12.0,14639,0.2059802998694666,3.1740705337043306e-05
ssm,16,S1_train,same_subset,3,zx,wz,24.0,1268,0.1710624489946025,2.6360010123249483e-05
ssm,16,S1_train,same_subset,3,zy,wz,0.5,154960,0.1892283185650178,1.8793742275386282e-05
ssm,16,S1_train,same_subset,3,zy,wz,1.5,32802,0.22821350146445618,2.26656652542982e-05
ssm,16,S1_train,same_subset,3,zy,wz,3.0,33880,0.22297148261281166,2.2145039418092904e-05
ssm,16,S1_train,same_subset,3,zy,wz,6.0,30242,0.22860926752810276,2.2704971862585168e-05
ssm,16,S1_train,same_subset,3,zy,wz,12.0,14639,0.27317577347118666,2.713121963865217e-05
ssm,16,S1_train,same_subset,3,zy,wz,24.0,1268,0.266876515007615,2.6505591138950837e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,0.5,154960,0.26556588159526906,0.21842183909470766
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,1.5,32802,0.26223999328063086,0.4485633252312203
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,3.0,33880,0.1728437040053743,0.5823280018255211
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,6.0,30242,0.1846532809945077,0.763903661303671
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,12.0,14639,0.21612447622870398,1.0601555755463588
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,24.0,1268,0.13547780764639875,0.9752297088527118
ssm,16,S1_train,same_subset,4,gamma,wz,0.5,154672,0.0695304036969524,2.408835400812099
ssm,16,S1_train,same_subset,4,gamma,wz,1.5,32394,0.12549319154451605,4.347629616083311
ssm,16,S1_train,same_subset,4,gamma,wz,3.0,33049,0.14014970143726108,4.855394813194817
ssm,16,S1_train,same_subset,4,gamma,wz,6.0,30587,0.1696212630962303,5.876417813243558
ssm,16,S1_train,same_subset,4,gamma,wz,12.0,15288,0.19467354350255453,6.7443376934202375
ssm,16,S1_train,same_subset,4,gamma,wz,24.0,1801,0.1514642290695403,5.2473791827381975
ssm,16,S1_train,same_subset,4,zx,wz,0.5,154672,0.062170477321543724,9.580211323142946e-06
ssm,16,S1_train,same_subset,4,zx,wz,1.5,32394,0.08458189684197992,1.3033717622429385e-05
ssm,16,S1_train,same_subset,4,zx,wz,3.0,33049,0.09850486980448823,1.517918970538682e-05
ssm,16,S1_train,same_subset,4,zx,wz,6.0,30587,0.11486495874176132,1.7700211185871836e-05
ssm,16,S1_train,same_subset,4,zx,wz,12.0,15288,0.12934383048594159,1.993134495340192e-05
ssm,16,S1_train,same_subset,4,zx,wz,24.0,1801,0.11742991620139051,1.8095460433752376e-05
ssm,16,S1_train,same_subset,4,zy,wz,0.5,154672,0.16260828175525158,1.6149898498433835e-05
ssm,16,S1_train,same_subset,4,zy,wz,1.5,32394,0.17409524233187082,1.729075826919768e-05
ssm,16,S1_train,same_subset,4,zy,wz,3.0,33049,0.1774222703001837,1.762119140448703e-05
ssm,16,S1_train,same_subset,4,zy,wz,6.0,30587,0.19401933996741003,1.9269575997712964e-05
ssm,16,S1_train,same_subset,4,zy,wz,12.0,15288,0.22684815036004127,2.2530061563710167e-05
ssm,16,S1_train,same_subset,4,zy,wz,24.0,1801,0.22207836223124403,2.205633672284242e-05
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,0.5,154672,0.3063282226394533,0.1834068757949749
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,1.5,32394,0.23183657196971924,0.38091492190106446
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,3.0,33049,0.16480131209283133,0.48083685084109823
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,6.0,30587,0.16887585964031787,0.6891256144686075
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,12.0,15288,0.19970226137242605,0.9726925774533606
ssm,16,S1_train,same_subset,4,omega_z_derived,wz,24.0,1801,0.12981008089710566,0.8933401456858829
ssm,16,S1_train,cross_subset,1,gamma,overall,,2794869,0.1289706756595874,4.4681049834916005
ssm,16,S1_train,cross_subset,1,zx,overall,,2794869,0.09590946950188148,1.4779249611480864e-05
ssm,16,S1_train,cross_subset,1,zy,overall,,2794869,0.19708568788041833,1.9574119705209377e-05
ssm,16,S1_train,cross_subset,1,omega_z_derived,overall,,2794869,0.20466036844863467,0.48291915319466294
ssm,16,S1_train,cross_subset,2,gamma,overall,,2794869,0.1330000077526621,4.607698484797737
ssm,16,S1_train,cross_subset,2,zx,overall,,2794869,0.12681126949386692,1.9541089235327435e-05
ssm,16,S1_train,cross_subset,2,zy,overall,,2794869,0.20149118457011708,2.001166377859322e-05
ssm,16,S1_train,cross_subset,2,omega_z_derived,overall,,2794869,0.23982569980768068,0.49554864009529437
ssm,16,S1_train,cross_subset,3,gamma,overall,,2794869,0.15168164201311396,5.254911466055503
ssm,16,S1_train,cross_subset,3,zx,overall,,2794869,0.1445770394448724,2.227872017238687e-05
ssm,16,S1_train,cross_subset,3,zy,overall,,2794869,0.22196642875044972,2.2045220661068763e-05
ssm,16,S1_train,cross_subset,3,omega_z_derived,overall,,2794869,0.2525681745569892,0.5580290171259423
ssm,16,S1_train,cross_subset,4,gamma,overall,,2794869,0.12771178038362593,4.424491302667463
ssm,16,S1_train,cross_subset,4,zx,overall,,2794869,0.09040801256717135,1.3931498172909489e-05
ssm,16,S1_train,cross_subset,4,zy,overall,,2794869,0.1832307632895254,1.8198078744544557e-05
ssm,16,S1_train,cross_subset,4,omega_z_derived,overall,,2794869,0.2227663964410615,0.4738556566681453
ssm,16,S1_train,cross_subset,1,gamma,slip,0.005,652526,0.11969415816179665,4.146725891659432
ssm,16,S1_train,cross_subset,1,gamma,slip,0.02,718386,0.10061563601626018,3.4857629594948527
ssm,16,S1_train,cross_subset,1,gamma,slip,0.065,1154836,0.10945129461490949,3.7918685781922603
ssm,16,S1_train,cross_subset,1,gamma,slip,0.2,218683,0.23447756256231375,8.123321929713434
ssm,16,S1_train,cross_subset,1,gamma,slip,0.65,44347,0.28296311402652014,9.80307217504671
ssm,16,S1_train,cross_subset,1,gamma,slip,1.5,6091,0.2744475263810867,9.508055194107536
ssm,16,S1_train,cross_subset,1,zx,slip,0.005,652526,0.08140354845923804,1.2543947388587875e-05
ssm,16,S1_train,cross_subset,1,zx,slip,0.02,718386,0.09251292925088486,1.4255856646686763e-05
ssm,16,S1_train,cross_subset,1,zx,slip,0.065,1154836,0.09530349443726657,1.4685871104975314e-05
ssm,16,S1_train,cross_subset,1,zx,slip,0.2,218683,0.117461113488278,1.8100267809213248e-05
ssm,16,S1_train,cross_subset,1,zx,slip,0.65,44347,0.14394593314980086,2.2181468085988156e-05
ssm,16,S1_train,cross_subset,1,zx,slip,1.5,6091,0.36497965566785356,5.6241843063583347e-05
ssm,16,S1_train,cross_subset,1,zy,slip,0.005,652526,0.21385510217578538,2.123962046955146e-05
ssm,16,S1_train,cross_subset,1,zy,slip,0.02,718386,0.18953250844779498,1.882395373397175e-05
ssm,16,S1_train,cross_subset,1,zy,slip,0.065,1154836,0.1807869153625153,1.7955360581082252e-05
ssm,16,S1_train,cross_subset,1,zy,slip,0.2,218683,0.2318886690954893,2.303067484579117e-05
ssm,16,S1_train,cross_subset,1,zy,slip,0.65,44347,0.2569043594211509,2.5515178448497714e-05
ssm,16,S1_train,cross_subset,1,zy,slip,1.5,6091,0.28101647065755764,2.790994052715876e-05
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,0.005,652526,0.3008885271722441,0.4319463237414558
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,0.02,718386,0.19508112291882157,0.36326536042163776
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,0.065,1154836,0.1147186281547215,0.3931516323846772
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,0.2,218683,0.22998939532146503,0.9581413599498617
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,0.65,44347,0.28563330143089166,1.057786099687066
ssm,16,S1_train,cross_subset,1,omega_z_derived,slip,1.5,6091,0.20936243857539574,1.0224712139652106
ssm,16,S1_train,cross_subset,2,gamma,slip,0.005,795593,0.13340883269460418,4.621861825242015
ssm,16,S1_train,cross_subset,2,gamma,slip,0.02,739363,0.12811925720048664,4.438607943987897
ssm,16,S1_train,cross_subset,2,gamma,slip,0.065,1086320,0.13145767685310114,4.554265308717003
ssm,16,S1_train,cross_subset,2,gamma,slip,0.2,148204,0.15797052168064113,5.472785487657026
ssm,16,S1_train,cross_subset,2,gamma,slip,0.65,25377,0.16247456391551357,5.62882509092644
ssm,16,S1_train,cross_subset,2,zx,slip,0.005,795593,0.11230174705381694,1.730523095593651e-05
ssm,16,S1_train,cross_subset,2,zx,slip,0.02,739363,0.13241288819733524,2.040427394836684e-05
ssm,16,S1_train,cross_subset,2,zx,slip,0.065,1086320,0.11454188379127703,1.765042668725281e-05
ssm,16,S1_train,cross_subset,2,zx,slip,0.2,148204,0.17291050084619633,2.6644787196419294e-05
ssm,16,S1_train,cross_subset,2,zx,slip,0.65,25377,0.3586365918406805,5.5264403393169527e-05
ssm,16,S1_train,cross_subset,2,zy,slip,0.005,795593,0.19641444438162267,1.9507452547913448e-05
ssm,16,S1_train,cross_subset,2,zy,slip,0.02,739363,0.2075293565928441,2.0611361285681e-05
ssm,16,S1_train,cross_subset,2,zy,slip,0.065,1086320,0.1965494431727653,1.9520860324209642e-05
ssm,16,S1_train,cross_subset,2,zy,slip,0.2,148204,0.19731883498648095,1.9597274633270605e-05
ssm,16,S1_train,cross_subset,2,zy,slip,0.65,25377,0.3548315279281467,3.5241090393414315e-05
ssm,16,S1_train,cross_subset,2,omega_z_derived,slip,0.005,795593,0.35277582747801034,0.4826270990540637
ssm,16,S1_train,cross_subset,2,omega_z_derived,slip,0.02,739363,0.21250511088303228,0.4464080113617321
ssm,16,S1_train,cross_subset,2,omega_z_derived,slip,0.065,1086320,0.14931286299315422,0.5064921513040379
ssm,16,S1_train,cross_subset,2,omega_z_derived,slip,0.2,148204,0.15782137370288568,0.6632626766301163
ssm,16,S1_train,cross_subset,2,omega_z_derived,slip,0.65,25377,0.1313131374095242,0.6208094725310055
ssm,16,S1_train,cross_subset,3,gamma,slip,0.005,723968,0.1429568713472267,4.952647384008401
ssm,16,S1_train,cross_subset,3,gamma,slip,0.02,660882,0.11459097238299426,3.969929353254366
ssm,16,S1_train,cross_subset,3,gamma,slip,0.065,1005695,0.11626396107979185,4.027888955667798
ssm,16,S1_train,cross_subset,3,gamma,slip,0.2,256444,0.24505124410831763,8.489640212023822
ssm,16,S1_train,cross_subset,3,gamma,slip,0.65,81472,0.2869767586595514,9.942122256447943
ssm,16,S1_train,cross_subset,3,gamma,slip,1.5,66408,0.2778135453612058,9.62466872790559
ssm,16,S1_train,cross_subset,3,zx,slip,0.005,723968,0.11844456691291462,1.8251813881061943e-05
ssm,16,S1_train,cross_subset,3,zx,slip,0.02,660882,0.15269973022074074,2.3530391715266482e-05
ssm,16,S1_train,cross_subset,3,zx,slip,0.065,1005695,0.14386159482221383,2.2168471898997433e-05
ssm,16,S1_train,cross_subset,3,zx,slip,0.2,256444,0.15194166585289712,2.341357715702348e-05
