controller,finalized,trajectory,mode,seed,sensor_noise,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,est_rmse_pos,est_rmse_heading,ctrl_rmse_vx,ctrl_rmse_vy,ctrl_rmse_psidot,ctrl_rmse_psi,ctrl_rmse_pos,ctrl_rmse_heading,ctrl_pos_final,ctrl_head_final
asmc,true,octagon,pose,42,realistic,true,1.0341932740995057,48.81494336363904,0.5907900521230048,0.01980542713500135,0.03335556052178493,0.024972073616706413,0.013030558594562293,0.025867975766639194,0.023365258969693086,0.03485810518350439,0.013030558594562293,0.02248478510765079,0.02501522861577606,0.026273407146852355,0.00582813226054961,0.026981264808158933,0.00582813226054961,0.013461026992563173,0.018913778990778743
asmc,true,octagon,pose,43,realistic,true,0.8458117231320197,48.8348382565972,0.5910547834819118,0.019914655061557103,0.03283832381877471,0.0566480137870266,0.013106129958510779,0.02339622539864111,0.021622487361040655,0.0318577356788329,0.013106129958510779,0.021771420443301617,0.023557959952186493,0.02386633537591102,0.008915381598888364,0.0252570809188984,0.008915381598888364,0.012351699756323433,0.013225338799868806
asmc,true,octagon,pose,44,realistic,true,1.3886798889270227,48.73448574114613,0.5881017653458382,0.020006496884110152,0.032464918246481816,0.04478617339493408,0.011254702996796276,0.03151439818382002,0.024404440384208814,0.039858926269466424,0.011254702996796276,0.023381867912949793,0.023942864767416604,0.024247407706079502,0.010202246429307093,0.03441492673670699,0.010202246429307093,0.028222845933741806,0.018335433751670783
asmc,true,octagon,pose,45,realistic,true,0.3723420703139181,48.839101820181256,0.5886451793069076,0.020297294704178768,0.032372798397276865,0.061703191318840445,0.01246260209023265,0.02297412914388247,0.02249673536303382,0.03215452863772328,0.01246260209023265,0.022883618001182188,0.024070127302589582,0.025251003262988448,0.013104183184533652,0.025626271336268186,0.013104183184533652,0.001948498693611815,0.0037659277491982794
asmc,true,octagon,pose,46,realistic,true,0.9039863424999031,48.87660327880003,0.5927754870107471,0.01954376552026245,0.03234943493691834,0.02935718235169536,0.013288317116645541,0.022581913168999483,0.026760953740833683,0.03501558863551022,0.013288317116645541,0.0223233698936708,0.024785572696186094,0.024982261752213217,0.006908483565829983,0.03045641642685536,0.006908483565829983,0.017522295341461203,0.00969770303417821
asmc,true,spin_creep,pose,42,realistic,true,0.42821619357947965,45.623918091944624,0.6593415034130846,0.0056020408099117566,0.015767458248302543,0.017005655133225897,0.013517933968000849,0.024907609994882333,0.024599019143462623,0.03500715324726652,0.013517933968000849,0.013708345703633504,0.01574914127475322,0.02715649485899787,0.0043964870576050745,0.012228508696599099,0.0043964870576050745,0.012569768529244376,0.0010306064458678393
asmc,true,spin_creep,pose,43,realistic,true,0.5860084631915135,45.5265531968841,0.6646296699345983,0.005649024645141511,0.013954145319001666,0.0435810300763039,0.013219315618492848,0.024039278883992824,0.02132449795322591,0.032134423010527505,0.013219315618492848,0.012705943995037671,0.014389608952026072,0.027343733897615637,0.005371511213575514,0.008371535031675661,0.005371511213575514,0.009974424298665659,0.010472896453563214
asmc,true,spin_creep,pose,44,realistic,true,1.166628514763748,45.64260390306324,0.6599882580620763,0.0057411196501245924,0.01408877173281096,0.019372634987429766,0.010664174213063501,0.03047050614283814,0.023879851282250616,0.03871303452150378,0.010664174213063501,0.013918235519779167,0.015092857444898682,0.02625892880396775,0.0058176955714364514,0.025254622425550478,0.0058176955714364514,0.029185410628490914,0.01276508350227193
asmc,true,spin_creep,pose,45,realistic,true,0.9993669411235964,45.56179448897792,0.6657690271455605,0.005506913984662755,0.0148773751323651,0.060329852127192767,0.0115306676539691,0.02320677219644022,0.022796820898013746,0.03253074420964862,0.0115306676539691,0.013262991758246842,0.014730623644885702,0.026091174647139902,0.013335491754814804,0.006184054929442525,0.013335491754814804,0.008707058738758105,0.02710792620422416
asmc,true,spin_creep,pose,46,realistic,true,0.8686077088147488,45.564080506833385,0.6643244072463064,0.0058008751443587876,0.014169601592521276,0.021925392701174096,0.012809345107224694,0.02256775674959869,0.026532629624998444,0.03483222759925644,0.012809345107224694,0.013512963357148354,0.014265968778146081,0.027174927417512488,0.007141336097527022,0.016765251551484457,0.007141336097527022,0.016843196386193904,0.013884706187363672
