controller,trajectory,sensor_noise,tracking_mean,tracking_std,ce_mean,chatter_mean,est_rmse_pos_mean,est_rmse_heading_mean,ctrl_rmse_pos_mean,ctrl_rmse_heading_mean,ctrl_pos_final_mean,ctrl_head_final_mean,n
asmc,octagon,default,0.7137853115004561,NaN,48.584244839660315,0.5640673690387695,0.018334699252412497,0.01111498626637305,0.021110986214812305,0.005401438770706384,0.004118514993410712,0.01676711525386592,1
asmc,spin_creep,default,0.15696731504577333,NaN,45.42295756845256,0.6395755218484388,0.017942567333699602,0.011666333623308649,0.003172406206224139,0.004339981984300131,0.0019190001160833989,0.0022689120401195146,1
asmc,coupled_vomega,default,2.9906421042456484,NaN,45.03298742854778,0.4604180952163189,0.017961158654758936,0.011905236486077343,0.38044417193458097,0.01636491026619329,0.024631459221221102,0.00743635445989721,1
asmc,spiral_orbit,default,5.321265484980174,NaN,52.42471687467942,0.41700204902943905,0.017269324061094094,0.010371723957480542,0.12169893835835491,0.08198596941536322,0.14785004141451638,0.015039553197061295,1
pid,octagon,default,4.223785384267698,NaN,52.26690991209757,0.7540154820856094,0.018337350152104272,0.011114912713422234,0.1541026271801307,0.055726944443611384,0.06797056234263356,0.05282322828161276,1
pid,spin_creep,default,2.7059434185784905,NaN,49.511027103563414,0.7672933480028228,0.01794302911626778,0.011666292831460642,0.036185676716365286,0.0779722319127031,0.062135459597301206,0.015400252121078555,1
pid,coupled_vomega,default,5.8383554880330095,NaN,47.875841786350016,0.6609222360118108,0.017960978955691716,0.01190501358435771,0.32889590921204853,0.14618418386332033,0.015532464688564548,0.103871460003365,1
pid,spiral_orbit,default,7.033443155771134,NaN,53.68298936709771,0.7368923081817592,0.017270673625514453,0.010371762261036255,0.10822475410412206,0.06580308867531069,0.18454254980997503,0.057576591682630955,1
