iter,score,best_so_far
1,25.998314906634082,25.998314906634082
2,24.52881383640784,24.52881383640784
3,26.73507296543227,24.52881383640784
4,26.939488454268766,24.52881383640784
5,23.66508804861673,23.66508804861673
6,25.899483099363426,23.66508804861673
7,23.059964437037227,23.059964437037227
8,22.925968560613715,22.925968560613715
9,26.24381531092481,22.925968560613715
10,20.654845330821697,20.654845330821697
11,17.048220023614043,17.048220023614043
12,17.243203239064258,17.048220023614043
13,24.281419355379363,17.048220023614043
14,25.106255771496723,17.048220023614043
15,24.716099016147997,17.048220023614043
16,25.075743178841044,17.048220023614043
17,19.12618561498257,17.048220023614043
18,17.092398924062756,17.048220023614043
19,19.10045496950926,17.048220023614043
20,16.16572018059866,16.16572018059866
21,22.307173031873628,16.16572018059866
22,18.98845055401731,16.16572018059866
23,16.313463746969745,16.16572018059866
24,19.083005128982627,16.16572018059866
25,17.15407131989208,16.16572018059866
26,21.440182849123797,16.16572018059866
27,16.545911043473534,16.16572018059866
28,17.585386795708917,16.16572018059866
29,24.715039842679428,16.16572018059866
30,19.29980126506196,16.16572018059866
31,20.41648071629442,16.16572018059866
32,22.330156609482863,16.16572018059866
33,17.0323032724771,16.16572018059866
34,16.038048721546513,16.038048721546513
35,21.163440674233556,16.038048721546513
36,15.38618267735638,15.38618267735638
37,19.846841785758254,15.38618267735638
38,21.21002474837854,15.38618267735638
39,18.48316874812038,15.38618267735638
40,26.745230559927823,15.38618267735638
41,16.03091130457074,15.38618267735638
42,17.850709692474172,15.38618267735638
43,24.695090082106923,15.38618267735638
44,15.715481372549677,15.38618267735638
45,16.797871797759296,15.38618267735638
46,16.41571845280699,15.38618267735638
47,16.440140029245704,15.38618267735638
48,16.94306179643482,15.38618267735638
49,17.339819028683817,15.38618267735638
50,18.927952696116183,15.38618267735638
51,19.388516183306667,15.38618267735638
52,15.34849689706214,15.34849689706214
53,20.648057616000628,15.34849689706214
54,15.305978120957167,15.305978120957167
55,18.692515391873815,15.305978120957167
56,17.350188163835988,15.305978120957167
57,17.86544106784397,15.305978120957167
