iteration,score,best_so_far
1,308.31629060188493,308.31629060188493
2,315.5564304629595,308.31629060188493
3,364.1002317811709,308.31629060188493
4,299.8435626638369,299.8435626638369
5,334.41778499544523,299.8435626638369
6,368.9822541153539,299.8435626638369
7,315.0410461475331,299.8435626638369
8,309.8100729246841,299.8435626638369
9,297.7611113153967,297.7611113153967
10,364.0552427828618,297.7611113153967
11,330.5303553180923,297.7611113153967
12,333.98002626089624,297.7611113153967
13,347.3571465815735,297.7611113153967
14,312.07881304138675,297.7611113153967
15,339.3931830238972,297.7611113153967
16,353.3549045314701,297.7611113153967
17,316.5701611511987,297.7611113153967
18,385.61451700300347,297.7611113153967
19,366.52848716767363,297.7611113153967
20,327.39555319620985,297.7611113153967
21,329.6031123967166,297.7611113153967
22,320.9465026950147,297.7611113153967
23,356.6880393992727,297.7611113153967
24,317.0207224148573,297.7611113153967
25,360.9206068206448,297.7611113153967
26,340.1703564015188,297.7611113153967
27,361.6262649790456,297.7611113153967
28,322.3343577691152,297.7611113153967
29,359.5177448601153,297.7611113153967
30,343.78352595019055,297.7611113153967
31,326.42716905269265,297.7611113153967
32,354.8050569917558,297.7611113153967
33,299.20963222900224,297.7611113153967
34,332.463263850379,297.7611113153967
35,351.6329952972019,297.7611113153967
36,353.5601138582435,297.7611113153967
37,315.1984696689848,297.7611113153967
38,311.4366505933301,297.7611113153967
39,307.24613465734035,297.7611113153967
40,303.0692539199563,297.7611113153967
41,319.8589010525929,297.7611113153967
42,359.9644819339286,297.7611113153967
43,359.06119188198613,297.7611113153967
44,290.6255233109606,290.6255233109606
45,286.6643143643462,286.6643143643462
46,316.17559756160216,286.6643143643462
47,359.0701698945928,286.6643143643462
48,304.61502618704804,286.6643143643462
49,305.1051172354496,286.6643143643462
50,378.0861189033217,286.6643143643462
51,361.7346569154986,286.6643143643462
52,299.9630585970942,286.6643143643462
53,326.4175103353227,286.6643143643462
54,319.9543186643053,286.6643143643462
55,332.360002935224,286.6643143643462
56,356.6137570992182,286.6643143643462
57,332.99717403873797,286.6643143643462
58,329.32045165017325,286.6643143643462
59,310.350814217593,286.6643143643462
60,318.5106372506309,286.6643143643462
61,307.8122263082515,286.6643143643462
62,301.3514443607534,286.6643143643462
63,313.85924073000865,286.6643143643462
64,360.10099010022464,286.6643143643462
65,361.30917590338123,286.6643143643462
66,324.8284480629826,286.6643143643462
67,341.8845588717327,286.6643143643462
68,345.2947910324193,286.6643143643462
69,330.3575325705675,286.6643143643462
70,311.1215653191415,286.6643143643462
71,325.39253989592703,286.6643143643462
72,316.2341072125432,286.6643143643462
73,299.44639131622137,286.6643143643462
74,330.9022913133879,286.6643143643462
75,326.7061260583713,286.6643143643462
76,292.39247656351665,286.6643143643462
77,332.96207848224446,286.6643143643462
78,299.9515475161728,286.6643143643462
79,329.3254284876741,286.6643143643462
80,329.6166920789068,286.6643143643462
81,305.9739572814742,286.6643143643462
82,294.18259884891336,286.6643143643462
83,302.1187825206672,286.6643143643462
84,308.6027365201005,286.6643143643462
85,341.11114964665455,286.6643143643462
86,353.1530200506601,286.6643143643462
87,298.265484358467,286.6643143643462
88,302.95433763027336,286.6643143643462
89,339.31760481986066,286.6643143643462
90,322.49634235419495,286.6643143643462
91,328.121567470203,286.6643143643462
92,332.8805739395928,286.6643143643462
93,321.4838121669442,286.6643143643462
94,329.5841113314731,286.6643143643462
95,321.2673404222439,286.6643143643462
96,292.56482706162285,286.6643143643462
97,319.17976554831137,286.6643143643462
98,300.59750113660186,286.6643143643462
99,340.5646017841342,286.6643143643462
100,294.0174673820975,286.6643143643462
101,328.90779575508094,286.6643143643462
102,319.46016608422036,286.6643143643462
103,331.63108478498407,286.6643143643462
104,357.3397435834096,286.6643143643462
105,305.61460114436636,286.6643143643462
106,327.4846949492247,286.6643143643462
107,357.09649815054104,286.6643143643462
108,328.1306399325224,286.6643143643462
109,346.2524753857988,286.6643143643462
110,301.0417664443603,286.6643143643462
111,332.61690013449856,286.6643143643462
112,306.05928348399414,286.6643143643462
113,320.1808516296171,286.6643143643462
114,317.77091859080383,286.6643143643462
115,329.3946850164094,286.6643143643462
116,325.10244826130156,286.6643143643462
117,332.09084754342257,286.6643143643462
118,324.82839576873914,286.6643143643462
119,345.1159484714061,286.6643143643462
120,345.2899522891481,286.6643143643462
121,297.4439014114463,286.6643143643462
122,333.0081355459404,286.6643143643462
123,302.48330044244017,286.6643143643462
124,293.49885130202637,286.6643143643462
125,322.37926537642653,286.6643143643462
126,310.19679829295217,286.6643143643462
127,338.0199150839377,286.6643143643462
128,346.1689862483478,286.6643143643462
129,299.4889055632806,286.6643143643462
130,328.7094925982447,286.6643143643462
131,346.1472736991707,286.6643143643462
132,353.3002568170242,286.6643143643462
133,331.8300436458155,286.6643143643462
134,305.83463215665876,286.6643143643462
135,309.84231932460955,286.6643143643462
136,325.4432631302882,286.6643143643462
137,329.75089801013104,286.6643143643462
138,294.56129113792986,286.6643143643462
139,332.63842202439923,286.6643143643462
140,329.5262639409507,286.6643143643462
141,293.77335091218595,286.6643143643462
142,341.27081301843623,286.6643143643462
143,329.21039482913955,286.6643143643462
144,308.15096648354836,286.6643143643462
145,329.6087566112629,286.6643143643462
146,329.5859542788787,286.6643143643462
147,327.8786742504543,286.6643143643462
148,310.2469115184077,286.6643143643462
149,321.5900370462276,286.6643143643462
150,340.13495156043484,286.6643143643462
