stratum,channel,wz_center,n,F,partial_R2_chi,slope_dF_dchi,chi_swing_abs,channel_rms,rel_swing
psi<0.5,Fpar,0.625,51284937,16.646974014266334,3.245976792771787e-07,4.486283437752262,0.0358902675020181,25.146038443226217,0.0014272732296600039
psi<0.5,Fpar,1.875,10099006,35.80109585838701,3.5450024337481298e-06,17.913499402089528,0.14330799521671622,31.96030657020424,0.004483936813995349
psi<0.5,Fpar,3.125,7358601,168.88281495827124,2.294989844725981e-05,46.33350229364428,0.37066801834915425,33.23759169585326,0.011152072079740933
psi<0.5,Fpar,4.375,6185407,332.3540867718722,5.372915852245214e-05,71.53619953476252,0.5722895962781002,34.11412045240319,0.016775739450078212
psi<0.5,Fpar,5.625,5260972,47.49585613317077,9.027896099158359e-06,29.590978952024322,0.2367278316161946,34.98680927541891,0.0067662023636581
psi<0.5,Fpar,6.875,4044487,61.925366453192375,1.5310855522728375e-05,41.02694501410309,0.32821556011282477,37.818304956252526,0.008678748571425877
psi<0.5,Fpar,8.125,3556444,272.01236268315415,7.64787095866126e-05,91.8777654184386,0.7350221233475089,38.50719178174956,0.019087918109257498
psi<0.5,Fpar,9.375,3231951,242.00099288282024,7.48722822736827e-05,89.53255380899122,0.7162604304719299,38.60489468267861,0.018553617005288823
psi<0.5,Fpar,10.625,2957410,122.07559015146123,4.1276293381786024e-05,64.9173295092981,0.5193386360743848,38.48172881737103,0.013495719969835406
psi<0.5,Fpar,11.875,2672074,158.15774073585632,5.918582820364926e-05,76.27021235170979,0.6101616988136783,38.5484459585335,0.01582843831032847
psi<0.5,Fpar,13.125,2138194,176.49596628020953,8.253794627949694e-05,91.02327190894216,0.7281861752715374,40.22785501514664,0.018101541208134512
psi<0.5,Fpar,14.375,1929911,42.143004876291215,2.1836385798542116e-05,45.72960387532437,0.365836831002595,40.20847504011228,0.009098500518550713
psi<0.5,Fpar,15.625,1785223,44.23742090687663,2.4779284015955425e-05,47.44468365291118,0.3795574692232895,39.766832726184546,0.009544573786822332
psi<0.5,Fpar,16.875,1570626,85.44500353833195,5.4399229981551e-05,69.62752422928122,0.5570201938342498,39.67286869116953,0.014040330639317557
psi<0.5,Fpar,18.125,1172207,315.04214297981076,0.0002686896705251263,160.1484575392672,1.2811876603141377,40.72822439919169,0.03145699767701056
psi<0.5,Fpar,19.375,1655858,2806.3822412712625,0.0016919622191073327,418.1430198234684,3.3451441585877477,44.35596452966946,0.07541588136022156
psi<0.5,Fperp,0.625,51284937,46.456946796068785,9.058588268396022e-07,-3.1343494690449525,0.02507479575235962,10.439943229465815,0.0024018134199799315
psi<0.5,Fperp,1.875,10099006,6.449266112367566,6.386042092931683e-07,5.399376237019072,0.043195009896152575,22.739065682491287,0.0018995947546522124
psi<0.5,Fperp,3.125,7358601,103.67368484528825,1.4088595240598386e-05,28.410062782158352,0.22728050225726681,25.9771785539181,0.008749237404113173
psi<0.5,Fperp,4.375,6185407,513.1869474105711,8.296060707974951e-05,75.94842551703398,0.607587404136272,28.075357040608402,0.021641306404668447
psi<0.5,Fperp,5.625,5260972,45.26932394999061,8.604685952300889e-06,26.74176228440286,0.2139340982752229,29.97989924569712,0.007135917853557426
