dataset,channel,n,N_bar,channel_rms,A_dF_dmu,B_intercept,C_dF_dchi,mu_swing_abs,chi_swing_abs,R2,partial_R2_mu,partial_R2_chi
all,Fpar,1354440232,87.30900000000939,22.782398726540425,-0.32211552294526136,0.062481371987013146,-25.723963896649465,0.16105776147263068,0.20579171117319572,0.18371371938756242,1.0580640808710948e-05,4.7644557239296325e-06
all,Fperp,1354440232,87.30900000000939,14.03931653930486,-1.552266739021184,0.4270449578893623,17.315689818699603,0.776133369510592,0.13852551854959683,0.26609998657752265,0.0006597340267891124,5.800387599023978e-06
quad,Fpar,390339072,87.3090000000012,23.88186715630562,-0.5600366873422384,0.5235481642366208,-3.9727808179447788,0.2800183436711192,0.03178224654355823,0.2600530220378645,3.206243858687645e-05,3.510397008438636e-07
quad,Fperp,390339072,87.3090000000012,19.620475953965226,-1.213709332686643,-0.07973727621210198,3.4434324373837164,0.6068546663433215,0.027547459499069733,0.32511325266629987,0.00022494776114784852,3.9405033481172364e-07
