controller,finalized,trajectory,mode,seed,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,abs_rms_vx,abs_rms_vy,abs_rms_w,abs_max_vx,abs_max_vy,abs_max_w
asmc,true,octagon,velocity,1,true,49.92787845363558,47.45211523772215,0.320287795378895,0.023771374556752795,0.03246322609981432,0.025446315117994507,1.6795001746686604,1.981004779395181,3.7177356102750543,0.02123021056632237,0.029498128864463617,0.09905529593012076,0.12899561549922567,0.093405120626321,0.25378981438556786
asmc,true,spin_creep,velocity,1,true,44.82900596568228,45.72323448071239,0.32736798856228577,0.018663233212668582,0.0232859015241101,0.01542140952643559,1.308624345453611,1.357599048459686,0.25202799042814683,0.015222871826656145,0.015019805551622852,0.10424434051876783,0.052215534072451615,0.05210164934445851,0.2514590752631143
asmc,true,spiral_orbit,velocity,1,true,79.36088789781704,51.68357896028142,0.180437510634839,0.016510651894241835,0.02152327025700972,0.010554416760833282,1.3073923479288752,1.6726236196825892,0.6650244256354514,0.1430876730243215,0.011251796304902157,0.08374319436422749,0.29859774897875635,0.0316581358363546,0.2739458555460679
pid,true,octagon,velocity,1,true,34.56460106757775,45.28918809824857,0.7176048403665594,0.020918774878292766,0.0289375304311411,0.025371203897036256,1.6688002567032978,1.9920992629189067,4.098506632577887,0.029175381204522996,0.04110315617045396,0.03341526582775631,0.10273992155742542,0.1273686052798682,0.13955447026158752
pid,true,spin_creep,velocity,1,true,30.839365784755127,44.51073400639039,0.7326408430074033,0.020108386357886983,0.024395880542557792,0.015328613113612884,1.3183251001479674,1.3540155997241736,0.2798835041563294,0.01831685243573321,0.022027737154139845,0.05217350776439233,0.06004305347138025,0.07045474079285792,0.14501758436896306
pid,true,spiral_orbit,velocity,1,true,81.48737293719329,47.900502406597134,0.5887378870630982,0.015735714057037876,0.021552242712605186,0.010576377636021308,1.2733783357949746,1.6135585513657331,0.67816774344051,0.09074441185207113,0.018055505100081852,0.1356622018594269,0.19420218795727504,0.06263535938362938,0.29968404802987214
