run,traj_name,mode,vel_rmse_mps_mean,vel_tol_ratio_mean,inslip_vel_rmse_mps_mean,rate_rmse_radps_mean,rate_tol_ratio_mean,pos_rmse_m_mean,pos_tol_ratio_mean,heading_rmse_rad_mean,heading_tol_ratio_mean,ce_mean,n
full,coupled_vomega,velocity,0.0713998541065464,71.3998541065464,0.10096375160222297,0.02924001965392057,2.9240019653920566,NaN,NaN,NaN,NaN,5.076478392924603,2
full,docking,pose,0.016832386875844638,16.83238687584464,0.016733432054401805,0.020106441160831035,2.0106441160831037,0.6349452767419466,63.49452767419466,0.019599707076859825,1.9599707076859825,14.217806614909936,2
full,ellipse,pose,0.034254246667463316,34.25424666746331,0.041545153882366945,0.016170889702371176,1.6170889702371176,3.5844897424903475,358.44897424903473,1.8613290595250325,186.13290595250328,71.08771529869632,2
full,multisine_75percent_cap,velocity,0.001101293145866929,1.1012931458669288,0.001279883864156805,0.08190026823952998,8.190026823952998,NaN,NaN,NaN,NaN,8.313387912052107,2
full,octagon,velocity,0.007528162137082926,7.528162137082926,0.010565089255037156,0.048348921241414586,4.834892124141459,NaN,NaN,NaN,NaN,6.474117719355496,2
full,spin_creep,velocity,0.016268401685136238,16.268401685136237,0.016032400561496685,0.015569654513187712,1.5569654513187712,NaN,NaN,NaN,NaN,13.701398408889268,2
full,spiral_orbit,velocity,0.000983479685476992,0.983479685476992,0.001090727272180951,0.03620213802821477,3.6202138028214774,NaN,NaN,NaN,NaN,83.94509843643571,2
noellipse,coupled_vomega,velocity,0.07082744371506317,70.82744371506317,0.10016007797842738,0.030046059188027115,3.0046059188027114,NaN,NaN,NaN,NaN,4.8912483384387055,2
noellipse,docking,pose,0.006035586027052443,6.035586027052442,0.007536447060327927,0.008585894580382326,0.8585894580382327,0.6389512668644193,63.89512668644193,0.017208055380706182,1.720805538070618,8.640158588548605,2
noellipse,multisine_75percent_cap,velocity,0.0010323196948575386,1.0323196948575386,0.0012383491251476333,0.08299401922822422,8.299401922822423,NaN,NaN,NaN,NaN,8.44923972669249,2
noellipse,octagon,velocity,0.007559444467383296,7.559444467383296,0.01064111977859903,0.049146587996169194,4.9146587996169195,NaN,NaN,NaN,NaN,6.649583603040677,2
noellipse,spin_creep,velocity,0.0049852969622013075,4.985296962201307,0.004928561925019169,0.012543037792543732,1.2543037792543732,NaN,NaN,NaN,NaN,12.995383778324353,2
noellipse,spiral_orbit,velocity,0.0009674391869461759,0.967439186946176,0.0010937070026605837,0.03637202551928331,3.637202551928331,NaN,NaN,NaN,NaN,83.90384063179873,2
