run,traj_name,mode,seed,vel_rmse_mps,vel_tol_ratio,inslip_vel_rmse_mps,rate_rmse_radps,rate_tol_ratio,pos_rmse_m,pos_tol_ratio,heading_rmse_rad,heading_tol_ratio,emax,ce,pose_drift_rate
full,coupled_vomega,velocity,42,0.07262571208472389,72.62571208472389,0.1026965376084836,0.022493297429086546,2.2493297429086545,NaN,NaN,NaN,NaN,0.5670867372832361,5.022999168056224,NaN
full,coupled_vomega,velocity,43,0.0701739961283689,70.1739961283689,0.09923096559596234,0.03598674187875459,3.598674187875459,NaN,NaN,NaN,NaN,0.5740308525403741,5.129957617792983,NaN
full,docking,pose,42,0.015997720664657124,15.997720664657123,0.01600071232398979,0.018235240652218845,1.8235240652218845,0.6403589303381002,64.03589303381001,0.015270000505717866,1.5270000505717864,1.118033988749895,8.599763649906329,0.34276139711375025
full,docking,pose,43,0.017667053087032154,17.667053087032155,0.01746615178481382,0.021977641669443226,2.1977641669443226,0.629531623145793,62.9531623145793,0.023929413648001784,2.3929413648001785,1.1188255780993768,19.835849579913543,0.3440581522108108
full,ellipse,pose,42,0.03328973514847848,33.28973514847848,0.040138594371764674,0.014992981610870605,1.4992981610870604,3.5842562843956416,358.42562843956415,1.8594843458202777,185.94843458202777,0.9576233828912261,71.03792911378059,0.06288308771834827
full,ellipse,pose,43,0.03521875818644815,35.21875818644815,0.042951713392969215,0.01734879779387175,1.7348797793871749,3.5847232005850533,358.4723200585053,1.8631737732297875,186.31737732297876,0.9859953726346556,71.13750148361206,0.06275726541761842
full,multisine_75percent_cap,velocity,42,0.001117031958584606,1.117031958584606,0.001305503836009711,0.0858300338500742,8.583003385007421,NaN,NaN,NaN,NaN,0.26272843985881295,11.936163065408287,NaN
full,multisine_75percent_cap,velocity,43,0.0010855543331492515,1.0855543331492514,0.0012542638923038988,0.07797050262898575,7.7970502628985745,NaN,NaN,NaN,NaN,0.1560694869985409,4.690612758695928,NaN
full,octagon,velocity,42,0.007704350670015632,7.704350670015632,0.010777096360251554,0.024833951790447305,2.4833951790447304,NaN,NaN,NaN,NaN,0.2921714847616251,5.7491111027559825,NaN
full,octagon,velocity,43,0.0073519736041502215,7.3519736041502215,0.010353082149822758,0.07186389069238187,7.186389069238187,NaN,NaN,NaN,NaN,0.14964892937459506,7.199124335955008,NaN
full,spin_creep,velocity,42,0.016247604260313006,16.247604260313004,0.016357444558322495,0.01453989261587163,1.453989261587163,NaN,NaN,NaN,NaN,0.8199214460471963,14.721996033613998,NaN
full,spin_creep,velocity,43,0.01628919910995947,16.28919910995947,0.015707356564670878,0.016599416410503793,1.6599416410503793,NaN,NaN,NaN,NaN,0.8410379007733693,12.68080078416454,NaN
full,spiral_orbit,velocity,42,0.0011239186275661239,1.123918627566124,0.0012584205323321745,0.01861247699210792,1.8612476992107918,NaN,NaN,NaN,NaN,0.16624082816282654,81.70912704731799,NaN
full,spiral_orbit,velocity,43,0.0008430407433878601,0.8430407433878602,0.0009230340120297278,0.05379179906432163,5.379179906432163,NaN,NaN,NaN,NaN,0.21902723019088768,86.18106982555344,NaN
noellipse,coupled_vomega,velocity,42,0.07213377552557386,72.13377552557385,0.10200653629955143,0.017769094611625878,1.7769094611625877,NaN,NaN,NaN,NaN,0.5675162766575509,4.039899885914555,NaN
noellipse,coupled_vomega,velocity,43,0.06952111190455249,69.52111190455248,0.09831361965730334,0.04232302376442835,4.232302376442835,NaN,NaN,NaN,NaN,0.574078276654899,5.742596790962857,NaN
noellipse,docking,pose,42,0.0060455662911125824,6.045566291112582,0.007560282759757768,0.007982828962652932,0.7982828962652933,0.6403308983591615,64.03308983591614,0.01769595648011059,1.7695956480110588,1.118033988749895,7.998680972486207,0.34627256508627224
noellipse,docking,pose,43,0.006025605762992303,6.025605762992303,0.0075126113608980855,0.009188960198111721,0.9188960198111721,0.6375716353696772,63.75716353696772,0.01672015428130177,1.6720154281301771,1.118033988749895,9.281636204611004,0.3460595650310879
noellipse,multisine_75percent_cap,velocity,42,0.0010353943356380259,1.0353943356380257,0.001243770565326935,0.08617763242580083,8.617763242580082,NaN,NaN,NaN,NaN,0.27134218364155843,12.003632469385334,NaN
noellipse,multisine_75percent_cap,velocity,43,0.0010292450540770515,1.0292450540770515,0.0012329276849683318,0.07981040603064761,7.981040603064761,NaN,NaN,NaN,NaN,0.16038745806908772,4.8948469839996465,NaN
noellipse,octagon,velocity,42,0.007600028201432674,7.600028201432674,0.010733122222884374,0.024679179977200153,2.4679179977200154,NaN,NaN,NaN,NaN,0.09144781047515396,5.962156700186397,NaN
noellipse,octagon,velocity,43,0.007518860733333918,7.518860733333918,0.010549117334313685,0.07361399601513824,7.361399601513824,NaN,NaN,NaN,NaN,0.2870651993158384,7.3370105058949555,NaN
noellipse,spin_creep,velocity,42,0.004948401288306837,4.948401288306837,0.004816694950862028,0.012640352680270053,1.2640352680270053,NaN,NaN,NaN,NaN,0.8270742664097119,4.5622851591852935,NaN
noellipse,spin_creep,velocity,43,0.0050221926360957785,5.022192636095778,0.005040428899176309,0.012445722904817411,1.2445722904817411,NaN,NaN,NaN,NaN,0.8245629048843642,21.428482397463412,NaN
noellipse,spiral_orbit,velocity,42,0.0010942785795858027,1.0942785795858028,0.0012425168489553881,0.01842400887981605,1.8424008879816047,NaN,NaN,NaN,NaN,0.16650822878458263,81.75992129843027,NaN
noellipse,spiral_orbit,velocity,43,0.0008405997943065492,0.8405997943065492,0.0009448971563657793,0.054320042158750574,5.432004215875057,NaN,NaN,NaN,NaN,0.2192550134336088,86.04775996516719,NaN
