iter,score,best_so_far
1,26.809134826174077,26.809134826174077
2,20.71811308443135,20.71811308443135
3,17.151007907132758,17.151007907132758
4,27.031275776410492,17.151007907132758
5,19.474917087430704,17.151007907132758
6,22.140525547280237,17.151007907132758
7,23.60674526015742,17.151007907132758
8,27.441551617800215,17.151007907132758
9,17.198809439379104,17.151007907132758
10,27.60553807816404,17.151007907132758
11,25.75022770988329,17.151007907132758
12,15.668896863185338,15.668896863185338
13,16.36617846374329,15.668896863185338
14,21.651446373997,15.668896863185338
15,16.932455272631543,15.668896863185338
16,15.775681369443753,15.668896863185338
17,22.10695831290172,15.668896863185338
18,18.43237732651309,15.668896863185338
19,17.524330033382157,15.668896863185338
20,18.68154402807913,15.668896863185338
21,17.756829228857125,15.668896863185338
22,22.96093831293379,15.668896863185338
23,18.77795441918483,15.668896863185338
24,16.082705411363055,15.668896863185338
25,15.005445909754819,15.005445909754819
26,23.673567894455072,15.005445909754819
27,19.50405779417055,15.005445909754819
28,17.111644982422536,15.005445909754819
29,18.68974073206756,15.005445909754819
30,22.803958854496244,15.005445909754819
31,15.967564347426801,15.005445909754819
32,21.749146440135497,15.005445909754819
33,16.055367093343616,15.005445909754819
34,14.965632261034564,14.965632261034564
35,17.596685743322638,14.965632261034564
36,22.265845698471832,14.965632261034564
37,16.199197244692837,14.965632261034564
38,16.010943176316687,14.965632261034564
39,17.445273407254565,14.965632261034564
40,16.47768061157678,14.965632261034564
41,15.517662093750593,14.965632261034564
42,14.899383699450592,14.899383699450592
43,14.605080038935922,14.605080038935922
44,14.418074252531357,14.418074252531357
45,17.26943340423218,14.418074252531357
46,14.704898234658293,14.418074252531357
47,15.27074581635882,14.418074252531357
48,17.308133592668224,14.418074252531357
49,16.632799135390883,14.418074252531357
50,19.482112981326374,14.418074252531357
51,15.701821783627347,14.418074252531357
52,15.21131624888941,14.418074252531357
53,20.154434324828625,14.418074252531357
54,14.418369599108553,14.418074252531357
55,17.264741564624238,14.418074252531357
56,15.143222956945658,14.418074252531357
57,15.308030697017555,14.418074252531357
58,16.622742446895362,14.418074252531357
59,19.74885166077971,14.418074252531357
60,15.494748148190768,14.418074252531357
61,14.423505846289252,14.418074252531357
