t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-6.550413498076228e-7,1.0973257201030079e-6,-0.00023952827370786939,0.0005465669140686383,2.7701209189437715e-5,1.5993300582399995e-5
0.04,-2.2563818952539918e-5,6.740823540636803e-5,-0.0021446184089102902,0.0036328804692883844,0.00021626572515858733,0.00012486107463679998
0.06,-6.810983414709583e-5,1.645915951487786e-5,-0.001131803773559232,-0.006177079850897129,0.0007120963745288708,0.0004111290335232
0.08,-5.590331111675266e-5,7.347360716711759e-5,0.0011637821133976649,0.01353937318508735,0.0016462964254121098,0.0009504896843776001
0.1,-4.007713475625506e-5,0.000289754287710661,0.0006935013894247617,0.0018533950070868824,0.003135192649239914,0.0018101043200000001
0.12,-2.7838966801900378e-5,0.0002900627901070963,0.0002751690050052446,0.00811011309797154,0.0052808583825930695,0.0030489050087424
0.14,-1.3085943960664522e-5,0.000671105299021958,0.001543677543367481,0.019781941896905672,0.00817163658903093,0.004717896584396801
0.16,3.446085617951062e-5,0.0008694278006050503,0.003464795174465415,0.007482888166076935,0.011882662920920786,0.006860458636083199
0.18,0.00011853899406590335,0.0012272533870375743,0.004871231595153996,0.02138788483204095,0.01647638878126729,0.009512647498137596
0.2,0.000247061364736922,0.0014603547496383235,0.011020221177017526,0.005646652315996202,0.022003104385541823,0.012703498240000005
0.22,0.0005753615005780007,0.0017905133054847075,0.02053727006304232,0.031173166714082635,0.028501461823511834,0.016455326656102394
0.24,0.0009993658439737482,0.0024031848266438606,0.0218629431776196,0.02182009874725634,0.03599899812107036,0.0207840312557568
0.26,0.001529887715620864,0.0027720505768631413,0.03131367614699935,0.024685667857578246,0.04451265830206527,0.025699395253043208
0.28,0.002219279159385601,0.003544594812109954,0.035600381232671244,0.04458932196686772,0.054049318450128704,0.03120538855669761
0.3,0.0029648519866229944,0.004216755332513697,0.04260246216642843,0.023453760061029266,0.0646063087705065,0.037300469759999996
0.32,0.003943068144124083,0.004825971250306111,0.053897675167952255,0.04339504291747552,0.07617193665188755,0.04397788813066239
0.34,0.005085238261993652,0.0056683816677903995,0.060074789213127824,0.032269595838752115,0.08872600972823325,0.05122598560071681
0.36,0.006349947843568147,0.006395535569842256,0.06692747150533394,0.049273892860342006,0.10224035894060661,0.059028498756403175
0.38,0.007888446055659436,0.007466562952090156,0.08651044857668388,0.04723063394760725,0.11667936159900219,0.06736486082805758
0.4,0.009757704631890466,0.008257617248236844,0.09888659302407418,0.04329895786085807,0.132000464444175,0.07621050368000003
0.42,0.011840236601428796,0.0093888474117101,0.11006865199607468,0.06075341164769044,0.14815470670946976,0.0855371598004224
0.44,0.014140767690959214,0.010426678814834976,0.11907058229191739,0.052399807729368746,0.16508724318265106,0.09531316429127677
0.46,0.01663683875337227,0.01177693926937761,0.13573407072306673,0.07943259777924332,0.18273786726773208,0.1055037568581632
0.48,0.019607076827801596,0.01325296261168803,0.1586298231901886,0.06317839315862216,0.201041534046804,0.11607138380021759
