t,Xo,Yo,psi,xo_ref,yo_ref,psi_ref
0.0,0.0,0.0,5.759586531581287,0.0,0.0,5.759586531581287
0.02,4.2056123121597203e-8,-8.65764646356963e-8,5.75958697954866,1.539996543906153e-8,-8.891174832740672e-9,5.7595864698370205
0.04,1.9628069222530568e-8,-4.5554113541504165e-7,5.7595883210847285,2.4343672397041657e-7,-1.4054841656708604e-7,5.759585555551442
0.06,3.301355292229926e-8,-4.528875327706178e-8,5.759587445032616,1.2174995859541996e-6,-7.029276757612342e-7,5.7595816501597294
0.08,8.775043573482332e-7,-3.0190939129029635e-7,5.759585292678853,3.801124501087266e-6,-2.1946188740676214e-6,5.759571291373586
0.1,9.405665621863717e-7,-8.760660176571478e-7,5.759586277973912,9.166641779342618e-6,-5.292587701679286e-6,5.7595497786698395
0.12,5.125481394290306e-8,-4.4232787101248195e-7,5.7595876954022565,1.877423070091538e-5,-1.0840249317902369e-5,5.75951125697933
0.14,2.6121588127382886e-7,1.631289517487532e-7,5.7595829053807455,3.435135526131879e-5,-1.983591854283941e-5,5.7594487985761935
0.16,1.241083109905257e-5,-5.9603361737796694e-6,5.759542999356512,5.7872551959858086e-5,-3.342168687518118e-5,5.759354483167868
0.18,3.962228475486181e-5,-2.1269223726098017e-5,5.759466881544435,9.153953872077406e-5,-5.287277975082434e-5,5.759219476186584
0.2,8.238826841330018e-5,-4.6829518880280094e-5,5.7593346744059435,0.00013776161354307995,-7.958744818436308e-5,5.759034105283918
0.22,0.00014328420219339485,-8.280938102078468e-5,5.759140387288218,0.00019913631213147977,-0.00011507744759250646,5.758787935031193
0.24,0.00022915982801289164,-0.00013175278789976288,5.758881574745429,0.0002784302954015335,-0.00016095915344704442,5.758469839830485
0.26,0.00033662470391704937,-0.00019346715892002686,5.7585328303322925,0.00037856044020947354,-0.000218945358712115,5.7580680750436635
0.28,0.00046737110913063526,-0.0002689566034785345,5.758076159312427,0.0005025751097926925,-0.000290837792003516,5.757570346350505
