t,Xo,Yo,psi,xo_ref,yo_ref,psi_ref
0.0,0.0,0.0,5.759586531581287,0.0,0.0,5.759586531581287
0.02,4.1929260107287656e-8,-8.635124068810171e-8,5.759586980080577,1.539996543906153e-8,-8.891174832740672e-9,5.7595864698370205
0.04,7.199832164547083e-9,-4.137900957507184e-7,5.759588405981647,2.4343672397041657e-7,-1.4054841656708604e-7,5.759585555551442
0.06,-7.246697048475107e-8,7.861892824466887e-8,5.759587845353346,1.2174995859541996e-6,-7.029276757612342e-7,5.7595816501597294
0.08,5.386093306354794e-7,-2.8607744878284943e-7,5.759586197899583,3.801124501087266e-6,-2.1946188740676214e-6,5.759571291373586
0.1,6.418726756719951e-7,-8.557078049626386e-7,5.759587087120775,9.166641779342618e-6,-5.292587701679286e-6,5.7595497786698395
0.12,-5.892124620699472e-8,-3.5329969392022175e-7,5.75958841896157,1.877423070091538e-5,-1.0840249317902369e-5,5.75951125697933
0.14,3.114460743315015e-7,-2.0604794783298463e-7,5.759585510832617,3.435135526131879e-5,-1.983591854283941e-5,5.7594487985761935
0.16,1.0436868700607442e-5,-5.209198208583026e-6,5.759554915428184,5.7872551959858086e-5,-3.342168687518118e-5,5.759354483167868
0.18,2.2448011993419115e-5,-6.0231188919878285e-6,5.759532424999191,9.153953872077406e-5,-5.287277975082434e-5,5.759219476186584
0.2,3.419132457440104e-5,-2.283944349784304e-6,5.759512845878434,0.00013776161354307995,-7.958744818436308e-5,5.759034105283918
0.22,8.158595215438217e-5,-2.7642590390224716e-5,5.759435978301625,0.00019913631213147977,-0.00011507744759250646,5.758787935031193
0.24,0.00013809506698687853,-3.842277092001104e-5,5.75935231279172,0.0002784302954015335,-0.00016095915344704442,5.758469839830485
0.26,0.00017252905682693412,-0.00011519588059265096,5.759264758470447,0.00037856044020947354,-0.000218945358712115,5.7580680750436635
0.28,0.00035570998551262545,-2.3317497407001662e-5,5.759121957562783,0.0005025751097926925,-0.000290837792003516,5.757570346350505
0.3,0.0004368679089124508,-0.00010338849469403802,5.758904134458091,0.0006536355840697117,-0.00037852038831050173,5.756963877351581
0.32,0.0006046223638709379,-8.412521646998653e-5,5.7586023321978175,0.0008349976340190056,-0.00048395333613690116,5.756235475437378
0.34,0.0008473414242944926,4.755854421370645e-5,5.758206449628434,0.0010499932287133878,-0.0006091679162519463,5.755371595951987
0.36,0.00099462244716817,-1.755941119011162e-5,5.75780377857404,0.0013020123681248645,-0.0007562621380767686,5.754358404687813
0.38,0.001316023292056616,0.00010486002445928191,5.757228207271916,0.0015944850394443543,-0.000927397170235066,5.753181838756767
0.4,0.0014648345525301,-0.00011279572072124953,5.756643486566499,0.0019308632992936778,-0.001124794552136521,5.751827665893578
0.42,0.0017097233498520566,-0.00023314801993695592,5.756009175631484,0.0023146034887785373,-0.0013507341637796167,5.750281542257618
0.44,0.0021670127025921067,-0.0002545864735637244,5.754931931328784,0.002749148592778242,-0.0016075529214007631,5.748529068811081
0.46,0.0026020963005059824,-0.0004907876935026818,5.753712764995621,0.0032379107591450876,-0.0018976441572822707,5.74655584636295
0.48,0.0032016703954449704,-0.00056763671692818,5.752249755078497,0.0037842539975516684,-0.002223457633086589,5.74434752937974
0.5,0.0036196634309756124,-0.0010196425540398757,5.750586773749732,0.004391477081552464,-0.002587500127609839,5.741889878675015
0.52,0.004157435530096986,-0.0013668202670699704,5.748790909427812,0.005062796680994994,-0.0029923365319443414,5.73916881309984
0.54,0.004751318789093748,-0.0017504968251836751,5.746504813371309,0.005801330755213162,-0.0034405913777952215,5.736170460364962
0.56,0.005247678343850215,-0.0024025898502395985,5.74405295742321,0.006610082240453692,-0.003934950718190197,5.732881207132318
0.58,0.006037959165971444,-0.002750966752458665,5.741351732330102,0.007491923067727776,-0.004478164274119826,5.729287748517774
0.6,0.006770999006091866,-0.003356740236974567,5.738308003346574,0.00844957854974579,-0.005073047755810507,5.725377137148275
0.62,0.00765864638534303,-0.00386363649527734,5.735129768373267,0.009485612177789175,-0.005722485263417351,5.721136831914321
0.64,0.008570903455078126,-0.004540311496918993,5.731594324557342,0.010602410871312935,-0.006429431668965936,5.71655474655225
0.66,0.009627787184920711,-0.005196328735151709,5.727955409232934,0.011802170724760218,-0.0071969148794104746,5.711619298179744
0.68,0.010894702842980561,-0.005658272848358757,5.724054026726307,0.013086883297519515,-0.008028037879735444,5.706319455891642
0.7000000000000001,0.012064210319170996,-0.00647866735940484,5.719864385901533,0.014458322494173056,-0.00892598045512553,5.700644789501342
0.72,0.013462947937863595,-0.007053714669635703,5.715267447160993,0.01591803208317892,-0.009894000492377326,5.694585518484984
0.74,0.014859351728674967,-0.007856940284302082,5.710464693152686,0.017467313902901592,-0.0109354347629292,5.688132561151477
0.76,0.01632611241961829,-0.00880906031113442,5.70524037014964,0.019107216804461338,-0.012053699093134307,5.681277584020561
0.78,0.01800387354004537,-0.009652200993053257,5.699692782475017,0.020838526381200116,-0.013252287831696795,5.674013051343811
0.8,0.01963942125930346,-0.010802944283120758,5.693777065907024,0.02266175553466353,-0.01453477252949827,5.666332274649813
0.8200000000000001,0.021588521532780396,-0.011735163102423321,5.68746099016182,0.024577135926854708,-0.015904799753349456,5.658229462134976
0.84,0.02351543206125482,-0.012964252019723127,5.680916531566433,0.026584610368111144,-0.017366087962476896,5.64969976765639
0.86,0.025552374385739682,-0.014133923041904684,5.674016546123895,0.02868382618927676,-0.01892242338474582,5.640739339013426
0.88,0.02758530927886862,-0.01555308921388233,5.666734171451521,0.03087412964584909,-0.020577654838704468,5.631345365131911
0.9,0.029711593056561673,-0.017094756510167772,5.658877615022022,0.03315456140046471,-0.022335687457435277,5.621516121689976
0.92,0.03204574053149897,-0.018526879513141203,5.650597707388907,0.03552385312839843,-0.024200475280875374,5.611251014650107
0.9400000000000001,0.03431286386146647,-0.02030279292873123,5.641910020075998,0.0379804252886689,-0.026176012694643515,5.600550621089744
0.96,0.03691172760623788,-0.021866341904955733,5.632735278154874,0.04052238610083039,-0.028266324705412006,5.58941672665542
0.98,0.039474388434100956,-0.023704514247908547,5.623102415935007,0.04314753176454837,-0.030475456055410723,5.577852358905968
1.0,0.04217299099041695,-0.0256192125874751,5.612982564353347,0.04585334795557502,-0.03280745919165874,5.565861815761546
1.02,0.04489976881585024,-0.027697638888412975,5.602402334848522,0.04863701262773227,-0.03526638111887968,5.553450688240607
1.04,0.047494182258502445,-0.030082232553906213,5.591584126256619,0.05149540014593746,-0.03785624917868609,5.540625876649455
1.06,0.05030162713437732,-0.03244666664649035,5.580281344991049,0.05442508677015864,-0.04058105581138291,5.527395599391857
1.08,0.05300502386658806,-0.035230030116979526,5.568546890408223,0.05742235750443654,-0.043444742370544506,5.51376939359217
1.1,0.056001221876267916,-0.03788165529824035,5.556487146883218,0.060483214318756,-0.04645118207422363,5.499758106776586
1.12,0.058942475926680574,-0.04077824308323926,5.544102304752117,0.06360338574458785,-0.04960416219013267,5.485373878935355
1.1400000000000001,0.062037773260443525,-0.043749040960091815,5.531220796984015,0.0667783378373582,-0.05290736556527174,5.470630114394632
1.16,0.0653081510868296,-0.04672832665157843,5.517879133615413,0.07000328649096199,-0.05636435162311011,5.455541443059714
1.18,0.06849770890672681,-0.050013294624668615,5.504150587385261,0.07327321108074772,-0.05997853696343488,5.44012367075037
1.2,0.07184090444190931,-0.05335609091494502,5.489987755375316,0.07658286940219859,-0.06375317571121676,5.424393718531024
1.22,0.07508819379904988,-0.05700954317622648,5.475466175079346,0.07992681386288927,-0.0676913397711674,5.408369551139434
1.24,0.0785500667379296,-0.06064512895000016,5.460551903182649,0.08329940887525658,-0.07179589915394208,5.392070094832343
1.26,0.08177591404028138,-0.06465112918135714,5.445400752820898,0.08669484938738029,-0.07606950254804096,5.37551514518868
1.28,0.08511799905184231,-0.06871025463603125,5.430014328547723,0.09010718047840816,-0.0805145583182643,5.358725265633174
1.3,0.08846651179481083,-0.07300592643824377,5.414270697228149,0.0935303179345817,-0.0851332161169494,5.341721677658046
1.32,0.09162313459435215,-0.07762353622065747,5.398213623740905,0.09695806971113723,-0.08992734929807004,5.324526143919611
1.34,0.09508527271432107,-0.08216898773043108,5.3819142945432805,0.10038415817479109,-0.09489853832651411,5.307160845562612
1.36,0.09834116943753285,-0.08703420053310088,5.365333375813315,0.10380224301118852,-0.10004805537538926,5.289648255270627
1.3800000000000001,0.10171595324618424,-0.09196050380564938,5.348639323311869,0.10720594467174968,-0.10537685030298916,5.272011007650025
1.4000000000000001,0.10506344327777255,-0.09707349569428876,5.33149479620002,0.11058886822489616,-0.11088553819803558,5.254271768622878
1.42,0.1081487581552757,-0.10251184378324917,5.314217670978308,0.11394462746784853,-0.11657438867698196,5.236453105528088
1.44,0.1115857431488131,-0.1079130090057943,5.296718735626044,0.11726686914715723,-0.12244331711051645,5.218577359608447
1.46,0.11485743373257573,-0.11358761431011975,5.278909047453698,0.12054929712902507,-0.1284918779479721,5.200666522495443
1.48,0.11823038479278096,-0.11941290400290093,5.261133561419146,0.12378569635438746,-0.13471926029818088,5.18274211819576
1.5,0.12142685262955423,-0.12545220466752222,5.243226854566236,0.1269699564087872,-0.14112428591348058,5.164825091938238
1.52,0.12455377745059235,-0.13175697678835088,5.225449417220903,0.13009609453338275,-0.1477054097101957,5.1469357070632045
