controller,trajectory,score_mean,score_std,tracking_mean,ce_mean,chatter_mean,est_vel_mean,est_rate_mean,est_pos_mean,n_ok,n
asmc_v2,octagon_easy,0.4158088463254014,0.045722884542214175,0.3622549393536197,25.70587534645522,0.6358876834558014,0.002054292981213205,0.0020685200677733597,0.0032329955947011484,5,5
asmc_v2,octagon_mid,1.153121153217417,0.2280493184804552,1.0749617422171487,37.51651728012877,0.6228476875737964,0.0023097222545830076,0.0020262054816623533,0.0032359849673657117,5,5
asmc_v2,octagon_stress,1.2491560244084556,0.07959423019762658,1.1524492480797686,46.41925263776981,0.5992870929859231,0.0025061366353114137,0.0019646768214995392,0.0032411235747211767,5,5
asmc_v2,octagon_stress_hdg30,1.1553538135684835,0.09807490397712545,1.05821399316403,46.62711379413766,0.611689228658583,0.0025514106905113357,0.0020164620433802917,0.0032426250587258886,5,5
asmc_v2,spin_creep_easy,0.24844203443593438,0.05615950612253357,0.18717594632303583,29.407722294191284,0.6472141649654682,0.0015435299249426083,0.003026895925741024,0.0032442017725283533,5,5
asmc_v2,spin_creep_stress_yaw,0.3983791697310926,0.13666040254714695,0.3036514511441585,45.46930492172836,0.6634252854595344,0.0015781073424124936,0.0043823684947299785,0.00324440818471433,5,5
asmc_v2,coupled_vomega_easy,0.1702428072325452,0.060775189520249434,0.10708841791627417,30.31410687181009,0.6600211225993899,0.0022317570842463287,0.0022926032416577488,0.00324973865602021,5,5
asmc_v2,coupled_vomega_stress,14.827728978083996,12.674617122755144,14.737610441013448,43.25689779386234,0.5765696959393631,0.0028024883661503684,0.0023478770195354435,0.0032688209713025657,5,5
asmc_v2,spiral_orbit_stress,36.83387249376867,12.451981545565078,36.732411338533836,48.70135451272016,0.581567418977656,0.0022803066193552387,0.003794997057563815,0.00331844163165041,5,5
asmc_v2,ellipse_stress_tangent,44.13477006359584,96.67017785593005,43.99196292199946,68.54742796626304,0.559592206006818,0.002707216164983642,0.0021612520270034843,0.0032134798704016934,5,5
asmc_v2,ellipse_stress_crab,0.44783916860724615,0.1311699413745836,0.39515343988655094,25.28914978593366,0.5898288556672784,0.002417601642471669,0.00198540899055633,0.003214103129632383,5,5
asmc_v2,multisine75_broadband,0.12112765053469879,0.033896251402435476,0.09300805668042877,13.497405050049597,0.6511328476818499,0.0017238377564550138,0.0023455487254422877,0.003193555336498964,5,5
pid_fb,octagon_easy,0.42141488950608713,0.07541810838064979,0.35833273362648843,30.279434822207367,0.762583512142981,0.0023259295934540273,0.003438913010488821,0.0032328409198889353,5,5
pid_fb,octagon_mid,1.1783073196173368,0.055207232774989734,1.0935815775653348,40.66835618496098,0.6487369101983412,0.002506016288781899,0.0031507212865576825,0.003232136628391373,5,5
pid_fb,octagon_stress,1.5954296100982153,0.11862410401308973,1.4918039782414132,49.74030329126495,0.6327833523347761,0.002680559351119947,0.003024413454841372,0.003241999280726443,5,5
