time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.158566947792743e-5,8.665159778329e-5,-2.317953619154632e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.769599001922122e-7,1.5132596641183682e-6,-0.0004508309675737484,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-3.6960639621234597e-6,2.629706229980546e-5,-1.3217908333943396e-5,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-2.317953619154632e-9,5.158566947792743e-8,8.665159778329001e-8,-8.554583278429658e-6,-7.031849779490676e-6,-0.002570820379773648,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00010959027518715399,0.00019862103083702213,3.818313194943453e-6,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.5535861953098032e-8,4.788960557675934e-8,1.1294866009166277e-7,-3.6570737653985685e-6,9.330974580412737e-7,0.0007426437776627188,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00013420165352342293,0.0002174262096748844,6.95845491851623e-5,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,-1.171754875815458e-8,1.5747988384966225e-7,3.115696892261055e-7,-5.053082386471898e-6,1.3821128712549475e-6,0.013533864257720091,2.7611808971105294e-5
0.004,-2.6632937067182616e-7,3.442423241457662e-7,1.1246735832382426e-6,0.00017774854356122848,9.935950241863393e-5,4.215262781555988e-5,-2.6380491162900593e-10,4.136806817061875e-10,9.441585004792444e-10,5.786700042700772e-8,2.9168153992078733e-7,5.289958973284754e-7,-1.0882483076625082e-5,3.781767781869127e-6,0.008198485865647174,4.839989015969649e-5
0.005,-2.807794890093962e-7,6.033763240783857e-7,1.9917431249561038e-6,0.00019208682939277823,7.65159660306142e-5,5.256102466780414e-5,-5.397970123823897e-10,8.84810649859144e-10,2.494838947593614e-9,1.000196282425676e-7,4.6943007773237915e-7,6.283554100328843e-7,2.725960384349658e-7,-7.3188859628790745e-6,0.010222869608709379,1.7192884429392157e-5
0.006,-2.7851717545010474e-7,8.626797686708917e-7,2.860151259182237e-6,0.00022430929635022066,-7.465986485800472e-5,6.153139794419054e-5,-8.218882992568346e-10,1.619872032430538e-9,4.919032905692085e-9,1.5258065291037173e-7,6.61516899472058e-7,7.048713952759514e-7,-1.4360010790820997e-5,-2.3240843559364445e-5,0.01196756459754435,6.718639248054534e-6
0.007,-1.1401970397361635e-7,1.0959082040860766e-6,3.7873163152661387e-6,0.0002818118416120008,-3.538218252588702e-5,9.558759462261362e-6,-1.0317305649065402e-9,2.6016594693851205e-9,8.236060158858918e-9,2.1411205085456225e-7,8.858262072139269e-7,6.302115646432065e-7,-1.8378478991536334e-5,-2.89029640695704e-5,0.0018591333068811219,1.693518512198208e-5
0.008,1.382889619836978e-7,1.2564240763982705e-6,5.488631091956548e-6,0.00037758430952904024,1.546765851664512e-5,3.319594695281411e-5,-1.0372571457170452e-9,3.788761814030027e-9,1.278381872017137e-8,2.236708103168236e-7,1.167638056401673e-6,5.948294424566316e-7,-5.134298092582618e-5,-2.8987426018977845e-5,0.006456453986220006,9.363798146428987e-5
0.009000000000000001,4.877362264578723e-7,1.229109018023669e-6,8.6366734373574e-6,0.000349451944315241,-0.00011374678290144036,5.254088100156569e-6,-7.248520463070081e-10,5.045574837929617e-9,1.971290995346068e-8,2.5686675726963773e-7,1.5452223624710402e-6,6.102971854278648e-7,-6.733278921482289e-5,-4.114317374832252e-5,0.0010218951761317742,0.0001506851752645746
