iter,tier,score,best_so_far
1,screen,7.621030122526535,7.621030122526535
2,screen,3.698881853117757,3.698881853117757
3,screen,7.261308913088937,3.698881853117757
4,screen,7.612491600813208,3.698881853117757
5,screen,4.668399918765972,3.698881853117757
6,screen,8.426986812186314,3.698881853117757
7,screen,2.0844153482400425,2.0844153482400425
8,screen,2.839785378686615,2.0844153482400425
9,screen,5.704720373778926,2.0844153482400425
10,screen,4.240288867826691,2.0844153482400425
11,screen,5.1555668381550985,2.0844153482400425
12,screen,3.416329119526685,2.0844153482400425
13,screen,3.446598210386805,2.0844153482400425
14,screen,1.2810175793195069,1.2810175793195069
15,screen,1.6606583125305345,1.2810175793195069
16,screen,2.199659558319624,1.2810175793195069
17,screen,6.454446248734076,1.2810175793195069
18,screen,1.650066161403917,1.2810175793195069
19,screen,1.4989395631955342,1.2810175793195069
20,screen,1.590430830617187,1.2810175793195069
21,screen,2.344780502268306,1.2810175793195069
22,screen,3.163689148697078,1.2810175793195069
23,screen,1.2908920080354944,1.2810175793195069
24,screen,1.4389591852808035,1.2810175793195069
25,screen,1.8042772897706811,1.2810175793195069
26,screen,1.5358488324918806,1.2810175793195069
27,screen,1.4904468883635111,1.2810175793195069
28,screen,3.5941363307466982,1.2810175793195069
29,screen,1.7998653139065781,1.2810175793195069
30,screen,1.5083246211898365,1.2810175793195069
31,screen,1.419486611692876,1.2810175793195069
32,screen,1.8630761305746815,1.2810175793195069
33,screen,1.6230429402445214,1.2810175793195069
34,screen,1.332975575360553,1.2810175793195069
35,screen,2.0071398342920737,1.2810175793195069
36,screen,1.2754011580068185,1.2754011580068185
37,screen,1.3047358483715548,1.2754011580068185
38,screen,1.4611147411347243,1.2754011580068185
39,screen,1.4857697735388165,1.2754011580068185
40,screen,1.3238784214420614,1.2754011580068185
41,screen,1.3590353001402729,1.2754011580068185
42,screen,1.2894134684160805,1.2754011580068185
43,screen,1.3118035652443683,1.2754011580068185
44,screen,1.421259336513223,1.2754011580068185
45,screen,1.2588611210248974,1.2588611210248974
46,screen,1.2524711307467145,1.2524711307467145
47,screen,1.4085970863797368,1.2524711307467145
48,screen,1.4524353559771859,1.2524711307467145
49,screen,1.29063172853981,1.2524711307467145
50,screen,1.2919321000389576,1.2524711307467145
51,screen,1.3214154487010166,1.2524711307467145
52,screen,1.2389014543286307,1.2389014543286307
53,screen,1.268622573304642,1.2389014543286307
54,screen,1.3384822682193924,1.2389014543286307
55,screen,1.255614661615977,1.2389014543286307
56,screen,1.2667644654816725,1.2389014543286307
