iter,score,best_so_far
1,149.43766139786416,149.43766139786416
2,133.26668397525572,133.26668397525572
3,110.33221290376115,110.33221290376115
4,99.96253952920748,99.96253952920748
5,141.25245945615163,99.96253952920748
6,117.97574669592468,99.96253952920748
7,68.71726783636026,68.71726783636026
8,82.52111600227592,68.71726783636026
9,116.48814298560049,68.71726783636026
10,91.06044835723817,68.71726783636026
11,109.6756933779831,68.71726783636026
12,125.66849646291708,68.71726783636026
13,123.49233118287583,68.71726783636026
14,25.658390550515506,25.658390550515506
15,76.04067555157334,25.658390550515506
16,105.08241163360879,25.658390550515506
17,73.7594576541724,25.658390550515506
18,82.54998872418531,25.658390550515506
19,168.16845526704284,25.658390550515506
20,41.2402919126624,25.658390550515506
21,65.11217987006468,25.658390550515506
22,113.12175377755473,25.658390550515506
23,49.689151569207986,25.658390550515506
24,56.29516130659021,25.658390550515506
25,71.46467387595627,25.658390550515506
26,30.178037535258945,25.658390550515506
27,35.27130272872537,25.658390550515506
28,121.17843163711676,25.658390550515506
29,49.64950879124105,25.658390550515506
30,36.2750788724845,25.658390550515506
31,164.29664591238182,25.658390550515506
32,88.04157611239818,25.658390550515506
33,36.27712174495148,25.658390550515506
34,78.6863311947303,25.658390550515506
35,62.21833041520731,25.658390550515506
36,63.04727928963532,25.658390550515506
37,20.136964025597692,20.136964025597692
38,48.55006289399156,20.136964025597692
39,31.775546152162445,20.136964025597692
40,39.876953573835884,20.136964025597692
41,42.726517668301454,20.136964025597692
42,35.19363718570519,20.136964025597692
43,30.392823698061274,20.136964025597692
44,22.290171969568977,20.136964025597692
45,23.760992852408055,20.136964025597692
46,52.79254009149329,20.136964025597692
47,27.50125391471689,20.136964025597692
48,46.41574530783215,20.136964025597692
49,59.681809225571726,20.136964025597692
50,48.700639918052026,20.136964025597692
51,36.40626306994965,20.136964025597692
52,40.18327592506519,20.136964025597692
53,28.036839923749472,20.136964025597692
54,20.731979491427374,20.136964025597692
55,25.654290674491307,20.136964025597692
56,18.06815954965701,18.06815954965701
57,22.158488864748534,18.06815954965701
58,32.041331029488866,18.06815954965701
59,39.32042868377314,18.06815954965701
60,50.57983704796385,18.06815954965701
61,55.203728413232994,18.06815954965701
62,16.517601473739926,16.517601473739926
63,46.58644745093074,16.517601473739926
64,21.460133147085298,16.517601473739926
65,28.90631520541334,16.517601473739926
66,19.938451784100955,16.517601473739926
67,42.60740611609241,16.517601473739926
68,18.02652638290417,16.517601473739926
69,20.345479955704317,16.517601473739926
70,24.542478675865137,16.517601473739926
71,60.89629896753248,16.517601473739926
72,22.698110987342435,16.517601473739926
73,21.571498879816268,16.517601473739926
74,27.332122649317267,16.517601473739926
75,27.53477855908254,16.517601473739926
76,45.44752026189212,16.517601473739926
77,18.83058079133735,16.517601473739926
78,34.66873853348487,16.517601473739926
79,24.039227708745127,16.517601473739926
80,26.53719226910624,16.517601473739926
81,16.236116901211204,16.236116901211204
82,25.074304105554713,16.236116901211204
83,18.881102320330122,16.236116901211204
84,21.340684777214307,16.236116901211204
85,19.057553177136242,16.236116901211204
86,20.711031045962585,16.236116901211204
87,18.038346919807633,16.236116901211204
88,24.01828562142101,16.236116901211204
89,61.1711579883359,16.236116901211204
90,30.07675179275864,16.236116901211204
91,35.85785102277425,16.236116901211204
92,21.679200310554606,16.236116901211204
93,20.46004745801472,16.236116901211204
94,21.52080395318861,16.236116901211204
95,28.088154852423067,16.236116901211204
96,22.769906321434398,16.236116901211204
97,34.85891397876473,16.236116901211204
98,18.947432905952887,16.236116901211204
99,35.355317145061605,16.236116901211204
100,16.712872596709822,16.236116901211204
101,14.531616756798575,14.531616756798575
102,19.8611799641899,14.531616756798575
103,17.61621513784678,14.531616756798575
104,15.117448329508559,14.531616756798575
105,20.33377717428396,14.531616756798575
106,17.031327668514287,14.531616756798575
107,17.5684481217192,14.531616756798575
108,14.811932131899905,14.531616756798575
109,17.1472773364466,14.531616756798575
110,18.851723493474168,14.531616756798575
111,27.525116899845877,14.531616756798575
112,34.45124498515392,14.531616756798575
113,15.426805278070427,14.531616756798575
114,22.50016595764563,14.531616756798575
