iter,tier,score,best_so_far
1,screen,6.079175372289337,6.079175372289337
2,screen,4.977638496507229,4.977638496507229
3,screen,2.6098054841225893,2.6098054841225893
4,screen,6.709497122122806,2.6098054841225893
5,screen,6.748434798049472,2.6098054841225893
6,screen,2.0815368510587344,2.0815368510587344
7,screen,6.804026303640791,2.0815368510587344
8,screen,2.1544684846892923,2.0815368510587344
9,screen,1.8091930651490575,1.8091930651490575
10,screen,3.6459317747167352,1.8091930651490575
11,screen,4.25689443063658,1.8091930651490575
12,screen,6.703511433953603,1.8091930651490575
13,screen,2.2390650220730732,1.8091930651490575
14,screen,2.1948526767866308,1.8091930651490575
15,screen,1.998536913734577,1.8091930651490575
16,screen,2.1061310934425297,1.8091930651490575
17,screen,2.743940656350034,1.8091930651490575
18,screen,4.189179438594177,1.8091930651490575
19,screen,2.0967684186456883,1.8091930651490575
20,screen,3.6947488971166162,1.8091930651490575
21,screen,3.3874610942599612,1.8091930651490575
22,screen,2.034667574632401,1.8091930651490575
23,screen,2.102336293177216,1.8091930651490575
24,screen,1.913397103248572,1.8091930651490575
25,screen,1.979981655297292,1.8091930651490575
26,screen,3.9109183719440153,1.8091930651490575
27,screen,1.9661341494946611,1.8091930651490575
28,screen,5.32848827158889,1.8091930651490575
29,screen,5.9954190564413725,1.8091930651490575
30,screen,2.431321636945846,1.8091930651490575
31,screen,6.228750921662434,1.8091930651490575
32,screen,2.2018786265464123,1.8091930651490575
33,screen,2.1345199496556884,1.8091930651490575
1,full,1.8091930651490575,1.8091930651490575
1,full,1.8091930651490575,1.8091930651490575
2,full,1.9296832393556553,1.8091930651490575
3,full,1.7922948425558967,1.7922948425558967
4,full,1.8941422164229662,1.7922948425558967
5,full,1.763254645816037,1.763254645816037
6,full,1.8306560808851071,1.763254645816037
7,full,2.0480121560712403,1.763254645816037
8,full,1.7640164715895645,1.763254645816037
9,full,1.7879008971937345,1.763254645816037
10,full,1.7727917421453379,1.763254645816037
11,full,1.7634514936050554,1.763254645816037
12,full,1.7695177053782394,1.763254645816037
13,full,1.7719583652896944,1.763254645816037
14,full,1.7654455559464428,1.763254645816037
15,full,1.7628862344358553,1.7628862344358553
16,full,1.7602749539439269,1.7602749539439269
17,full,1.7599399501875044,1.7599399501875044
18,full,1.7626213029059752,1.7599399501875044
19,full,1.7613762708403877,1.7599399501875044
20,full,1.7617907978618133,1.7599399501875044
21,full,1.769621036752253,1.7599399501875044
22,full,1.7762291532242516,1.7599399501875044
23,full,1.7831043496681558,1.7599399501875044
24,full,1.7608789041370376,1.7599399501875044
25,full,1.7629875341822423,1.7599399501875044
26,full,1.7602352904026501,1.7599399501875044
27,full,1.7616178332018402,1.7599399501875044
28,full,1.7589568606947787,1.7589568606947787
29,full,1.7618679507596562,1.7589568606947787
30,full,1.7608269159787138,1.7589568606947787
31,full,1.7604168028019012,1.7589568606947787
32,full,1.759212848245514,1.7589568606947787
33,full,1.7622661196876603,1.7589568606947787
34,full,1.7619387436298621,1.7589568606947787
35,full,1.7615146755851947,1.7589568606947787
36,full,1.760823908582944,1.7589568606947787
