estimator,traj_name,mode,ref_type,seed,pose_rmse,velocity_nrmse,inslip_nrmse,ce,emax,settling_time,overshoot,pose_drift_rate,dropout_drift
kalman_imm,coupled_vomega,velocity,velref,42,NaN,0.13418400771526828,0.12964421850295027,4.03234473729917,0.2966799584558534,NaN,NaN,NaN,NaN
kalman_imm,ellipse,pose,posref,42,1.8114036136858145,NaN,NaN,96.0,3.4149887959533944,14.22915108365004,3413.9887959533944,0.27937192132360356,3.4149887959533944
kalman_imm,multisine_75percent_cap,velocity,velref,42,NaN,0.36168268023456535,0.3899168802352066,8.57374218193933,0.2700435504463442,NaN,NaN,NaN,NaN
kalman_imm,octagon,velocity,velref,42,NaN,0.8256396110689678,0.809052882307792,5.946529076975782,0.09192483629644024,NaN,NaN,NaN,NaN
kalman_imm,spiral_orbit,velocity,velref,42,NaN,0.30641356616725907,0.2826245666834588,78.0028414763401,1.080005052318802,NaN,NaN,NaN,NaN
kalman_imm,long_circle,velocity,velref,42,NaN,0.4695647187305017,0.4239967449628727,63.15323671026453,1.849739154698625,NaN,NaN,NaN,NaN
kalman_imm,docking,pose,posref,42,0.7062929326335786,NaN,NaN,7.68362962524813,1.118033988749895,10.0,0.0,0.3448525964448749,1.118033988749895
kalman_imm,coupled_vomega,velocity,velref,43,NaN,0.1648165084168578,0.16004689092792515,5.770038165947051,0.5083547975779095,NaN,NaN,NaN,NaN
kalman_imm,ellipse,pose,posref,43,3.4672885773429933,NaN,NaN,91.0711349580692,5.483716158631448,20.18105276579142,5482.716158631448,0.19471816368594547,5.483716158631448
kalman_imm,multisine_75percent_cap,velocity,velref,43,NaN,0.18392980815897295,0.17769877516589094,6.71935725302981,0.15676382407751394,NaN,NaN,NaN,NaN
kalman_imm,octagon,velocity,velref,43,NaN,3.650295415423089,4.1726240474745255,7.432597371726311,0.3009172170936748,NaN,NaN,NaN,NaN
kalman_imm,spiral_orbit,velocity,velref,43,NaN,0.22841255959782059,0.11960894447706454,96.0,0.7429142374097323,NaN,NaN,NaN,NaN
kalman_imm,long_circle,velocity,velref,43,NaN,0.3261348163988855,0.2652110856790198,94.60000000000001,0.6017373076311131,NaN,NaN,NaN,NaN
kalman_imm,docking,pose,posref,43,0.7038002035147629,NaN,NaN,7.659187325872851,1.118033988749895,10.0,0.0,0.34091220249076415,1.118033988749895
kalman,coupled_vomega,velocity,velref,42,NaN,0.38547458534762846,0.4086251933656997,14.052121036231625,0.7234194398461513,NaN,NaN,NaN,NaN
kalman,ellipse,pose,posref,42,5.487361123396057,NaN,NaN,68.45940819619953,8.65287871195534,23.336243537787368,8651.87871195534,0.17900020831192973,8.65287871195534
kalman,multisine_75percent_cap,velocity,velref,42,NaN,0.36463112918524826,0.38270471593318445,7.9065677055132735,0.2710390657703678,NaN,NaN,NaN,NaN
kalman,octagon,velocity,velref,42,NaN,3.107442309201806,4.202532804237658,5.902549053406004,0.3452780037548825,NaN,NaN,NaN,NaN
kalman,spiral_orbit,velocity,velref,42,NaN,0.23894657020211355,0.21750910963891842,79.86378033795489,0.6838028780707464,NaN,NaN,NaN,NaN
kalman,long_circle,velocity,velref,42,NaN,0.025090943153399686,0.02537318645431007,48.23113203215809,0.042277604250820174,NaN,NaN,NaN,NaN
kalman,docking,pose,posref,42,1.3666524646653384,NaN,NaN,3.232256737256657,1.72643162493061,10.0,0.5441673887401057,1.2842954254860701,1.72643162493061
kalman,coupled_vomega,velocity,velref,43,NaN,0.20602702980428575,0.16116024895113187,5.734504156810787,0.4676475557554688,NaN,NaN,NaN,NaN
kalman,ellipse,pose,posref,43,1.1566337022925924e-9,NaN,NaN,NaN,2.385186217307722e-9,0.0,0.0,2.385186217307722e-6,2.385186217307722e-9
kalman,multisine_75percent_cap,velocity,velref,43,NaN,0.3363506766730279,0.3563498621676476,3.7313147633215933,0.1591960481215284,NaN,NaN,NaN,NaN
kalman,octagon,velocity,velref,43,NaN,3.7296717805573105,4.051183612067144,7.441694646446742,0.3322801758633388,NaN,NaN,NaN,NaN
kalman,spiral_orbit,velocity,velref,43,NaN,0.3063067883260941,0.3091561710312544,30.14303842438913,0.711935298663921,NaN,NaN,NaN,NaN
kalman,long_circle,velocity,velref,43,NaN,0.4639085384975561,0.5378725359404688,86.99168212408436,0.25517070088974475,NaN,NaN,NaN,NaN
kalman,docking,pose,posref,43,1.3981461826391928,NaN,NaN,3.129645677147502,1.8114118922554137,10.0,0.6201760505338518,1.335319287893214,1.8114118922554137
