estimator,traj_name,mode,pose_rmse_mean,pose_rmse_std,velocity_nrmse_mean,velocity_nrmse_std,inslip_nrmse_mean,inslip_nrmse_std,ce_mean,ce_std,pose_drift_rate_mean,n
kalman_imm,coupled_vomega,velocity,NaN,NaN,0.14950025806606304,0.02166044897079562,0.1448455547154377,0.021497935837892994,4.901191451623111,1.2287348070202186,NaN,2
kalman_imm,ellipse,pose,2.639346095514404,1.170887486666831,NaN,NaN,NaN,NaN,93.5355674790346,3.4852338947025894,0.2370450425047745,2
kalman_imm,multisine_75percent_cap,velocity,NaN,NaN,0.27280624419676913,0.1256902612200363,0.2838078277005488,0.15006086118507234,7.64654971748457,1.3112481581620556,NaN,2
kalman_imm,octagon,velocity,NaN,NaN,2.2379675132460286,1.997333273776741,2.4908384648911586,2.378403979892934,6.689563224351047,1.0508089685244284,NaN,2
kalman_imm,spiral_orbit,velocity,NaN,NaN,0.26741306288253985,0.05515504068462639,0.20111675558026168,0.11526945190148573,87.00142073817005,12.725912834169193,NaN,2
kalman_imm,long_circle,velocity,NaN,NaN,0.3978497675646936,0.10142025656361005,0.34460391532094625,0.11227841643478907,78.87661835513227,22.23621956854014,NaN,2
kalman_imm,docking,pose,0.7050465680741708,0.001762625663575753,NaN,NaN,NaN,NaN,7.67140847556049,0.017283315636052028,0.3428823994678195,2
kalman,coupled_vomega,velocity,NaN,NaN,0.2957508075759571,0.12688858339204726,0.2848927211584158,0.17498414030149295,9.893312596521206,5.881443298750165,NaN,2
kalman,ellipse,pose,2.7436805622763454,3.8801502603549194,NaN,NaN,NaN,NaN,NaN,NaN,0.08950129674907352,2
kalman,multisine_75percent_cap,velocity,NaN,NaN,0.3504909029291381,0.01999729974641513,0.369527289050416,0.018635695814790937,5.818941234417434,2.952349668592821,NaN,2
kalman,octagon,velocity,NaN,NaN,3.4185570448795586,0.4399826786495977,4.126858208152401,0.10702004011087694,6.6721218499263735,1.0883402860724967,NaN,2
kalman,spiral_orbit,velocity,NaN,NaN,0.27262667926410383,0.04763086701767162,0.2633326403350864,0.06480425858634062,55.00340938117201,35.15787377270855,NaN,2
kalman,long_circle,velocity,NaN,NaN,0.24449974082547787,0.31029089737182736,0.28162286119738944,0.36239176537535717,67.61140707812123,27.40784781252193,NaN,2
kalman,docking,pose,1.3823993236522656,0.022269421544089077,NaN,NaN,NaN,NaN,3.18095120720208,0.07255697642792393,1.309807356689642,2
