iter,score,best_so_far
1,24.569799768851695,24.569799768851695
2,17.171433417926153,17.171433417926153
3,16.37223354483534,16.37223354483534
4,25.45299786801741,16.37223354483534
5,20.024264563588165,16.37223354483534
6,17.546384701272178,16.37223354483534
7,23.311145080419934,16.37223354483534
8,20.604024640347642,16.37223354483534
9,17.68613800029994,16.37223354483534
10,20.146117199758553,16.37223354483534
11,25.027977753462025,16.37223354483534
12,17.64775802129922,16.37223354483534
13,19.62228561103113,16.37223354483534
14,15.847855208168175,15.847855208168175
15,16.990554701954505,15.847855208168175
16,18.513667301685118,15.847855208168175
17,18.68036857180687,15.847855208168175
18,18.950781405324296,15.847855208168175
19,20.727109013555793,15.847855208168175
20,20.156050865908743,15.847855208168175
21,18.674350106125836,15.847855208168175
22,21.85361003837029,15.847855208168175
23,17.95489983372258,15.847855208168175
24,22.801840704515428,15.847855208168175
25,18.17522051462968,15.847855208168175
26,16.858387382680192,15.847855208168175
27,16.701275431321278,15.847855208168175
28,15.992660845706437,15.847855208168175
29,19.53009697623282,15.847855208168175
30,18.194966477315194,15.847855208168175
31,20.03004372273107,15.847855208168175
32,15.894319254486758,15.847855208168175
33,16.407146467382642,15.847855208168175
34,17.291551729555778,15.847855208168175
35,15.638006575460055,15.638006575460055
36,16.938824773785147,15.638006575460055
37,17.618244067136676,15.638006575460055
38,16.1980233870814,15.638006575460055
39,20.953037592255555,15.638006575460055
40,20.265203888844457,15.638006575460055
41,19.694896605709765,15.638006575460055
42,18.35432769030405,15.638006575460055
43,18.132717745851693,15.638006575460055
44,18.540259646351178,15.638006575460055
45,18.498717416445018,15.638006575460055
46,20.978610834978678,15.638006575460055
47,16.55671571526732,15.638006575460055
48,19.455342961460698,15.638006575460055
49,15.864300660927457,15.638006575460055
50,17.05392418265859,15.638006575460055
51,17.855564108660626,15.638006575460055
52,16.141729273952215,15.638006575460055
53,18.61145658874481,15.638006575460055
54,20.190692084502146,15.638006575460055
55,16.366072268863416,15.638006575460055
56,15.450491939771116,15.450491939771116
57,18.782138898003844,15.450491939771116
58,19.18414868782398,15.450491939771116
59,15.987049386535361,15.450491939771116
60,20.134336185081114,15.450491939771116
61,18.657492342975868,15.450491939771116
62,16.34226681366954,15.450491939771116
63,15.858050281952192,15.450491939771116
64,16.36604377997307,15.450491939771116
65,16.879769142030387,15.450491939771116
66,15.876959253342077,15.450491939771116
67,17.836346031677483,15.450491939771116
68,16.641558881026537,15.450491939771116
69,16.0539867906218,15.450491939771116
70,16.61141304148751,15.450491939771116
71,18.403730360097835,15.450491939771116
